idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,1.568994,0.100000,0.910685,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
1,C3,0.865117,1.487317,0.968317,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
2,L1,0.838734,0.100000,1.095239,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
3,L2,0.107693,0.100000,1.057466,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
4,L3,0.612161,0.100000,0.951886,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
5,L4,1.462630,0.100000,0.974233,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
6,L5,0.865117,1.487317,0.981427,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
7,Mi1,1.633045,0.100000,1.002631,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
8,Mi4,1.633045,0.100000,1.000438,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
9,Mi9,1.495702,1.516869,0.923998,53.597994,48.976880,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
10,R1-6,1.447935,0.101889,1.010128,44.615958,49.615739,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
11,R7,1.012909,0.100000,1.003036,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
12,R8,1.343906,0.100000,1.087282,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
13,T1,0.100000,1.504128,1.065907,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
14,T2,1.323633,0.100000,0.989775,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
15,T2a,1.533446,0.100000,0.919600,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
16,T3,1.533446,0.100000,1.056425,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
17,T4a,1.422832,1.542153,0.100000,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
18,T4b,0.101029,0.100000,0.100000,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
19,T4c,1.340241,0.100000,0.100000,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
20,T4d,0.100000,1.494876,0.100000,0.820993,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
21,T5a,1.012909,0.100000,0.100000,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
22,T5b,1.591722,0.295567,0.100000,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
23,T5c,1.447935,0.101889,0.100000,44.615958,49.615739,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
24,T5d,1.012909,0.100000,0.100000,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
25,Tm1,0.110406,0.100000,1.026400,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
26,Tm2,0.838734,0.100000,1.031347,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
27,Tm20,1.323633,0.100000,0.907748,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
28,Tm21,1.553370,0.100000,1.017775,0.861869,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
29,Tm3,0.599986,0.100000,1.064696,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
30,Tm4,1.323633,0.100000,0.949177,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
31,Tm9,0.612161,0.100000,1.035705,0.000000,0.000000,-50.635309,-0.200000,-52.884760,-53.135412,-0.200000,-53.180617
