idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,0.698374,0.487811,0.905934,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
1,C3,0.594569,0.665827,1.081157,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
2,L1,0.319284,0.468805,1.051661,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
3,L2,0.348235,0.328974,1.011043,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
4,L3,0.300487,0.430952,1.061899,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
5,L4,0.538800,0.455256,0.913600,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
6,L5,0.594569,0.665827,1.026805,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
7,Mi1,0.604660,0.349206,1.033409,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
8,Mi4,0.604660,0.349206,0.994089,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
9,Mi9,0.301650,0.606771,1.051113,49.645050,51.934250,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
10,R1-6,0.341511,0.627713,1.048527,48.080842,54.095532,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
11,R7,0.644884,0.522837,1.088331,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
12,R8,0.570249,0.402994,1.077133,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
13,T1,0.434448,0.636468,0.988182,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
14,T2,0.504778,0.334635,0.948807,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
15,T2a,0.501901,0.362901,1.050867,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
16,T3,0.501901,0.362901,1.096759,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
17,T4a,0.552102,0.630615,0.874246,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
18,T4b,0.493031,0.336635,0.817290,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
19,T4c,0.633509,0.479692,0.963385,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
20,T4d,0.489824,0.655492,0.868787,0.100000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
21,T5a,0.644884,0.522837,0.951679,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
22,T5b,0.552325,0.308372,0.833955,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
23,T5c,0.341511,0.627713,0.990984,48.080842,54.095532,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
24,T5d,0.644884,0.522837,0.909077,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
25,Tm1,0.570128,0.414118,0.976071,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
26,Tm2,0.319284,0.468805,0.950545,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
27,Tm20,0.504778,0.334635,0.942502,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
28,Tm21,0.614571,0.378617,1.095463,0.100000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
29,Tm3,0.441937,0.434089,1.042209,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
30,Tm4,0.504778,0.334635,1.005468,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
31,Tm9,0.300487,0.430952,0.983293,0.000000,0.000000,-49.233691,-0.200000,-51.124728,-47.410450,-0.343620,-48.864331
