idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,1.557882,0.100000,1.038937,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
1,C3,0.100000,1.607004,1.098227,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
2,L1,1.627463,0.103571,0.979258,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
3,L2,0.270563,0.100000,1.091442,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
4,L3,0.872205,0.100000,1.063674,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
5,L4,0.100000,0.322049,1.076608,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
6,L5,0.100000,1.607004,1.045253,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
7,Mi1,1.642194,0.100000,0.943672,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
8,Mi4,1.642194,0.100000,0.914989,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
9,Mi9,1.247253,1.576604,0.971733,50.804949,53.109876,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
10,R1-6,1.534595,0.100000,1.015403,45.871132,48.075231,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
11,R7,1.290350,0.100532,0.910504,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
12,R8,1.481931,0.233090,0.988426,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
13,T1,0.100000,1.661560,0.917291,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
14,T2,1.250213,0.100000,0.954208,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
15,T2a,1.640935,0.981474,1.053547,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
16,T3,1.640935,0.981474,1.082684,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
17,T4a,1.430914,1.570809,0.100000,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
18,T4b,0.166219,0.100000,0.100000,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
19,T4c,1.384938,0.100000,0.100000,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
20,T4d,0.100000,1.585343,0.100000,0.647359,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
21,T5a,1.290350,0.100532,0.100000,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
22,T5b,1.590632,1.015225,0.100000,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
23,T5c,1.534595,0.100000,0.100000,45.871132,48.075231,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
24,T5d,1.290350,0.100532,0.100000,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
25,Tm1,0.127836,0.100000,0.935525,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
26,Tm2,1.627463,0.103571,0.929623,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
27,Tm20,1.250213,0.100000,0.905469,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
28,Tm21,1.495036,0.100066,0.980021,0.959186,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
29,Tm3,1.509168,0.100000,1.014220,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
30,Tm4,1.250213,0.100000,0.920994,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
31,Tm9,0.872205,0.100000,1.058061,0.000000,0.000000,-50.818534,-0.200000,-48.027332,-51.667173,-0.200000,-49.938448
