idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,1.080853,1.542290,0.984031,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
1,C3,0.482506,1.531906,1.038259,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
2,L1,1.484756,0.100000,0.998584,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
3,L2,0.580409,0.524123,1.042033,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
4,L3,0.100000,0.113604,1.007860,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
5,L4,0.100000,1.981669,1.097252,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
6,L5,0.482506,1.531906,0.990088,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
7,Mi1,0.100000,1.664337,0.943515,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
8,Mi4,0.100000,1.664337,0.934837,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
9,Mi9,0.160607,1.505606,0.979916,55.119033,49.878701,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
10,R1-6,0.210153,1.396241,1.000412,53.502752,52.284274,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
11,R7,1.485708,1.545459,1.028886,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
12,R8,1.448872,0.929516,1.077925,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
13,T1,0.100000,1.740602,0.954953,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
14,T2,1.435035,0.100000,1.092083,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
15,T2a,1.597575,0.157670,1.053641,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
16,T3,1.597575,0.157670,1.060580,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
17,T4a,0.100000,0.100000,1.010377,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
18,T4b,0.563639,0.481737,1.057604,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
19,T4c,1.263116,0.100000,0.916549,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
20,T4d,0.100000,1.720856,0.100000,0.744463,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
21,T5a,1.485708,1.545459,0.930449,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
22,T5b,0.100000,0.100000,1.076363,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
23,T5c,0.210153,1.396241,1.061854,53.502752,52.284274,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
24,T5d,1.485708,1.545459,0.962796,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
25,Tm1,1.485819,1.613530,0.962884,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
26,Tm2,1.484756,0.100000,1.011519,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
27,Tm20,1.435035,0.100000,0.945416,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
28,Tm21,0.100000,1.842720,0.901252,0.875667,0.000639,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
29,Tm3,0.100000,1.494969,1.025916,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
30,Tm4,1.435035,0.100000,1.016823,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
31,Tm9,0.100000,0.113604,0.910229,0.000000,0.000000,-47.736927,-0.200000,-47.269349,-48.673860,-0.200000,-49.194128
