idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,0.100000,1.719706,1.018640,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
1,C3,0.893267,1.633299,1.061165,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
2,L1,1.430544,0.100000,1.010094,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
3,L2,0.464166,0.407087,0.969951,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
4,L3,0.100000,0.116636,0.940039,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
5,L4,0.100000,2.036911,1.079788,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
6,L5,0.893267,1.633299,0.968975,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
7,Mi1,0.622926,1.678489,1.029071,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
8,Mi4,0.622926,1.678489,1.091728,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
9,Mi9,2.010451,2.118625,0.923521,55.874059,51.293646,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
10,R1-6,0.100000,0.503573,0.965817,48.237379,47.764167,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
11,R7,1.524234,1.599314,1.015432,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
12,R8,1.587963,0.122495,0.976611,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
13,T1,0.100000,1.649152,0.942536,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
14,T2,1.348236,0.100000,1.089690,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
15,T2a,1.211149,0.100000,0.902899,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
16,T3,1.211149,0.100000,1.048337,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
17,T4a,0.100000,0.100000,1.068237,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
18,T4b,0.596045,0.466735,1.061900,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
19,T4c,1.456973,0.100000,0.932914,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
20,T4d,0.100000,1.756746,0.100000,0.961494,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
21,T5a,1.524234,1.599314,0.954780,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
22,T5b,0.100000,0.100000,1.053164,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
23,T5c,0.100000,0.503573,0.935568,48.237379,47.764167,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
24,T5d,1.524234,1.599314,0.950078,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
25,Tm1,1.554097,1.712161,1.037356,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
26,Tm2,1.430544,0.100000,0.950961,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
27,Tm20,1.348236,0.100000,1.028607,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
28,Tm21,0.100000,1.742208,1.033135,0.914204,0.012555,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
29,Tm3,0.100000,1.506135,0.960985,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
30,Tm4,1.348236,0.100000,0.990428,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
31,Tm9,0.100000,0.116636,0.909784,0.000000,0.000000,-50.367572,-0.209493,-49.861010,-51.315414,-0.400000,-50.816208
