idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,0.100000,1.521532,1.050098,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
1,C3,0.100000,1.720405,1.048480,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
2,L1,0.662553,0.100000,0.991150,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
3,L2,0.551404,0.435959,0.918219,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
4,L3,0.736527,0.100000,1.044553,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
5,L4,0.100000,1.812430,0.908399,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
6,L5,0.100000,1.720405,1.054146,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
7,Mi1,0.100000,1.774705,1.010503,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
8,Mi4,0.100000,1.774705,0.933094,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
9,Mi9,1.442460,1.402297,0.994205,45.780098,52.072426,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
10,R1-6,0.100000,1.091704,1.042732,49.538071,46.197521,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
11,R7,1.201183,1.432050,0.906598,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
12,R8,1.303556,0.203103,1.070926,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
13,T1,0.100000,1.734518,1.082737,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
14,T2,1.335918,0.100000,0.974554,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
15,T2a,1.379426,0.100000,1.061823,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
16,T3,1.379426,0.100000,0.962290,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
17,T4a,1.672135,1.833508,0.100000,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
18,T4b,0.419933,0.509322,0.100000,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
19,T4c,1.347876,0.100000,0.100000,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
20,T4d,0.100000,1.718434,0.100000,0.844763,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
21,T5a,1.201183,1.432050,1.066201,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
22,T5b,1.683019,1.739162,1.097232,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
23,T5c,0.100000,1.091704,1.037987,49.538071,46.197521,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
24,T5d,1.201183,1.432050,1.017880,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
25,Tm1,1.285520,1.621788,1.015486,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
26,Tm2,0.662553,0.100000,1.073967,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
27,Tm20,1.335918,0.100000,1.094832,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
28,Tm21,0.100000,1.656007,0.993259,0.738193,0.071530,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
29,Tm3,1.078086,0.100000,1.031404,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
30,Tm4,1.335918,0.100000,0.973670,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
31,Tm9,0.736527,0.100000,0.910857,0.000000,0.000000,-48.118885,-0.200000,-51.027431,-51.316872,-0.400000,-49.681328
