idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,1.025566,1.093639,0.959088,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
1,C3,0.587833,1.234042,1.061807,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
2,L1,0.978509,0.100000,1.025584,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
3,L2,0.507835,0.562029,1.074536,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
4,L3,0.264565,0.100000,0.990902,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
5,L4,0.100000,1.368454,0.995280,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
6,L5,0.587833,1.234042,0.990489,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
7,Mi1,0.140222,1.208612,0.944408,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
8,Mi4,0.140222,1.208612,0.963755,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
9,Mi9,0.100000,1.031404,1.039157,46.692237,51.552591,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
10,R1-6,0.100000,1.148371,0.935124,50.324526,51.271629,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
11,R7,1.271722,1.170262,0.914997,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
12,R8,1.288906,1.192823,0.949555,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
13,T1,0.100000,1.132401,1.085762,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
14,T2,1.025688,0.100000,0.911859,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
15,T2a,1.042651,0.211897,0.968525,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
16,T3,1.042651,0.211897,0.911735,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
17,T4a,1.131073,1.227463,0.172464,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
18,T4b,0.552178,0.566319,0.169942,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
19,T4c,1.027934,0.100000,0.117147,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
20,T4d,0.100000,1.202494,0.109655,0.448998,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
21,T5a,1.271722,1.170262,0.989709,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
22,T5b,1.117098,1.280860,1.096786,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
23,T5c,0.100000,1.148371,1.089932,50.324526,51.271629,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
24,T5d,1.271722,1.170262,1.020236,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
25,Tm1,1.135740,1.251694,0.986416,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
26,Tm2,0.978509,0.100000,1.062337,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
27,Tm20,1.025688,0.100000,0.912036,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
28,Tm21,0.191549,1.207484,1.060453,0.590929,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
29,Tm3,0.499581,0.100000,1.060334,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
30,Tm4,1.025688,0.100000,0.934367,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
31,Tm9,0.264565,0.100000,1.057267,0.000000,0.000000,-48.043926,-0.400000,-49.964362,-47.177526,-0.400000,-51.562490
