idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_midv,Ih_slope,tau_midv
0,C2,1.352089,1.654280,1.012946,0.000000,-48.417332,-0.208232,-48.611549
1,C3,0.100000,2.182045,1.046910,0.000000,-48.417332,-0.208232,-48.611549
2,L1,1.776813,0.887763,0.990462,0.000000,-48.417332,-0.208232,-48.611549
3,L2,1.715043,1.922343,1.097853,0.000000,-48.417332,-0.208232,-48.611549
4,L3,1.469451,0.100000,0.910754,0.000000,-48.417332,-0.208232,-48.611549
5,L4,1.335794,1.629137,0.910758,0.000000,-48.417332,-0.208232,-48.611549
6,L5,0.100000,2.182045,0.933092,0.000000,-48.417332,-0.208232,-48.611549
7,Mi1,1.433662,1.641916,0.946888,0.000000,-48.417332,-0.208232,-48.611549
8,Mi4,1.433662,1.641916,0.911386,0.000000,-48.417332,-0.208232,-48.611549
9,Mi9,1.792459,1.424118,0.976420,52.724481,-48.417332,-0.208232,-48.611549
10,R1-6,0.255571,1.463625,0.933802,52.199613,-48.417332,-0.208232,-48.611549
11,R7,1.358811,1.318368,0.958754,0.000000,-48.417332,-0.208232,-48.611549
12,R8,1.319867,1.485505,1.098233,0.000000,-48.417332,-0.208232,-48.611549
13,T1,0.100000,1.848514,1.087339,0.000000,-48.417332,-0.208232,-48.611549
14,T2,0.100000,0.103269,0.973707,0.000000,-48.417332,-0.208232,-48.611549
15,T2a,1.381564,1.387135,0.908503,0.000000,-48.417332,-0.208232,-48.611549
16,T3,1.381564,1.387135,0.998612,0.000000,-48.417332,-0.208232,-48.611549
17,T4a,0.100000,1.734766,0.104670,0.000000,-48.417332,-0.208232,-48.611549
18,T4b,1.786000,1.775165,0.193312,0.000000,-48.417332,-0.208232,-48.611549
19,T4c,1.261898,0.100000,0.100000,0.000000,-48.417332,-0.208232,-48.611549
20,T4d,0.147969,1.514922,0.100000,0.827160,-48.417332,-0.208232,-48.611549
21,T5a,1.358811,1.318368,0.100000,0.000000,-48.417332,-0.208232,-48.611549
22,T5b,1.459206,0.100276,0.100000,0.000000,-48.417332,-0.208232,-48.611549
23,T5c,0.255571,1.463625,0.100000,52.199613,-48.417332,-0.208232,-48.611549
24,T5d,1.358811,1.318368,0.100000,0.000000,-48.417332,-0.208232,-48.611549
25,Tm1,1.326659,1.673079,1.000760,0.000000,-48.417332,-0.208232,-48.611549
26,Tm2,1.776813,0.887763,0.920981,0.000000,-48.417332,-0.208232,-48.611549
27,Tm20,0.100000,0.103269,0.977219,0.000000,-48.417332,-0.208232,-48.611549
28,Tm21,1.443336,1.176963,0.967953,0.752591,-48.417332,-0.208232,-48.611549
29,Tm3,1.772903,0.100000,1.008712,0.000000,-48.417332,-0.208232,-48.611549
30,Tm4,0.100000,0.103269,0.903669,0.000000,-48.417332,-0.208232,-48.611549
31,Tm9,1.469451,0.100000,0.904468,0.000000,-48.417332,-0.208232,-48.611549
