idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_midv,Ih_slope,tau_midv
0,C2,1.398215,0.100000,0.985115,46.739629,-50.554478,-0.208372,-51.907191
1,C3,0.207496,1.329982,1.001600,52.933006,-47.010251,-0.200000,-49.157206
2,L1,1.365064,0.100000,0.966663,48.083035,-51.981043,-0.400000,-52.065982
3,L2,0.100000,0.100000,0.962856,48.728772,-48.055536,-0.200000,-49.132492
4,L3,0.993140,0.100000,0.920633,48.470517,-50.710368,-0.200000,-49.720655
5,L4,1.502360,0.100000,1.053184,53.571749,-50.463224,-0.400000,-50.750636
6,L5,0.207496,1.329982,1.067307,52.933006,-47.010251,-0.200000,-49.157206
7,Mi1,0.302406,0.100000,0.959651,46.194050,-48.308872,-0.207573,-49.440160
8,Mi4,0.302406,0.100000,1.059622,46.194050,-48.308872,-0.207573,-49.440160
9,Mi9,0.100000,0.118646,1.082408,51.961434,-51.743659,-0.399835,-49.341577
10,R1-6,1.312989,0.100000,0.990832,49.919714,-51.379744,-0.400000,-50.926650
11,R7,0.100000,0.100000,1.073048,51.365780,-51.324012,-0.200000,-49.202156
12,R8,0.100000,0.100000,0.925900,52.667804,-50.770211,-0.223243,-51.167953
13,T1,0.100000,1.586304,1.052974,54.650306,-47.987208,-0.200000,-50.001361
14,T2,1.111521,0.100000,1.008566,49.340940,-51.708013,-0.400000,-48.206052
15,T2a,0.100000,0.100000,1.029489,50.688588,-49.642813,-0.260731,-46.600545
16,T3,0.100000,0.100000,0.905293,50.688588,-49.642813,-0.260731,-46.600545
17,T4a,0.100000,1.513013,0.100000,48.438972,-47.283618,-0.200000,-52.766187
18,T4b,0.100000,0.100000,0.100000,49.627853,-47.971526,-0.200000,-49.532217
19,T4c,1.303544,0.107090,0.100000,48.048067,-50.899086,-0.400000,-52.195723
20,T4d,1.244286,0.100000,0.100000,0.682805,-49.237611,-0.200000,-48.265159
21,T5a,0.100000,0.100000,0.100000,51.365780,-51.324012,-0.200000,-49.202156
22,T5b,1.510772,0.100000,0.100000,45.410260,-51.905243,-0.380557,-49.550247
23,T5c,1.312989,0.100000,0.100000,49.919714,-51.379744,-0.400000,-50.926650
24,T5d,0.100000,0.100000,0.100000,51.365780,-51.324012,-0.200000,-49.202156
25,Tm1,0.100000,0.100000,0.945635,55.021029,-49.171905,-0.207575,-52.566648
26,Tm2,1.365064,0.100000,0.948196,48.083035,-51.981043,-0.400000,-52.065982
27,Tm20,1.111521,0.100000,0.993310,49.340940,-51.708013,-0.400000,-48.206052
28,Tm21,1.198045,0.100000,1.018797,0.646215,-47.174117,-0.400000,-52.547572
29,Tm3,1.473059,0.100000,1.057516,48.742847,-47.945006,-0.200000,-50.129606
30,Tm4,1.111521,0.100000,0.957889,49.340940,-51.708013,-0.400000,-48.206052
31,Tm9,0.993140,0.100000,0.942985,48.470517,-50.710368,-0.200000,-49.720655
