idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_midv,Ih_slope,tau_midv
0,C2,1.548389,0.489221,1.030099,48.591483,-48.232817,-0.362978,-52.309024
1,C3,0.210301,0.100000,0.970902,42.435819,-61.409565,-0.400000,-52.770970
2,L1,2.823049,0.477602,0.989892,44.348448,-53.535898,-0.381874,-47.742797
3,L2,0.100000,0.100000,1.080902,52.807266,-45.899274,-0.200000,-49.363131
4,L3,2.479204,0.267723,1.094718,46.028454,-48.531582,-0.400000,-50.613257
5,L4,4.088529,2.917120,1.002937,44.752050,-51.945336,-0.400000,-48.821113
6,L5,0.210301,0.100000,1.074928,42.435819,-61.409565,-0.400000,-52.770970
7,Mi1,1.236575,0.100000,0.931692,47.695681,-50.547004,-0.247244,-51.171156
8,Mi4,1.236575,0.100000,0.955787,47.695681,-50.547004,-0.247244,-51.171156
9,Mi9,4.333333,1.650747,0.963000,49.184967,-51.959128,-0.400000,-42.286264
10,R1-6,1.789947,3.266305,1.037192,46.646056,-51.673570,-0.374365,-49.775849
11,R7,0.100000,0.100000,0.937723,51.504654,-50.301481,-0.320774,-48.599688
12,R8,0.100000,0.285333,1.016740,49.599458,-48.829283,-0.347557,-43.340193
13,T1,0.779850,2.061182,1.057048,53.413222,-41.288456,-0.383673,-58.054224
14,T2,0.100000,1.611196,1.021563,51.506435,-50.034469,-0.400000,-54.402717
15,T2a,0.502063,1.939650,0.984128,50.196914,-47.821640,-0.400000,-40.000000
16,T3,0.502063,1.939650,1.079406,50.196914,-47.821640,-0.400000,-40.000000
17,T4a,0.703337,1.963573,1.444307,54.454496,-46.600401,-0.370381,-54.546309
18,T4b,0.100000,0.100000,1.884623,49.017833,-48.289169,-0.200000,-51.841357
19,T4c,2.636028,0.100000,1.400969,45.207028,-56.053572,-0.400000,-50.438337
20,T4d,1.556526,0.266639,1.454068,0.000000,-45.446057,-0.400000,-56.483155
21,T5a,0.100000,0.100000,0.100000,51.504654,-50.301481,-0.320774,-48.599688
22,T5b,1.258717,0.100000,0.100000,51.253932,-49.895935,-0.293322,-52.912522
23,T5c,1.789947,3.266305,0.100000,46.646056,-51.673570,-0.374365,-49.775849
24,T5d,0.100000,0.100000,0.100000,51.504654,-50.301481,-0.320774,-48.599688
25,Tm1,1.258825,0.100000,1.039104,53.937978,-51.280178,-0.256136,-49.245014
26,Tm2,2.823049,0.477602,0.903750,44.348448,-53.535898,-0.381874,-47.742797
27,Tm20,0.100000,1.611196,1.066829,51.506435,-50.034469,-0.400000,-54.402717
28,Tm21,1.610805,0.331559,1.014330,0.691451,-50.053923,-0.400000,-47.182468
29,Tm3,1.668509,0.830096,1.064448,50.137099,-49.686744,-0.400000,-47.714447
30,Tm4,0.100000,1.611196,0.908025,51.506435,-50.034469,-0.400000,-54.402717
31,Tm9,2.479204,0.267723,1.002498,46.028454,-48.531582,-0.400000,-50.613257
