idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,0.527597,0.492594,0.927882,51.133297,55.863242,-60.583355,-0.200000,-51.035653,-54.913026,-0.400000,-51.409801
1,C3,0.100000,0.100000,0.935652,48.855520,55.785834,-51.980325,-0.200000,-49.987927,-51.873559,-0.200000,-48.981253
2,L1,0.100000,3.779399,5.918928,44.847658,42.237862,-42.426743,-0.290984,-53.009109,-52.226256,-0.316639,-43.216336
3,L2,0.578375,6.272791,3.760527,72.634656,35.078712,-33.508132,-0.400000,-55.246288,-49.688108,-0.400000,-67.446170
4,L3,0.100000,0.150648,6.433555,65.654854,33.801360,-33.465868,-0.400000,-51.030444,-43.260906,-0.200000,-63.468418
5,L4,0.100000,0.113054,0.100000,43.775680,53.283593,-54.342977,-0.200544,-53.680512,-55.566953,-0.388883,-56.159848
6,L5,0.100000,0.100000,0.100000,48.855520,55.785834,-51.980325,-0.200000,-49.987927,-51.873559,-0.200000,-48.981253
7,Mi1,3.233515,2.724997,0.100000,52.808921,52.785440,-51.585384,-0.200000,-48.587280,-47.143727,-0.400000,-51.057466
8,Mi4,3.233515,2.724997,5.161141,52.808921,52.785440,-51.585384,-0.200000,-48.587280,-47.143727,-0.400000,-51.057466
9,Mi9,0.100000,0.100000,6.091092,43.758941,55.516639,-51.697535,-0.400000,-49.619244,-52.925382,-0.400000,-52.108416
10,R1-6,1.785130,1.205955,0.946850,50.039306,44.861124,-51.104204,-0.400000,-51.705061,-49.450327,-0.287752,-48.712082
11,R7,0.550122,0.513515,1.024401,45.727887,53.330613,-51.224030,-0.400000,-51.581846,-48.519825,-0.400000,-51.350309
12,R8,1.560123,0.851740,0.915435,49.841799,49.219411,-52.663662,-0.400000,-48.825499,-52.070221,-0.400000,-47.382831
13,T1,2.899682,1.310663,0.907379,39.086940,53.577617,-30.000000,-0.400000,-54.054488,-68.579942,-0.333893,-56.460532
14,T2,4.329977,2.459963,0.940896,45.604331,48.705000,-49.380330,-0.200000,-50.562161,-49.872324,-0.200000,-49.474082
15,T2a,0.772694,0.100000,1.087389,50.964444,49.480149,-54.478845,-0.400000,-52.506059,-53.636528,-0.200000,-52.120347
16,T3,0.772694,0.100000,1.016205,50.964444,49.480149,-54.478845,-0.400000,-52.506059,-53.636528,-0.200000,-52.120347
17,T4a,7.474155,4.243936,6.539550,49.756195,53.181183,-48.451826,-0.200000,-50.693730,-47.141720,-0.200000,-50.272217
18,T4b,0.524585,12.016315,6.672089,71.723612,31.144871,-30.874846,-0.400000,-51.559923,-45.894796,-0.400000,-64.264765
19,T4c,0.312581,1.737011,6.989214,47.759146,49.637314,-52.408614,-0.372193,-49.770714,-49.403021,-0.377203,-49.953510
20,T4d,3.739818,6.651811,3.640958,0.000000,0.000000,-50.671772,-0.249676,-48.526399,-57.015691,-0.400000,-49.875531
21,T5a,0.550122,0.513515,6.071286,45.727887,53.330613,-51.224030,-0.400000,-51.581846,-48.519825,-0.400000,-51.350309
22,T5b,15.027576,0.100000,3.321422,61.167970,15.983388,-33.189758,-0.400000,-70.000000,-35.468300,-0.400000,-70.000000
23,T5c,1.785130,1.205955,6.020331,50.039306,44.861124,-51.104204,-0.400000,-51.705061,-49.450327,-0.287752,-48.712082
24,T5d,0.550122,0.513515,4.130765,45.727887,53.330613,-51.224030,-0.400000,-51.581846,-48.519825,-0.400000,-51.350309
25,Tm1,0.100000,13.423794,4.507576,53.891499,55.652958,-42.155293,-0.200000,-61.120587,-49.488667,-0.400000,-40.118827
26,Tm2,0.100000,3.779399,0.100000,44.847658,42.237862,-42.426743,-0.290984,-53.009109,-52.226256,-0.316639,-43.216336
27,Tm20,4.329977,2.459963,1.072947,45.604331,48.705000,-49.380330,-0.200000,-50.562161,-49.872324,-0.200000,-49.474082
28,Tm21,0.953149,0.437799,1.071508,0.217850,0.783589,-51.291013,-0.259516,-47.086752,-46.159510,-0.400000,-45.867215
29,Tm3,0.100000,6.843001,0.100000,70.478552,36.838792,-32.912888,-0.400000,-50.846533,-42.659166,-0.200000,-63.024437
30,Tm4,4.329977,2.459963,0.100000,45.604331,48.705000,-49.380330,-0.200000,-50.562161,-49.872324,-0.200000,-49.474082
31,Tm9,0.100000,0.150648,6.920415,65.654854,33.801360,-33.465868,-0.400000,-51.030444,-43.260906,-0.200000,-63.468418
