idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,0.106210,0.100000,1.001651,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
1,C3,5.892896,0.148864,1.000571,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
2,L1,0.261189,0.100000,8.024167,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
3,L2,0.453808,0.457272,3.874321,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
4,L3,0.100000,0.100000,2.733114,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
5,L4,3.718262,0.506315,3.151014,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
6,L5,5.892896,0.148864,0.100000,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
7,Mi1,0.156737,0.100000,3.547016,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
8,Mi4,0.156737,0.100000,4.128505,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
9,Mi9,0.115836,10.408775,2.704136,61.853947,46.610925,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
10,R1-6,7.443724,1.136362,1.057919,54.367171,46.241859,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
11,R7,0.100000,0.100000,1.046004,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
12,R8,2.960909,0.292173,0.961547,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
13,T1,1.115910,3.174308,0.917178,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
14,T2,10.896680,1.066848,1.056831,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
15,T2a,0.100000,0.100000,1.010366,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
16,T3,0.100000,0.100000,0.948851,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
17,T4a,0.100000,0.100000,1.072475,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
18,T4b,0.582760,0.591466,0.994623,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
19,T4c,0.861364,0.100000,0.996453,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
20,T4d,0.100000,1.522038,1.063965,0.000000,0.016908,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
21,T5a,0.100000,0.100000,1.021026,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
22,T5b,0.424603,0.100000,0.999164,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
23,T5c,7.443724,1.136362,1.050582,54.367171,46.241859,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
24,T5d,0.100000,0.100000,1.016164,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
25,Tm1,0.203202,2.284803,2.865290,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
26,Tm2,0.261189,0.100000,1.911222,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
27,Tm20,10.896680,1.066848,0.957751,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
28,Tm21,6.838482,1.126505,1.006309,1.323003,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
29,Tm3,0.395423,1.031345,6.137177,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
30,Tm4,10.896680,1.066848,7.110464,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
31,Tm9,0.100000,0.100000,3.816484,0.000000,0.000000,-40.941148,-0.200000,-43.984661,-41.833866,-0.200000,-42.533600
