idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,0.532533,0.298506,1.090262,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
1,C3,1.027126,0.380223,0.950175,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
2,L1,2.256088,1.717232,6.120224,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
3,L2,0.598807,0.458853,8.362430,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
4,L3,0.100000,0.100000,0.100000,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
5,L4,0.100000,0.100000,3.079066,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
6,L5,1.027126,0.380223,1.961171,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
7,Mi1,1.148176,0.100000,3.292576,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
8,Mi4,1.148176,0.100000,0.100000,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
9,Mi9,0.222333,2.678860,1.717668,51.789574,47.798152,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
10,R1-6,1.629277,0.961984,1.000377,47.299873,51.546861,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
11,R7,0.100000,0.274305,1.048189,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
12,R8,0.969361,0.428896,1.055895,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
13,T1,1.707664,1.362119,0.915842,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
14,T2,4.390487,2.280378,0.956456,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
15,T2a,2.509704,3.007787,1.094128,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
16,T3,2.509704,3.007787,0.947314,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
17,T4a,0.238714,0.242380,0.947346,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
18,T4b,0.422459,0.520380,0.951746,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
19,T4c,0.100000,0.660137,1.019844,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
20,T4d,1.549766,1.651678,1.015931,1.027496,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
21,T5a,0.100000,0.274305,1.016957,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
22,T5b,2.513021,0.100000,1.037064,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
23,T5c,1.629277,0.961984,0.929739,47.299873,51.546861,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
24,T5d,0.100000,0.274305,1.022999,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
25,Tm1,1.611085,0.100000,2.416342,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
26,Tm2,2.256088,1.717232,1.164181,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
27,Tm20,4.390487,2.280378,1.021166,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
28,Tm21,5.074891,0.100000,1.033186,0.127362,0.043537,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
29,Tm3,0.100000,0.100000,3.087913,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
30,Tm4,4.390487,2.280378,3.620379,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
31,Tm9,0.100000,0.100000,2.761719,0.000000,0.000000,-48.080259,-0.200000,-50.331563,-45.427481,-0.200000,-50.190670
