idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,0.538097,0.576656,1.025386,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
1,C3,0.725476,0.708989,0.906424,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
2,L1,0.623747,0.656901,1.177159,54.914098,51.737559,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
3,L2,0.620405,0.487113,1.132386,47.651816,51.178001,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
4,L3,0.626343,0.398474,1.151955,0.185751,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
5,L4,0.225397,0.295662,0.908629,48.616550,51.227516,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
6,L5,0.312837,0.239487,0.767562,47.663389,50.428584,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
7,Mi1,0.493145,0.661383,0.802898,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
8,Mi4,0.226637,0.397622,0.833140,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
9,Mi9,0.619765,0.609688,1.162062,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
10,R1-6,0.483884,0.761144,1.018112,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
11,R7,0.313761,0.745335,1.083885,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
12,R8,0.262920,0.777334,0.993698,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
13,T1,0.629502,0.627949,0.944828,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
14,T2,0.284761,0.407165,1.022599,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
15,T2a,0.308788,0.282595,1.077041,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
16,T3,0.373615,0.259085,1.076273,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
17,T4a,0.533590,0.645105,1.154871,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
18,T4b,0.610485,0.611006,1.193312,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
19,T4c,0.654386,0.623961,1.159359,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
20,T4d,0.651558,0.648722,1.213314,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
21,T5a,0.462029,0.402434,0.848041,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
22,T5b,0.502627,0.376689,0.921121,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
23,T5c,0.378854,0.412896,0.798133,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
24,T5d,0.314794,0.407300,0.905787,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
25,Tm1,0.704703,0.664535,0.790540,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
26,Tm2,0.696535,0.629986,1.189133,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
27,Tm20,0.440223,0.324227,1.086588,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
28,Tm21,0.240865,0.425741,1.080059,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
29,Tm3,0.601492,0.661254,0.822796,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
30,Tm4,0.676575,0.754414,0.893454,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
31,Tm9,0.428149,0.269486,1.166686,0.000000,0.000000,-50.630821,-0.400000,-50.681661,-47.774652,-0.200000,-50.406883
