idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,0.447013,0.417178,1.059356,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
1,C3,0.565380,0.573174,0.927654,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
2,L1,0.558410,0.438805,1.037746,46.817745,46.179424,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
3,L2,0.522356,0.589121,1.024898,54.400444,52.629566,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
4,L3,0.536977,0.422700,0.901999,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
5,L4,0.578270,0.456704,1.025272,51.162876,46.730465,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
6,L5,0.462495,0.577625,1.029168,45.586433,49.095745,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
7,Mi1,0.415482,0.562004,1.022164,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
8,Mi4,0.549653,0.523118,1.060169,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
9,Mi9,0.475781,0.569251,1.016924,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
10,R1-6,0.559308,0.555186,0.925023,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
11,R7,0.546246,0.518436,0.926944,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
12,R8,0.419190,0.524120,0.998964,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
13,T1,0.526349,0.467775,1.054540,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
14,T2,0.593989,0.527230,0.981340,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
15,T2a,0.499973,0.428150,0.942860,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
16,T3,0.586433,0.419978,1.013329,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
17,T4a,0.495014,0.553925,0.922402,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
18,T4b,0.482904,0.488738,0.984938,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
19,T4c,0.545399,0.584927,1.023034,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
20,T4d,0.554604,0.513009,1.029602,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
21,T5a,0.482123,0.592202,0.922606,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
22,T5b,0.466226,0.557223,1.080970,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
23,T5c,0.557577,0.571221,0.950949,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
24,T5d,0.598402,0.453661,1.098094,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
25,Tm1,0.436027,0.478933,1.014359,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
26,Tm2,0.463837,0.410973,0.927979,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
27,Tm20,0.423831,0.415048,0.964231,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
28,Tm21,0.576470,0.506700,1.051051,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
29,Tm3,0.571939,0.452204,1.027044,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
30,Tm4,0.471339,0.443209,1.089652,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
31,Tm9,0.403996,0.565875,1.089331,0.000000,0.000000,-52.252712,-0.256340,-47.763428,-49.750546,-0.255491,-49.784683
