idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,1.116961,0.100000,0.910658,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
1,C3,0.911101,1.113778,0.918788,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
2,L1,0.280918,0.100000,0.928739,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
3,L2,0.100000,0.100000,0.960918,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
4,L3,0.167933,0.100000,0.959565,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
5,L4,1.164993,0.100000,0.996351,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
6,L5,0.911101,1.113778,0.969519,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
7,Mi1,1.192534,0.100000,0.978077,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
8,Mi4,1.192534,0.100000,0.949188,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
9,Mi9,1.157815,1.174734,0.911830,46.922010,45.952331,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
10,R1-6,1.067297,0.100000,0.952897,44.945078,49.864530,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
11,R7,0.849857,0.100000,0.993125,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
12,R8,1.121292,0.100000,0.944229,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
13,T1,0.100000,1.114505,0.957645,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
14,T2,1.092414,0.100000,1.060293,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
15,T2a,1.216143,0.100000,1.007762,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
16,T3,1.216143,0.100000,1.097405,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
17,T4a,1.092654,1.249454,0.100000,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
18,T4b,0.100000,0.100000,0.110955,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
19,T4c,1.078574,0.100000,0.127827,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
20,T4d,0.100000,1.289238,0.100000,0.490026,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
21,T5a,0.849857,0.100000,0.209666,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
22,T5b,1.250077,0.103482,0.230595,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
23,T5c,1.067297,0.100000,0.181314,44.945078,49.864530,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
24,T5d,0.849857,0.100000,0.100000,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
25,Tm1,0.100000,0.100000,0.979096,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
26,Tm2,0.280918,0.100000,0.957695,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
27,Tm20,1.092414,0.100000,0.929837,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
28,Tm21,1.225521,0.100000,1.066058,0.612632,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
29,Tm3,0.185338,0.100000,0.923063,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
30,Tm4,1.092414,0.100000,1.017691,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
31,Tm9,0.167933,0.100000,1.059005,0.000000,0.000000,-50.628133,-0.200000,-50.237745,-50.680189,-0.200000,-50.526584
