idx,ctype,inp_gain,out_gain,Ih_gmax,Ih_midv,Ih_slope,tau_midv,out_scale
0,C2,2.120892,0.100000,50.679624,-54.007563,-0.375377,-53.134984,1.000000
1,C3,1.639254,0.287994,53.756372,-53.309645,-0.371095,-47.806640,1.000000
2,L1,5.675851,0.933308,41.344559,-55.423829,-0.379895,-52.139817,1.000000
3,L2,0.100000,0.100000,56.956695,-41.102517,-0.200000,-57.092896,1.000000
4,L3,2.687900,3.742924,50.594492,-46.237829,-0.200000,-54.507503,1.000000
5,L4,1.985745,3.031750,54.466325,-46.530684,-0.400000,-55.662902,1.000000
6,L5,1.639254,0.287994,53.756372,-53.309645,-0.371095,-47.806640,1.000000
7,Mi1,2.846491,0.100000,48.568051,-52.108145,-0.398907,-54.173285,1.000000
8,Mi4,2.846491,0.100000,48.568051,-52.108145,-0.398907,-54.173285,1.000000
9,Mi9,3.751668,3.851159,56.173946,-44.446523,-0.400000,-43.929712,1.000000
10,R1-6,1.079560,1.097952,46.377672,-48.921725,-0.200000,-46.486038,1.000000
11,R7,2.658367,2.014775,48.057925,-47.501861,-0.400000,-47.201841,1.000000
12,R8,0.100000,0.100000,55.800763,-45.211805,-0.200000,-52.600217,1.000000
13,T1,2.075768,1.605937,42.857285,-58.689542,-0.400000,-42.222304,1.000000
14,T2,1.003843,3.860287,53.405873,-44.321844,-0.400000,-59.161341,1.000000
15,T2a,0.375841,0.208158,51.333169,-47.998401,-0.200000,-52.227632,1.000000
16,T3,0.375841,0.208158,51.333169,-47.998401,-0.200000,-52.227632,1.000000
17,T4a,0.100000,0.688345,42.329131,-55.270805,-0.400000,-52.051347,1.000000
18,T4b,0.100000,0.100000,60.054533,-41.132633,-0.200000,-54.778142,1.000000
19,T4c,3.264811,0.100000,49.223081,-57.623970,-0.400000,-51.417109,1.000000
20,T4d,1.655912,1.169827,2.303640,-44.216216,-0.200000,-52.935875,1.000000
21,T5a,2.658367,2.014775,48.057925,-47.501861,-0.400000,-47.201841,1.000000
22,T5b,4.260435,0.100000,42.927171,-52.096231,-0.400000,-47.852721,1.000000
23,T5c,1.079560,1.097952,46.377672,-48.921725,-0.200000,-46.486038,1.000000
24,T5d,2.658367,2.014775,48.057925,-47.501861,-0.400000,-47.201841,1.000000
25,Tm1,0.428687,0.100000,52.452151,-48.010503,-0.217516,-51.000086,1.000000
26,Tm2,5.675851,0.933308,41.344559,-55.423829,-0.379895,-52.139817,1.000000
27,Tm20,1.003843,3.860287,53.405873,-44.321844,-0.400000,-59.161341,1.000000
28,Tm21,5.753881,0.428512,0.000000,-51.987042,-0.240443,-51.588505,1.000000
29,Tm3,2.693908,4.937263,49.975434,-44.437997,-0.200000,-51.401919,1.000000
30,Tm4,1.003843,3.860287,53.405873,-44.321844,-0.400000,-59.161341,1.000000
31,Tm9,2.687900,3.742924,50.594492,-46.237829,-0.200000,-54.507503,1.000000
