idx,ctype,inp_gain,out_gain,Ih_gmax,out_scale,Ih_midv,Ih_slope,tau_midv
0,R1,2.079464,1.341197,0.000000,1.000000,-51.744574,-0.200000,-48.535409
1,R2,1.393465,1.330800,0.000000,1.000000,-51.744574,-0.200000,-48.535409
2,R3,0.100000,1.619320,0.000000,1.000000,-51.744574,-0.200000,-48.535409
3,R4,0.128645,1.225402,0.000000,1.000000,-51.744574,-0.200000,-48.535409
4,R5,2.360202,1.394792,0.000000,1.000000,-51.744574,-0.200000,-48.535409
5,R6,0.100000,1.027198,0.000000,1.000000,-51.744574,-0.200000,-48.535409
6,R7,0.100000,3.530953,0.000000,1.000000,-51.744574,-0.200000,-48.535409
7,R8,2.180202,0.555087,0.000000,1.000000,-51.744574,-0.200000,-48.535409
8,L1,3.507773,2.041548,43.303265,4.175345,-51.744574,-0.200000,-48.535409
9,L2,1.711200,0.976757,48.557988,3.059588,-51.744574,-0.200000,-48.535409
10,L3,0.744653,1.741429,0.097803,2.630556,-51.744574,-0.200000,-48.535409
11,L4,1.402775,0.100000,0.007126,7.365543,-51.744574,-0.200000,-48.535409
12,L5,2.085675,0.586586,54.364840,1.199136,-51.744574,-0.200000,-48.535409
13,Lawf1,0.107053,0.100071,0.000000,1.000000,-51.744574,-0.200000,-48.535409
14,Lawf2,1.694404,1.796781,0.000000,1.000000,-51.744574,-0.200000,-48.535409
15,Am,4.653483,4.950405,0.000000,1.000000,-51.744574,-0.200000,-48.535409
16,C2,0.128972,0.120427,0.000000,1.000000,-51.744574,-0.200000,-48.535409
17,C3,0.339380,0.250799,0.000000,1.000000,-51.744574,-0.200000,-48.535409
18,CT1(Lo1),3.731596,1.613019,0.000000,1.000000,-51.744574,-0.200000,-48.535409
19,CT1(M10),5.386798,5.519930,0.000000,1.000000,-51.744574,-0.200000,-48.535409
20,Mi1,2.506755,1.836646,0.000000,2.706481,-51.744574,-0.200000,-48.535409
21,Mi2,0.705019,0.691856,0.000000,1.000000,-51.744574,-0.200000,-48.535409
22,Mi3,7.468592,7.684369,0.000000,1.000000,-51.744574,-0.200000,-48.535409
23,Mi4,1.890773,1.523926,0.000000,2.372427,-51.744574,-0.200000,-48.535409
24,Mi9,1.224127,0.865773,0.000000,1.113602,-51.744574,-0.200000,-48.535409
25,Mi10,1.976076,1.949356,0.000000,1.000000,-51.744574,-0.200000,-48.535409
26,Mi11,0.486574,0.402373,0.000000,1.000000,-51.744574,-0.200000,-48.535409
27,Mi12,3.419798,3.751880,0.000000,1.000000,-51.744574,-0.200000,-48.535409
28,Mi13,0.206393,0.155460,0.000000,1.000000,-51.744574,-0.200000,-48.535409
29,Mi14,6.147263,6.307621,0.000000,1.000000,-51.744574,-0.200000,-48.535409
30,Mi15,0.772979,0.723688,0.000000,1.000000,-51.744574,-0.200000,-48.535409
31,T1,0.100000,1.917535,0.000000,1.000000,-51.744574,-0.200000,-48.535409
32,T2,0.499455,0.851329,0.000000,1.000000,-51.744574,-0.200000,-48.535409
33,T2a,0.260214,0.108376,0.000000,1.000000,-51.744574,-0.200000,-48.535409
34,T3,0.145332,0.100000,0.000000,1.000000,-51.744574,-0.200000,-48.535409
35,T4a,1.198778,0.100000,0.000000,2.899810,-51.744574,-0.200000,-48.535409
36,T4b,1.358074,2.806609,0.000000,2.562342,-51.744574,-0.200000,-48.535409
37,T4c,1.087385,0.489715,0.000000,2.671521,-51.744574,-0.200000,-48.535409
38,T4d,2.132407,1.067074,0.000000,1.921458,-51.744574,-0.200000,-48.535409
39,T5a,2.837103,0.917754,0.000000,6.751574,-51.744574,-0.200000,-48.535409
40,T5b,3.737668,0.440487,0.000000,7.037326,-51.744574,-0.200000,-48.535409
41,T5c,5.033251,1.960468,0.000000,6.335354,-51.744574,-0.200000,-48.535409
42,T5d,3.741450,0.100000,0.000000,6.638768,-51.744574,-0.200000,-48.535409
43,Tm1,2.443929,1.025041,0.000000,1.494089,-51.744574,-0.200000,-48.535409
44,Tm2,2.509465,0.100000,0.000000,0.822171,-51.744574,-0.200000,-48.535409
45,Tm3,2.095892,0.356141,0.000000,1.650592,-51.744574,-0.200000,-48.535409
46,Tm4,3.040662,0.100000,0.000000,2.155606,-51.744574,-0.200000,-48.535409
47,Tm5Y,0.100000,0.100000,0.000000,1.000000,-51.744574,-0.200000,-48.535409
48,Tm5a,0.580319,0.554055,0.000000,1.000000,-51.744574,-0.200000,-48.535409
49,Tm5b,0.498821,0.465711,0.000000,1.000000,-51.744574,-0.200000,-48.535409
50,Tm5c,1.596269,2.065392,0.000000,1.000000,-51.744574,-0.200000,-48.535409
51,Tm9,1.319331,0.100000,0.000000,1.959787,-51.744574,-0.200000,-48.535409
52,Tm16,0.475089,0.439101,0.000000,1.000000,-51.744574,-0.200000,-48.535409
53,Tm20,1.038815,1.351781,0.000000,1.000000,-51.744574,-0.200000,-48.535409
54,Tm28,0.100000,0.100000,0.000000,1.000000,-51.744574,-0.200000,-48.535409
55,Tm30,0.444044,0.442540,0.000000,1.000000,-51.744574,-0.200000,-48.535409
56,TmY3,1.419602,0.906106,0.000000,1.000000,-51.744574,-0.200000,-48.535409
57,TmY4,0.429842,0.507819,0.000000,1.000000,-51.744574,-0.200000,-48.535409
58,TmY5a,0.202565,0.100000,0.000000,1.000000,-51.744574,-0.200000,-48.535409
59,TmY9,0.100000,0.100000,0.000000,1.000000,-51.744574,-0.200000,-48.535409
60,TmY10,0.317491,0.269130,0.000000,1.000000,-51.744574,-0.200000,-48.535409
61,TmY13,0.650857,0.692934,0.000000,1.000000,-51.744574,-0.200000,-48.535409
62,TmY14,2.032887,3.004828,0.000000,1.000000,-51.744574,-0.200000,-48.535409
63,TmY15,0.432518,0.948331,0.000000,1.000000,-51.744574,-0.200000,-48.535409
64,TmY18,2.123764,2.259895,0.000000,1.000000,-51.744574,-0.200000,-48.535409
