cell,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
Mi14,720575940626634754,23,14,"2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1",2,-8.786,-7,-10,15.714,17,14,15.714,17.0,14.0,-0.929,0.5,-2.5
Mi14,720575940605465278,29,11,"2, 2, 1, 1, 1, 1, 1, 1, 1",6,-0.364,2,-3,3.909,6,2,3.909,6.0,2.0,1.591,3.0,-0.5
Mi14,720575940628950743,21,10,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1",19,-14.6,-14,-16,12.7,15,11,12.7,15.0,11.0,-8.25,-6.5,-10.0
Mi14,720575940605199584,18,10,"2, 2, 2, 1, 1, 1, 1",35,12.5,14,10,-1.9,0,-3,-1.9,0.0,-3.0,11.55,12.5,10.0
Mi14,720575940639481021,11,7,"2, 1, 1, 1, 1, 1",52,9.857,11,8,2.0,5,0,2.0,5.0,0.0,10.857,11.5,10.5
Mi14,720575940652536054,27,13,"2, 2, 2, 1, 1, 1, 1, 1, 1, 1",57,12.0,13,11,-13.462,-12,-15,-13.462,-12.0,-15.0,5.269,6.5,4.0
Mi14,720575940646477934,30,16,"2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1",67,4.625,7,3,2.562,4,1,2.562,4.0,1.0,5.906,8.0,4.5
Mi14,720575940621589942,19,8,"2, 2, 2, 1, 1",77,5.125,6,4,-5.375,-4,-6,-5.375,-4.0,-6.0,2.438,3.0,1.0
Mi14,720575940619790165,24,14,"2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1",83,13.429,16,12,-5.143,-4,-6,-5.143,-4.0,-6.0,10.857,13.5,9.0
Mi14,720575940627529353,26,9,"2, 2, 2, 1, 1, 1",87,-3.778,-3,-6,-2.889,-1,-4,-2.889,-1.0,-4.0,-5.222,-4.5,-6.5
Mi14,720575940615099334,47,16,"2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",91,-4.375,-2,-6,2.375,4,-1,2.375,4.0,-1.0,-3.188,-1.0,-4.5
Mi14,720575940619217275,35,19,"2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1",101,-9.842,-7,-12,13.895,17,11,13.895,17.0,11.0,-2.895,-0.5,-4.5
