cell,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
Tm31,720575940631204156,19,1,1,111,14.0,14,14,-4.0,-4,-4,-4.0,-4.0,-4.0,12.0,12.0,12.0
Tm31,720575940621756070,23,2,"1, 1",722,13.5,14,13,-13.5,-13,-14,-13.5,-13.0,-14.0,6.75,7.5,6.0
Tm31,720575940605514249,27,0,,,,,,,,,,,,,,
Tm31,720575940607646933,33,0,,,,,,,,,,,,,,
Tm31,720575940608886539,18,0,,,,,,,,,,,,,,
Tm31,720575940609646601,13,0,,,,,,,,,,,,,,
Tm31,720575940611193298,13,0,,,,,,,,,,,,,,
Tm31,720575940613680621,19,0,,,,,,,,,,,,,,
Tm31,720575940614026671,29,0,,,,,,,,,,,,,,
Tm31,720575940614047399,20,0,,,,,,,,,,,,,,
Tm31,720575940614194087,35,0,,,,,,,,,,,,,,
Tm31,720575940614780583,15,0,,,,,,,,,,,,,,
Tm31,720575940614897192,23,0,,,,,,,,,,,,,,
Tm31,720575940616520902,17,0,,,,,,,,,,,,,,
Tm31,720575940616853365,21,0,,,,,,,,,,,,,,
Tm31,720575940617226964,24,0,,,,,,,,,,,,,,
Tm31,720575940617252353,10,0,,,,,,,,,,,,,,
Tm31,720575940618145236,22,0,,,,,,,,,,,,,,
Tm31,720575940620200212,6,0,,,,,,,,,,,,,,
Tm31,720575940620406292,24,0,,,,,,,,,,,,,,
Tm31,720575940620412070,28,0,,,,,,,,,,,,,,
Tm31,720575940620443519,28,0,,,,,,,,,,,,,,
Tm31,720575940620545985,32,0,,,,,,,,,,,,,,
Tm31,720575940620939502,14,0,,,,,,,,,,,,,,
Tm31,720575940620945542,17,0,,,,,,,,,,,,,,
Tm31,720575940620964443,27,0,,,,,,,,,,,,,,
Tm31,720575940622223169,15,0,,,,,,,,,,,,,,
Tm31,720575940623670115,22,0,,,,,,,,,,,,,,
Tm31,720575940623971303,13,0,,,,,,,,,,,,,,
Tm31,720575940626081929,20,0,,,,,,,,,,,,,,
Tm31,720575940626436901,17,0,,,,,,,,,,,,,,
Tm31,720575940626578576,9,0,,,,,,,,,,,,,,
Tm31,720575940629062811,35,0,,,,,,,,,,,,,,
Tm31,720575940629088784,17,0,,,,,,,,,,,,,,
Tm31,720575940629090263,25,0,,,,,,,,,,,,,,
Tm31,720575940629361994,12,0,,,,,,,,,,,,,,
Tm31,720575940629385771,32,0,,,,,,,,,,,,,,
Tm31,720575940630021058,22,0,,,,,,,,,,,,,,
Tm31,720575940630423490,17,0,,,,,,,,,,,,,,
Tm31,720575940630472535,23,0,,,,,,,,,,,,,,
Tm31,720575940630550584,18,0,,,,,,,,,,,,,,
Tm31,720575940631308844,15,0,,,,,,,,,,,,,,
Tm31,720575940631408914,19,0,,,,,,,,,,,,,,
Tm31,720575940631875403,19,0,,,,,,,,,,,,,,
Tm31,720575940632715437,21,0,,,,,,,,,,,,,,
Tm31,720575940632765604,23,0,,,,,,,,,,,,,,
Tm31,720575940635000220,23,0,,,,,,,,,,,,,,
Tm31,720575940635097439,14,0,,,,,,,,,,,,,,
Tm31,720575940635171179,17,0,,,,,,,,,,,,,,
Tm31,720575940635203320,20,0,,,,,,,,,,,,,,
Tm31,720575940635663979,27,0,,,,,,,,,,,,,,
Tm31,720575940640254848,21,0,,,,,,,,,,,,,,
Tm31,720575940642343899,22,0,,,,,,,,,,,,,,
Tm31,720575940652660470,21,0,,,,,,,,,,,,,,
