cell,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
Tm5a,720575940629673772,9,4,"2, 1, 1",2,-9.25,-9,-10,16.5,17,16,16.5,17.0,16.0,-1.0,-0.5,-1.5
Tm5a,720575940624850362,6,3,3,12,-11.0,-11,-11,13.0,13,13,13.0,13.0,13.0,-4.5,-4.5,-4.5
Tm5a,720575940609777301,11,3,3,15,4.0,4,4,-5.0,-5,-5,-5.0,-5.0,-5.0,1.5,1.5,1.5
Tm5a,720575940620217691,15,3,3,17,4.0,4,4,-3.0,-3,-3,-3.0,-3.0,-3.0,2.5,2.5,2.5
Tm5a,720575940616471925,3,1,1,21,-11.0,-11,-11,3.0,3,3,3.0,3.0,3.0,-9.5,-9.5,-9.5
Tm5a,720575940629740560,12,2,2,29,1.0,1,1,1.0,1,1,1.0,1.0,1.0,1.5,1.5,1.5
Tm5a,720575940619723992,10,2,"1, 1",35,13.0,13,13,-1.5,-1,-2,-1.5,-1.0,-2.0,12.25,12.5,12.0
Tm5a,720575940619060347,8,1,1,42,-8.0,-8,-8,2.0,2,2,2.0,2.0,2.0,-7.0,-7.0,-7.0
Tm5a,720575940626269370,9,1,1,45,-4.0,-4,-4,9.0,9,9,9.0,9.0,9.0,0.5,0.5,0.5
Tm5a,720575940638705636,3,1,1,47,-8.0,-8,-8,17.0,17,17,17.0,17.0,17.0,0.5,0.5,0.5
Tm5a,720575940616085042,4,1,1,50,-12.0,-12,-12,3.0,3,3,3.0,3.0,3.0,-10.5,-10.5,-10.5
Tm5a,720575940613761773,7,3,"2, 1",52,10.667,12,10,1.333,2,0,1.333,2.0,0.0,11.333,12.0,11.0
Tm5a,720575940642432909,10,4,"2, 1, 1",55,1.5,2,1,7.25,8,7,7.25,8.0,7.0,5.125,5.5,4.5
Tm5a,720575940620674240,23,2,2,56,8.0,8,8,-3.0,-3,-3,-3.0,-3.0,-3.0,6.5,6.5,6.5
Tm5a,720575940625578220,12,5,"3, 2",58,-3.0,-3,-3,-5.6,-5,-6,-5.6,-5.0,-6.0,-5.8,-5.5,-6.0
Tm5a,720575940622468129,10,3,"2, 1",63,-2.333,-2,-3,-7.667,-7,-8,-7.667,-7.0,-8.0,-6.167,-6.0,-6.5
Tm5a,720575940653185782,4,2,2,68,-5.0,-5,-5,-6.0,-6,-6,-6.0,-6.0,-6.0,-8.0,-8.0,-8.0
Tm5a,720575940612783638,5,1,1,70,-14.0,-14,-14,7.0,7,7,7.0,7.0,7.0,-10.5,-10.5,-10.5
Tm5a,720575940632509226,6,2,2,72,14.0,14,14,0.0,0,0,0.0,0.0,0.0,14.0,14.0,14.0
Tm5a,720575940625020967,7,2,2,73,1.0,1,1,-4.0,-4,-4,-4.0,-4.0,-4.0,-1.0,-1.0,-1.0
Tm5a,720575940614460653,12,5,"3, 1, 1",74,3.8,4,3,1.4,2,1,1.4,2.0,1.0,4.5,5.0,4.0
Tm5a,720575940620822810,5,2,"1, 1",75,-12.5,-12,-13,11.5,12,11,11.5,12.0,11.0,-6.75,-6.5,-7.0
Tm5a,720575940634971799,5,1,1,75,-13.0,-13,-13,12.0,12,12,12.0,12.0,12.0,-7.0,-7.0,-7.0
Tm5a,720575940607420850,7,3,"2, 1",80,-2.333,-2,-3,-8.667,-8,-9,-8.667,-8.0,-9.0,-6.667,-6.5,-7.0
Tm5a,720575940629407543,14,3,"2, 1",86,-0.667,0,-1,8.667,9,8,8.667,9.0,8.0,3.667,4.0,3.5
Tm5a,720575940641061248,7,3,3,94,-4.0,-4,-4,-10.0,-10,-10,-10.0,-10.0,-10.0,-9.0,-9.0,-9.0
Tm5a,720575940620712582,16,2,"1, 1",95,15.0,15,15,-8.5,-8,-9,-8.5,-8.0,-9.0,10.75,11.0,10.5
Tm5a,720575940632177107,12,2,2,97,-6.0,-6,-6,10.0,10,10,10.0,10.0,10.0,-1.0,-1.0,-1.0
Tm5a,720575940620482395,10,1,1,98,5.0,5,5,2.0,2,2,2.0,2.0,2.0,6.0,6.0,6.0
Tm5a,720575940608242818,14,4,"3, 1",108,3.25,4,3,5.75,6,5,5.75,6.0,5.0,6.125,6.5,6.0
Tm5a,720575940633589986,17,5,"3, 2",109,7.0,7,7,-9.4,-9,-10,-9.4,-9.0,-10.0,2.3,2.5,2.0
Tm5a,720575940659625601,11,3,3,110,-7.0,-7,-7,14.0,14,14,14.0,14.0,14.0,0.0,0.0,0.0
Tm5a,720575940632257099,9,2,2,118,3.0,3,3,-7.0,-7,-7,-7.0,-7.0,-7.0,-0.5,-0.5,-0.5
Tm5a,720575940636588645,7,3,"2, 1",125,1.0,1,1,-11.333,-11,-12,-11.333,-11.0,-12.0,-4.667,-4.5,-5.0
Tm5a,720575940632978402,10,3,"2, 1",132,0.0,0,0,-3.667,-3,-4,-3.667,-3.0,-4.0,-1.833,-1.5,-2.0
Tm5a,720575940620612773,15,1,1,139,8.0,8,8,-2.0,-2,-2,-2.0,-2.0,-2.0,7.0,7.0,7.0
Tm5a,720575940632710248,20,3,"1, 1, 1",149,13.333,14,13,-11.667,-11,-12,-11.667,-11.0,-12.0,7.5,8.0,7.0
Tm5a,720575940606041958,7,3,"1, 1, 1",150,-9.667,-9,-10,15.0,16,14,15.0,16.0,14.0,-2.167,-2.0,-2.5
Tm5a,720575940626182019,18,3,3,152,11.0,11,11,-7.0,-7,-7,-7.0,-7.0,-7.0,7.5,7.5,7.5
Tm5a,720575940617605403,4,2,"1, 1",154,-8.5,-8,-9,16.0,16,16,16.0,16.0,16.0,-0.5,0.0,-1.0
Tm5a,720575940616626518,13,3,3,164,0.0,0,0,2.0,2,2,2.0,2.0,2.0,1.0,1.0,1.0
Tm5a,720575940622537036,20,3,"2, 1",174,12.0,12,12,-9.333,-9,-10,-9.333,-9.0,-10.0,7.333,7.5,7.0
Tm5a,720575940623061227,8,2,2,176,-8.0,-8,-8,3.0,3,3,3.0,3.0,3.0,-6.5,-6.5,-6.5
Tm5a,720575940623945254,7,1,1,183,3.0,3,3,9.0,9,9,9.0,9.0,9.0,7.5,7.5,7.5
Tm5a,720575940632189497,19,5,"2, 2, 1",185,8.4,9,8,-4.8,-4,-5,-4.8,-4.0,-5.0,6.0,6.5,5.5
Tm5a,720575940627867208,4,1,1,186,-14.0,-14,-14,2.0,2,2,2.0,2.0,2.0,-13.0,-13.0,-13.0
Tm5a,720575940622311081,10,1,1,197,10.0,10,10,0.0,0,0,0.0,0.0,0.0,10.0,10.0,10.0
Tm5a,720575940627670917,4,3,"2, 1",198,5.667,7,5,-12.333,-12,-13,-12.333,-12.0,-13.0,-0.5,0.5,-1.0
Tm5a,720575940605282220,16,3,3,204,6.0,6,6,-10.0,-10,-10,-10.0,-10.0,-10.0,1.0,1.0,1.0
Tm5a,720575940632390723,7,2,"1, 1",210,-10.5,-10,-11,12.5,13,12,12.5,13.0,12.0,-4.25,-4.0,-4.5
Tm5a,720575940618679124,7,1,1,211,-6.0,-6,-6,13.0,13,13,13.0,13.0,13.0,0.5,0.5,0.5
Tm5a,720575940644136392,12,3,3,213,5.0,5,5,-6.0,-6,-6,-6.0,-6.0,-6.0,2.0,2.0,2.0
Tm5a,720575940618353876,11,4,"3, 1",220,5.0,5,5,-3.75,-3,-4,-3.75,-3.0,-4.0,3.125,3.5,3.0
Tm5a,720575940628170377,7,2,"1, 1",225,15.0,15,15,-4.5,-4,-5,-4.5,-4.0,-5.0,12.75,13.0,12.5
Tm5a,720575940617575197,7,2,2,228,-7.0,-7,-7,13.0,13,13,13.0,13.0,13.0,-0.5,-0.5,-0.5
Tm5a,720575940644961902,20,5,"3, 2",231,10.0,10,10,-8.4,-8,-9,-8.4,-8.0,-9.0,5.8,6.0,5.5
Tm5a,720575940622648956,5,1,1,239,-9.0,-9,-9,12.0,12,12,12.0,12.0,12.0,-3.0,-3.0,-3.0
Tm5a,720575940631928773,11,4,"3, 1",240,-2.25,-2,-3,7.25,8,7,7.25,8.0,7.0,1.375,1.5,1.0
Tm5a,720575940624584947,13,4,"2, 1, 1",241,10.75,11,10,-4.5,-4,-5,-4.5,-4.0,-5.0,8.5,9.0,8.0
Tm5a,720575940624634044,14,3,"2, 1",242,-6.667,-6,-7,8.0,8,8,8.0,8.0,8.0,-2.667,-2.0,-3.0
Tm5a,720575940634305943,10,3,3,248,-6.0,-6,-6,12.0,12,12,12.0,12.0,12.0,0.0,0.0,0.0
Tm5a,720575940622846796,7,3,3,252,-8.0,-8,-8,-7.0,-7,-7,-7.0,-7.0,-7.0,-11.5,-11.5,-11.5
Tm5a,720575940630015479,13,2,2,254,15.0,15,15,-6.0,-6,-6,-6.0,-6.0,-6.0,12.0,12.0,12.0
Tm5a,720575940627970456,4,3,"2, 1",255,1.333,2,1,11.0,11,11,11.0,11.0,11.0,6.833,7.5,6.5
Tm5a,720575940606567358,5,3,"2, 1",257,-8.333,-8,-9,-4.667,-4,-5,-4.667,-4.0,-5.0,-10.667,-10.5,-11.0
Tm5a,720575940628741105,4,1,1,260,-12.0,-12,-12,5.0,5,5,5.0,5.0,5.0,-9.5,-9.5,-9.5
Tm5a,720575940631205906,9,3,3,263,-5.0,-5,-5,6.0,6,6,6.0,6.0,6.0,-2.0,-2.0,-2.0
Tm5a,720575940632342603,6,1,1,266,12.0,12,12,1.0,1,1,1.0,1.0,1.0,12.5,12.5,12.5
Tm5a,720575940607457714,10,3,3,272,4.0,4,4,-6.0,-6,-6,-6.0,-6.0,-6.0,1.0,1.0,1.0
Tm5a,720575940626996286,8,3,3,277,9.0,9,9,-15.0,-15,-15,-15.0,-15.0,-15.0,1.5,1.5,1.5
Tm5a,720575940618873838,5,1,1,279,-8.0,-8,-8,8.0,8,8,8.0,8.0,8.0,-4.0,-4.0,-4.0
Tm5a,720575940628374917,18,5,"3, 1, 1",285,14.8,15,14,-12.2,-12,-13,-12.2,-12.0,-13.0,8.7,9.0,8.0
Tm5a,720575940629264378,7,3,3,287,-11.0,-11,-11,9.0,9,9,9.0,9.0,9.0,-6.5,-6.5,-6.5
Tm5a,720575940612412851,6,3,3,289,-6.0,-6,-6,1.0,1,1,1.0,1.0,1.0,-5.5,-5.5,-5.5
Tm5a,720575940606138302,4,1,1,291,6.0,6,6,-14.0,-14,-14,-14.0,-14.0,-14.0,-1.0,-1.0,-1.0
Tm5a,720575940612356275,5,2,"1, 1",301,-13.0,-13,-13,9.5,10,9,9.5,10.0,9.0,-8.25,-8.0,-8.5
Tm5a,720575940613221529,5,2,"1, 1",304,4.5,5,4,-13.5,-13,-14,-13.5,-13.0,-14.0,-2.25,-2.0,-2.5
Tm5a,720575940616469761,6,1,1,311,-14.0,-14,-14,13.0,13,13,13.0,13.0,13.0,-7.5,-7.5,-7.5
Tm5a,720575940615421452,11,1,1,314,-11.0,-11,-11,17.0,17,17,17.0,17.0,17.0,-2.5,-2.5,-2.5
Tm5a,720575940622141761,14,3,"2, 1",315,-0.333,0,-1,6.0,6,6,6.0,6.0,6.0,2.667,3.0,2.0
Tm5a,720575940625430280,13,2,2,317,-3.0,-3,-3,10.0,10,10,10.0,10.0,10.0,2.0,2.0,2.0
Tm5a,720575940618822523,8,2,2,318,14.0,14,14,-9.0,-9,-9,-9.0,-9.0,-9.0,9.5,9.5,9.5
Tm5a,720575940617425126,11,3,3,319,-4.0,-4,-4,3.0,3,3,3.0,3.0,3.0,-2.5,-2.5,-2.5
Tm5a,720575940618810708,11,2,2,320,1.0,1,1,3.0,3,3,3.0,3.0,3.0,2.5,2.5,2.5
Tm5a,720575940617190801,7,2,2,326,-6.0,-6,-6,-4.0,-4,-4,-4.0,-4.0,-4.0,-8.0,-8.0,-8.0
Tm5a,720575940633055970,9,3,"2, 1",329,-12.0,-12,-12,0.333,1,0,0.333,1.0,0.0,-11.833,-11.5,-12.0
Tm5a,720575940626178762,9,3,3,331,9.0,9,9,-3.0,-3,-3,-3.0,-3.0,-3.0,7.5,7.5,7.5
Tm5a,720575940628641129,7,1,1,333,11.0,11,11,-1.0,-1,-1,-1.0,-1.0,-1.0,10.5,10.5,10.5
Tm5a,720575940631624812,8,3,3,334,14.0,14,14,-2.0,-2,-2,-2.0,-2.0,-2.0,13.0,13.0,13.0
Tm5a,720575940618339284,10,3,3,342,10.0,10,10,-5.0,-5,-5,-5.0,-5.0,-5.0,7.5,7.5,7.5
Tm5a,720575940642299021,12,1,1,344,6.0,6,6,3.0,3,3,3.0,3.0,3.0,7.5,7.5,7.5
Tm5a,720575940630411484,6,2,"1, 1",346,-0.5,1,-2,12.5,13,12,12.5,13.0,12.0,5.75,7.0,4.5
Tm5a,720575940616556347,7,3,"2, 1",350,-6.667,-6,-8,-2.667,-2,-3,-2.667,-2.0,-3.0,-8.0,-7.5,-9.0
Tm5a,720575940621295581,7,3,"2, 1",357,-4.667,-4,-6,-8.667,-8,-9,-8.667,-8.0,-9.0,-9.0,-8.5,-10.0
Tm5a,720575940623145822,14,6,"3, 2, 1",361,4.333,5,4,-1.167,0,-2,-1.167,0.0,-2.0,3.75,4.0,3.5
Tm5a,720575940625508587,11,3,3,362,12.0,12,12,-4.0,-4,-4,-4.0,-4.0,-4.0,10.0,10.0,10.0
Tm5a,720575940641898971,5,2,"1, 1",368,7.0,8,6,7.0,8,6,7.0,8.0,6.0,10.5,11.0,10.0
Tm5a,720575940627307141,12,2,2,372,2.0,2,2,-2.0,-2,-2,-2.0,-2.0,-2.0,1.0,1.0,1.0
Tm5a,720575940633460947,6,2,"1, 1",374,-3.5,-3,-4,-5.5,-5,-6,-5.5,-5.0,-6.0,-6.25,-6.0,-6.5
Tm5a,720575940638747507,6,2,2,375,-9.0,-9,-9,11.0,11,11,11.0,11.0,11.0,-3.5,-3.5,-3.5
Tm5a,720575940629983170,19,4,4,382,6.0,6,6,-6.0,-6,-6,-6.0,-6.0,-6.0,3.0,3.0,3.0
Tm5a,720575940620523284,12,3,3,387,7.0,7,7,1.0,1,1,1.0,1.0,1.0,7.5,7.5,7.5
Tm5a,720575940622109478,5,1,1,388,-6.0,-6,-6,-7.0,-7,-7,-7.0,-7.0,-7.0,-9.5,-9.5,-9.5
Tm5a,720575940638619482,15,2,2,391,6.0,6,6,-9.0,-9,-9,-9.0,-9.0,-9.0,1.5,1.5,1.5
Tm5a,720575940618680128,9,3,"2, 1",394,-3.333,-3,-4,14.0,14,14,14.0,14.0,14.0,3.667,4.0,3.0
Tm5a,720575940625306300,7,2,2,395,11.0,11,11,0.0,0,0,0.0,0.0,0.0,11.0,11.0,11.0
Tm5a,720575940614782206,7,2,2,396,-6.0,-6,-6,2.0,2,2,2.0,2.0,2.0,-5.0,-5.0,-5.0
Tm5a,720575940625772692,12,4,"2, 1, 1",401,8.25,9,7,2.5,3,2,2.5,3.0,2.0,9.5,10.0,8.5
Tm5a,720575940624989959,13,3,"2, 1",406,13.667,14,13,-3.0,-3,-3,-3.0,-3.0,-3.0,12.167,12.5,11.5
Tm5a,720575940612833843,13,3,"2, 1",408,-4.333,-4,-5,12.333,13,12,12.333,13.0,12.0,1.833,2.0,1.5
Tm5a,720575940610139854,14,3,"1, 1, 1",409,2.333,3,2,-1.0,0,-2,-1.0,0.0,-2.0,1.833,2.0,1.5
Tm5a,720575940635977626,16,4,"2, 1, 1",413,1.75,2,1,3.5,4,3,3.5,4.0,3.0,3.5,4.0,3.0
Tm5a,720575940615968159,6,2,"1, 1",415,0.5,1,0,-12.5,-12,-13,-12.5,-12.0,-13.0,-5.75,-5.5,-6.0
Tm5a,720575940621944325,6,3,3,418,-9.0,-9,-9,3.0,3,3,3.0,3.0,3.0,-7.5,-7.5,-7.5
Tm5a,720575940636909998,4,1,1,422,-5.0,-5,-5,14.0,14,14,14.0,14.0,14.0,2.0,2.0,2.0
Tm5a,720575940617820902,13,3,3,423,12.0,12,12,-6.0,-6,-6,-6.0,-6.0,-6.0,9.0,9.0,9.0
Tm5a,720575940622550152,11,2,2,424,-2.0,-2,-2,6.0,6,6,6.0,6.0,6.0,1.0,1.0,1.0
Tm5a,720575940625859453,13,3,"2, 1",427,14.0,14,14,-9.667,-9,-10,-9.667,-9.0,-10.0,9.167,9.5,9.0
Tm5a,720575940632623456,10,3,3,432,-8.0,-8,-8,9.0,9,9,9.0,9.0,9.0,-3.5,-3.5,-3.5
Tm5a,720575940635974042,17,4,"3, 1",439,2.25,3,2,4.75,5,4,4.75,5.0,4.0,4.625,5.0,4.5
Tm5a,720575940632226834,11,3,3,441,11.0,11,11,-6.0,-6,-6,-6.0,-6.0,-6.0,8.0,8.0,8.0
Tm5a,720575940626711098,7,1,1,443,-8.0,-8,-8,12.0,12,12,12.0,12.0,12.0,-2.0,-2.0,-2.0
Tm5a,720575940619804584,24,4,"3, 1",444,9.0,9,9,-8.25,-8,-9,-8.25,-8.0,-9.0,4.875,5.0,4.5
Tm5a,720575940624220157,19,3,3,452,6.0,6,6,-3.0,-3,-3,-3.0,-3.0,-3.0,4.5,4.5,4.5
Tm5a,720575940632932408,12,6,"3, 3",456,-10.0,-10,-10,-0.5,0,-1,-0.5,0.0,-1.0,-10.25,-10.0,-10.5
Tm5a,720575940604797100,18,5,"3, 2",461,10.0,10,10,-14.6,-14,-15,-14.6,-14.0,-15.0,2.7,3.0,2.5
Tm5a,720575940621798938,7,1,1,462,-10.0,-10,-10,2.0,2,2,2.0,2.0,2.0,-9.0,-9.0,-9.0
Tm5a,720575940660587393,10,2,2,464,4.0,4,4,-8.0,-8,-8,-8.0,-8.0,-8.0,0.0,0.0,0.0
Tm5a,720575940627680299,11,3,3,465,3.0,3,3,-6.0,-6,-6,-6.0,-6.0,-6.0,0.0,0.0,0.0
Tm5a,720575940635794111,8,3,"2, 1",466,-6.0,-6,-6,-1.667,-1,-2,-1.667,-1.0,-2.0,-6.833,-6.5,-7.0
Tm5a,720575940656088481,6,1,1,468,-8.0,-8,-8,5.0,5,5,5.0,5.0,5.0,-5.5,-5.5,-5.5
Tm5a,720575940610667413,7,1,1,471,16.0,16,16,-6.0,-6,-6,-6.0,-6.0,-6.0,13.0,13.0,13.0
Tm5a,720575940627820699,5,2,"1, 1",472,-10.5,-10,-11,-3.0,-3,-3,-3.0,-3.0,-3.0,-12.0,-11.5,-12.5
Tm5a,720575940628403452,8,1,1,474,6.0,6,6,5.0,5,5,5.0,5.0,5.0,8.5,8.5,8.5
Tm5a,720575940631555212,12,2,"1, 1",474,6.5,7,6,4.5,5,4,4.5,5.0,4.0,8.75,9.0,8.5
Tm5a,720575940617333051,10,2,"1, 1",477,-4.5,-4,-5,6.0,6,6,6.0,6.0,6.0,-1.5,-1.0,-2.0
Tm5a,720575940639829667,14,4,"3, 1",480,13.25,14,13,-7.0,-7,-7,-7.0,-7.0,-7.0,9.75,10.5,9.5
Tm5a,720575940617060747,21,5,"3, 1, 1",484,7.8,8,7,-7.2,-7,-8,-7.2,-7.0,-8.0,4.2,4.5,3.5
Tm5a,720575940610055470,15,4,"3, 1",485,-0.75,0,-1,4.75,5,4,4.75,5.0,4.0,1.625,2.0,1.5
Tm5a,720575940629430602,12,4,4,487,2.0,2,2,-3.0,-3,-3,-3.0,-3.0,-3.0,0.5,0.5,0.5
Tm5a,720575940622841468,7,2,2,493,-14.0,-14,-14,5.0,5,5,5.0,5.0,5.0,-11.5,-11.5,-11.5
Tm5a,720575940611217250,21,4,"2, 2",500,11.5,12,11,-14.0,-14,-14,-14.0,-14.0,-14.0,4.5,5.0,4.0
Tm5a,720575940619574395,7,2,2,502,1.0,1,1,-10.0,-10,-10,-10.0,-10.0,-10.0,-4.0,-4.0,-4.0
Tm5a,720575940621415862,6,2,2,503,-5.0,-5,-5,-7.0,-7,-7,-7.0,-7.0,-7.0,-8.5,-8.5,-8.5
Tm5a,720575940624826867,9,2,"1, 1",507,1.5,2,1,9.5,10,9,9.5,10.0,9.0,6.25,6.5,6.0
Tm5a,720575940613110195,15,5,"3, 2",511,11.0,11,11,-10.6,-10,-11,-10.6,-10.0,-11.0,5.7,6.0,5.5
Tm5a,720575940623443241,8,3,3,512,6.0,6,6,-12.0,-12,-12,-12.0,-12.0,-12.0,0.0,0.0,0.0
Tm5a,720575940616694667,3,1,1,518,-15.0,-15,-15,8.0,8,8,8.0,8.0,8.0,-11.0,-11.0,-11.0
Tm5a,720575940619888843,10,3,3,520,9.0,9,9,4.0,4,4,4.0,4.0,4.0,11.0,11.0,11.0
Tm5a,720575940624281271,8,1,1,522,-4.0,-4,-4,8.0,8,8,8.0,8.0,8.0,0.0,0.0,0.0
Tm5a,720575940626110503,7,3,3,531,1.0,1,1,-2.0,-2,-2,-2.0,-2.0,-2.0,0.0,0.0,0.0
Tm5a,720575940611502178,14,2,"1, 1",542,12.5,13,12,-12.5,-12,-13,-12.5,-12.0,-13.0,6.25,6.5,6.0
Tm5a,720575940627204627,15,3,3,548,9.0,9,9,-2.0,-2,-2,-2.0,-2.0,-2.0,8.0,8.0,8.0
Tm5a,720575940617185675,5,2,2,550,-3.0,-3,-3,3.0,3,3,3.0,3.0,3.0,-1.5,-1.5,-1.5
Tm5a,720575940630614073,4,1,1,550,-3.0,-3,-3,3.0,3,3,3.0,3.0,3.0,-1.5,-1.5,-1.5
Tm5a,720575940610059844,7,2,2,552,5.0,5,5,-9.0,-9,-9,-9.0,-9.0,-9.0,0.5,0.5,0.5
Tm5a,720575940629081982,9,3,3,562,-4.0,-4,-4,10.0,10,10,10.0,10.0,10.0,1.0,1.0,1.0
Tm5a,720575940621673606,8,2,"1, 1",565,13.5,14,13,-0.5,0,-1,-0.5,0.0,-1.0,13.25,13.5,13.0
Tm5a,720575940629583098,13,5,"3, 2",570,-9.6,-9,-10,-5.0,-5,-5,-5.0,-5.0,-5.0,-12.1,-11.5,-12.5
Tm5a,720575940618736965,4,2,"1, 1",574,-8.0,-8,-8,10.5,11,10,10.5,11.0,10.0,-2.75,-2.5,-3.0
Tm5a,720575940610707576,3,1,1,575,2.0,2,2,-13.0,-13,-13,-13.0,-13.0,-13.0,-4.5,-4.5,-4.5
Tm5a,720575940634122465,11,2,2,578,10.0,10,10,-9.0,-9,-9,-9.0,-9.0,-9.0,5.5,5.5,5.5
Tm5a,720575940614628758,9,3,3,581,-1.0,-1,-1,-7.0,-7,-7,-7.0,-7.0,-7.0,-4.5,-4.5,-4.5
Tm5a,720575940632605977,7,2,"1, 1",586,-8.0,-7,-9,-3.5,-3,-4,-3.5,-3.0,-4.0,-9.75,-9.0,-10.5
Tm5a,720575940652902646,13,5,"3, 1, 1",598,10.8,11,10,-3.4,-2,-4,-3.4,-2.0,-4.0,9.1,9.5,9.0
Tm5a,720575940631162655,19,3,3,600,8.0,8,8,-6.0,-6,-6,-6.0,-6.0,-6.0,5.0,5.0,5.0
Tm5a,720575940638029534,3,2,2,603,9.0,9,9,5.0,5,5,5.0,5.0,5.0,11.5,11.5,11.5
Tm5a,720575940632244527,8,4,"2, 1, 1",605,-3.5,-3,-4,-7.25,-7,-8,-7.25,-7.0,-8.0,-7.125,-6.5,-7.5
Tm5a,720575940628642890,17,3,"2, 1",609,-2.333,-2,-3,4.333,5,4,4.333,5.0,4.0,-0.167,0.0,-0.5
Tm5a,720575940629353319,6,2,2,610,14.0,14,14,-5.0,-5,-5,-5.0,-5.0,-5.0,11.5,11.5,11.5
Tm5a,720575940639887960,11,1,1,611,8.0,8,8,2.0,2,2,2.0,2.0,2.0,9.0,9.0,9.0
Tm5a,720575940612017075,5,2,2,622,-15.0,-15,-15,10.0,10,10,10.0,10.0,10.0,-10.0,-10.0,-10.0
Tm5a,720575940625264056,6,2,2,623,-5.0,-5,-5,-3.0,-3,-3,-3.0,-3.0,-3.0,-6.5,-6.5,-6.5
Tm5a,720575940629089795,19,4,"3, 1",626,-1.25,-1,-2,10.25,11,10,10.25,11.0,10.0,3.875,4.0,3.5
Tm5a,720575940614124463,12,2,"1, 1",628,0.5,1,0,-0.5,0,-1,-0.5,0.0,-1.0,0.25,0.5,0.0
Tm5a,720575940617879993,8,3,3,632,13.0,13,13,-6.0,-6,-6,-6.0,-6.0,-6.0,10.0,10.0,10.0
Tm5a,720575940632264519,5,1,1,633,11.0,11,11,2.0,2,2,2.0,2.0,2.0,12.0,12.0,12.0
Tm5a,720575940621756910,7,2,"1, 1",634,4.5,5,4,5.5,6,5,5.5,6.0,5.0,7.25,7.5,7.0
Tm5a,720575940633854350,8,2,"1, 1",638,-4.0,-4,-4,1.5,2,1,1.5,2.0,1.0,-3.25,-3.0,-3.5
Tm5a,720575940622962019,6,1,1,642,1.0,1,1,9.0,9,9,9.0,9.0,9.0,5.5,5.5,5.5
Tm5a,720575940622205044,5,2,2,648,-2.0,-2,-2,-3.0,-3,-3,-3.0,-3.0,-3.0,-3.5,-3.5,-3.5
Tm5a,720575940641117147,12,1,1,656,6.0,6,6,-1.0,-1,-1,-1.0,-1.0,-1.0,5.5,5.5,5.5
