cell,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
Tm5b,720575940625661246,12,6,"3, 2, 1",2,-9.333,-9,-10,16.5,17,16,16.5,17.0,16.0,-1.083,-0.5,-1.5
Tm5b,720575940629198235,18,5,"3, 2",6,0.4,1,0,3.6,4,3,3.6,4.0,3.0,2.2,2.5,2.0
Tm5b,720575940620256677,11,5,"4, 1",7,-3.0,-3,-3,12.2,13,12,12.2,13.0,12.0,3.1,3.5,3.0
Tm5b,720575940634915991,16,3,"2, 1",10,13.333,14,13,-11.0,-11,-11,-11.0,-11.0,-11.0,7.833,8.5,7.5
Tm5b,720575940630788370,14,3,"1, 1, 1",20,8.667,9,8,-6.667,-6,-7,-6.667,-6.0,-7.0,5.333,6.0,4.5
Tm5b,720575940637899497,10,2,2,22,-2.0,-2,-2,1.0,1,1,1.0,1.0,1.0,-1.5,-1.5,-1.5
Tm5b,720575940628113939,19,3,"1, 1, 1",23,5.0,6,4,5.667,6,5,5.667,6.0,5.0,7.833,8.5,7.0
Tm5b,720575940623242776,15,2,2,26,3.0,3,3,-3.0,-3,-3,-3.0,-3.0,-3.0,1.5,1.5,1.5
Tm5b,720575940626891466,11,4,"2, 1, 1",31,-8.25,-8,-9,0.5,1,0,0.5,1.0,0.0,-8.0,-7.5,-8.5
Tm5b,720575940624609428,11,4,"2, 1, 1",32,-5.5,-5,-6,-0.25,0,-1,-0.25,0.0,-1.0,-5.625,-5.0,-6.0
Tm5b,720575940626048816,13,4,"3, 1",35,13.0,13,13,-1.75,-1,-2,-1.75,-1.0,-2.0,12.125,12.5,12.0
Tm5b,720575940619011195,12,4,"2, 1, 1",43,-14.75,-14,-16,9.75,10,9,9.75,10.0,9.0,-9.875,-9.0,-11.0
Tm5b,720575940620664967,18,6,"4, 2",44,10.0,10,10,-10.333,-10,-11,-10.333,-10.0,-11.0,4.833,5.0,4.5
Tm5b,720575940611610574,10,3,"1, 1, 1",52,10.0,11,9,1.667,2,1,1.667,2.0,1.0,10.833,11.5,10.0
Tm5b,720575940615173538,16,3,"2, 1",56,8.333,9,8,-3.0,-3,-3,-3.0,-3.0,-3.0,6.833,7.5,6.5
Tm5b,720575940622775178,18,7,"3, 2, 1, 1",59,-3.143,-2,-5,3.857,5,3,3.857,5.0,3.0,-1.214,-0.5,-3.0
Tm5b,720575940616223419,9,5,"3, 2",66,-4.6,-4,-5,-5.4,-5,-6,-5.4,-5.0,-6.0,-7.3,-7.0,-7.5
Tm5b,720575940623963655,13,3,"2, 1",71,0.0,0,0,2.667,3,2,2.667,3.0,2.0,1.333,1.5,1.0
Tm5b,720575940622467956,22,5,"3, 2",74,3.6,4,3,1.4,2,1,1.4,2.0,1.0,4.3,4.5,4.0
Tm5b,720575940624718775,10,1,1,75,-13.0,-13,-13,12.0,12,12,12.0,12.0,12.0,-7.0,-7.0,-7.0
Tm5b,720575940642329140,17,3,3,77,5.0,5,5,-5.0,-5,-5,-5.0,-5.0,-5.0,2.5,2.5,2.5
Tm5b,720575940638737222,7,3,"2, 1",78,-8.333,-8,-9,-4.0,-4,-4,-4.0,-4.0,-4.0,-10.333,-10.0,-11.0
Tm5b,720575940614569538,11,4,"3, 1",79,1.75,2,1,-4.75,-4,-5,-4.75,-4.0,-5.0,-0.625,-0.5,-1.0
Tm5b,720575940646893108,12,6,"2, 1, 1, 1, 1",87,-4.333,-4,-5,-3.167,-2,-4,-3.167,-2.0,-4.0,-5.917,-5.0,-7.0
Tm5b,720575940626375506,12,6,"3, 2, 1",90,-6.5,-6,-7,7.333,8,7,7.333,8.0,7.0,-2.833,-2.5,-3.5
Tm5b,720575940617784793,9,3,"2, 1",94,-4.0,-4,-4,-10.333,-10,-11,-10.333,-10.0,-11.0,-9.167,-9.0,-9.5
Tm5b,720575940623992163,19,5,"2, 2, 1",95,15.4,16,15,-8.8,-8,-9,-8.8,-8.0,-9.0,11.0,11.5,10.5
Tm5b,720575940643350688,17,4,"2, 1, 1",96,5.75,6,5,-2.25,-2,-3,-2.25,-2.0,-3.0,4.625,5.0,4.0
Tm5b,720575940629381111,16,6,"3, 2, 1",97,-5.667,-5,-7,9.5,10,9,9.5,10.0,9.0,-0.917,-0.5,-2.0
Tm5b,720575940624512243,13,3,"1, 1, 1",98,5.333,6,5,2.333,3,2,2.333,3.0,2.0,6.5,7.0,6.0
Tm5b,720575940632054840,9,5,"3, 1, 1",99,-2.8,-2,-3,-9.2,-9,-10,-9.2,-9.0,-10.0,-7.4,-6.5,-8.0
Tm5b,720575940629794819,21,6,"3, 2, 1",109,6.5,7,6,-8.833,-8,-10,-8.833,-8.0,-10.0,2.083,2.5,2.0
Tm5b,720575940632775480,12,3,3,112,-6.0,-6,-6,11.0,11,11,11.0,11.0,11.0,-0.5,-0.5,-0.5
Tm5b,720575940620053441,12,3,"2, 1",115,-5.0,-5,-5,7.667,8,7,7.667,8.0,7.0,-1.167,-1.0,-1.5
Tm5b,720575940631298152,16,5,"3, 2",119,-4.6,-4,-5,4.0,4,4,4.0,4.0,4.0,-2.6,-2.0,-3.0
Tm5b,720575940609942795,13,2,2,120,0.0,0,0,1.0,1,1,1.0,1.0,1.0,0.5,0.5,0.5
Tm5b,720575940626564593,6,4,"3, 1",121,-10.0,-10,-10,16.25,17,16,16.25,17.0,16.0,-1.875,-1.5,-2.0
Tm5b,720575940633891982,9,3,"1, 1, 1",122,-8.667,-8,-9,9.333,10,9,9.333,10.0,9.0,-4.0,-3.5,-4.5
Tm5b,720575940624469030,20,3,"2, 1",124,5.0,5,5,-2.667,-2,-3,-2.667,-2.0,-3.0,3.667,4.0,3.5
Tm5b,720575940615061138,13,5,"3, 2",126,-2.0,-2,-2,-7.4,-7,-8,-7.4,-7.0,-8.0,-5.7,-5.5,-6.0
Tm5b,720575940632873273,8,3,"1, 1, 1",127,-7.333,-7,-8,-1.333,-1,-2,-1.333,-1.0,-2.0,-8.0,-7.5,-8.5
Tm5b,720575940652856054,12,3,"1, 1, 1",128,14.333,15,14,-5.667,-5,-6,-5.667,-5.0,-6.0,11.5,12.0,11.0
Tm5b,720575940631584301,4,2,2,132,0.0,0,0,-4.0,-4,-4,-4.0,-4.0,-4.0,-2.0,-2.0,-2.0
