cell,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
TmY3,720575940625484425,42,34,"8, 8, 6, 4, 3, 3, 1, 1",1,-12.441,-11,-14,10.735,12,10,10.735,12.0,10.0,-7.074,-5.0,-8.5
TmY3,720575940638728792,57,41,"6, 6, 5, 5, 5, 5, 5, 1, 1, 1, 1",3,11.927,13,10,-11.927,-10,-13,-11.927,-10.0,-13.0,5.963,7.5,4.0
TmY3,720575940632487566,64,45,"8, 8, 6, 5, 5, 4, 3, 3, 1, 1, 1",5,-9.022,-8,-11,1.556,4,0,1.556,4.0,0.0,-8.244,-7.0,-9.5
TmY3,720575940631882974,60,47,"8, 6, 5, 4, 4, 4, 4, 2, 2, 2, 1, 1, 1, 1, 1, 1",8,-16.936,-15,-18,8.447,11,6,8.447,11.0,6.0,-12.713,-11.5,-15.0
TmY3,720575940625536295,42,31,"7, 6, 6, 4, 3, 1, 1, 1, 1, 1",9,-0.387,1,-2,-8.742,-7,-10,-8.742,-7.0,-10.0,-4.758,-3.0,-6.0
TmY3,720575940624591368,54,41,"8, 7, 5, 5, 4, 3, 3, 2, 1, 1, 1, 1",10,13.0,15,12,-11.341,-10,-13,-11.341,-10.0,-13.0,7.329,9.0,5.5
TmY3,720575940622795870,25,17,"4, 3, 3, 2, 2, 1, 1, 1",13,11.706,13,10,2.294,4,-1,2.294,4.0,-1.0,12.853,13.5,12.0
TmY3,720575940625462024,24,16,"5, 4, 3, 1, 1, 1, 1",14,13.75,15,13,-0.562,0,-2,-0.562,0.0,-2.0,13.469,14.5,12.5
TmY3,720575940620892654,43,31,"5, 5, 5, 4, 3, 3, 2, 1, 1, 1, 1",18,13.258,15,12,-10.452,-9,-12,-10.452,-9.0,-12.0,8.032,10.0,6.5
TmY3,720575940629590071,55,43,"7, 7, 6, 5, 5, 4, 4, 3, 1, 1",19,-15.233,-14,-17,12.837,15,12,12.837,15.0,12.0,-8.814,-6.5,-11.0
TmY3,720575940637336944,55,39,"9, 6, 6, 4, 4, 3, 2, 2, 1, 1, 1",21,-10.923,-10,-12,2.692,5,1,2.692,5.0,1.0,-9.577,-8.5,-11.0
TmY3,720575940623091165,30,26,"6, 5, 4, 3, 3, 2, 1, 1, 1",23,5.231,7,3,5.885,7,5,5.885,7.0,5.0,8.173,9.5,6.5
