idx,cell,in_gain,out_gain,v_th,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,R1-6,1.000000,0.972695,-50.000000,1.047459,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
1,R7,1.000000,1.017039,-50.000000,1.016414,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
2,R8,1.000000,1.048898,-50.000000,0.984709,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
3,L1,1.000000,1.026279,-50.000000,0.955432,45.508579,46.618053,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
4,L2,1.000000,0.971367,-50.000000,0.975774,47.050083,47.735104,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
5,L3,1.000000,1.029554,-50.000000,1.015941,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
6,L4,1.000000,0.997389,-50.000000,0.965828,47.417229,46.664131,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
7,L5,1.000000,1.027620,-50.000000,1.042137,50.817799,51.722885,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
8,Mi1,1.000000,0.955417,-50.000000,1.011979,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
9,Mi4,1.000000,0.998625,-50.000000,0.974712,0.000000,0.000000,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310,-50.238319,-0.250240,-47.720455,-51.207043,-0.258771,-48.617310
