idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,0.100000,0.723368,1.011451,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
1,C3,6.977234,1.638526,1.030741,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
2,L1,0.914963,5.175470,13.190515,44.912391,57.018026,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
3,L2,1.279866,1.338572,6.248605,43.557429,55.209642,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
4,L3,0.409075,3.363777,1.585785,6.652915,0.170814,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
5,L4,29.533763,4.153559,5.661526,58.233521,44.563849,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
6,L5,0.715156,2.406457,0.100000,69.000556,29.466173,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
7,Mi1,4.138501,1.086027,0.230302,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
8,Mi4,6.868890,0.171641,1.378882,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
9,Mi9,0.709652,1.204604,1.043075,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
10,R1-6,2.880143,8.333638,0.935714,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
11,R7,0.100000,10.701652,1.056808,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
12,R8,8.046689,0.100000,1.002882,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
13,T1,0.100000,0.100000,1.007885,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
14,T2,0.100000,0.114243,0.917491,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
15,T2a,0.735914,1.320922,1.079826,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
16,T3,0.612828,0.100000,1.057060,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
17,T4a,0.205955,1.646462,1.694723,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
18,T4b,0.241170,0.100000,1.594959,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
19,T4c,0.107798,6.980391,1.999997,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
20,T4d,0.100000,0.100000,2.436752,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
21,T5a,4.000714,0.100000,0.513453,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
22,T5b,4.663109,0.100000,0.551048,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
23,T5c,5.499987,0.291198,0.650907,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
24,T5d,3.312831,0.100000,0.407582,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
25,Tm1,9.492395,8.707567,0.582938,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
26,Tm2,21.192536,0.321157,0.100000,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
27,Tm20,0.781325,1.020607,0.998475,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
28,Tm21,2.034888,0.326843,0.977315,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
29,Tm3,4.111951,0.100000,1.062025,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
30,Tm4,5.180781,3.089985,0.554241,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
31,Tm9,0.825165,0.100000,1.197804,0.000000,0.000000,-48.447338,-0.268558,-70.000000,-46.964465,-0.400000,-67.761975
