idx,ctype,in_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,0.100000,0.100000,0.955125,0.000000,0.000000,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000
1,C3,7.631524,11.298004,1.023506,0.000000,0.000000,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000
2,L1,11.284215,6.147030,0.521398,40.395733,47.858390,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000
3,L2,9.447189,4.059271,0.413254,50.997948,47.618690,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000
4,L3,0.939571,1.755496,0.478204,0.000000,0.000000,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000
5,L4,56.401485,0.100000,0.429004,45.302096,39.878157,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000
6,L5,0.100000,10.381365,0.100000,55.194373,41.105906,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000
7,Mi1,5.485909,0.747104,0.123470,0.000000,0.000000,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000
8,Mi4,7.765921,0.164601,1.080054,0.000000,0.000000,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000
9,Mi9,6.785966,1.102428,0.310584,0.000000,0.000000,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000
10,R1-6,0.100000,16.229164,0.974262,0.000000,0.000000,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000
11,R7,0.100000,4.676841,0.992658,0.000000,0.000000,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000,-38.528741,-0.288186,-67.357237,-42.798609,-0.200000,-40.000000
