idx,ctype,in_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,0.100000,0.100000,1.026217,0.000000,0.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
1,C3,1.513226,0.313809,0.974584,0.000000,0.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
2,L1,10.000000,3.540616,0.933068,49.073362,45.877205,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
3,L2,2.153323,5.527946,1.886438,52.618938,43.255995,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
4,L3,4.613749,9.413585,2.948102,64.196635,30.767354,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
5,L4,10.000000,9.740832,0.330326,52.698349,44.670492,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
6,L5,1.896872,2.843977,0.121660,53.678252,46.261298,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
7,Mi1,2.918126,2.969636,0.306674,0.000000,0.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
8,Mi4,0.693100,0.100000,1.775799,0.000000,0.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
9,Mi9,5.630001,0.100000,9.228330,0.000000,0.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
10,R1-6,0.100000,5.920554,0.595798,0.000000,0.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
11,R7,0.100000,3.739919,0.621608,0.000000,0.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
12,R8,0.100000,0.100000,0.683341,0.000000,0.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
13,T1,2.348884,4.559473,0.980619,0.000000,0.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
14,T2,1.751876,2.436672,1.016433,0.000000,0.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
15,T2a,1.543228,1.507928,1.028316,0.000000,0.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
16,T3,1.006852,0.100000,0.958738,0.000000,0.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
17,T4a,0.100000,0.100000,0.950591,0.000000,0.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
18,T4b,1.428364,0.100000,1.025918,0.000000,0.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
19,T4c,2.827226,6.675744,0.976440,0.000000,0.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
20,T4d,1.007255,1.001251,0.964675,0.000000,0.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
21,T5a,0.978799,0.971508,0.955039,0.000000,0.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
22,T5b,2.640934,2.278505,0.972697,0.000000,0.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
23,T5c,0.889877,0.998584,1.020132,0.000000,0.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
24,T5d,1.008222,0.997887,0.965989,0.000000,0.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
25,Tm1,6.185731,0.100000,0.966066,0.000000,0.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
26,Tm2,4.315305,1.632821,2.420826,0.000000,0.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000,-34.273948,-0.200000,-65.259960,-37.641434,-0.200000,-40.000000
