idx,ctype,in_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,1.000000,1.000000,1.001821,0.000000,0.000000,-42.261831,-0.200000,-46.154953,-48.917875,-0.200000,-45.342096,-42.261831,-0.200000,-46.154953,-48.917875,-0.200000,-45.342096
1,C3,1.000000,1.000000,0.965762,0.000000,0.000000,-42.261831,-0.200000,-46.154953,-48.917875,-0.200000,-45.342096,-42.261831,-0.200000,-46.154953,-48.917875,-0.200000,-45.342096
2,L1,1.000000,1.000000,7.377923,52.592564,37.166798,-42.261831,-0.200000,-46.154953,-48.917875,-0.200000,-45.342096,-42.261831,-0.200000,-46.154953,-48.917875,-0.200000,-45.342096
3,L2,1.000000,1.000000,7.384834,47.309742,45.288262,-42.261831,-0.200000,-46.154953,-48.917875,-0.200000,-45.342096,-42.261831,-0.200000,-46.154953,-48.917875,-0.200000,-45.342096
4,L3,1.000000,1.000000,1.539175,0.000000,0.000000,-42.261831,-0.200000,-46.154953,-48.917875,-0.200000,-45.342096,-42.261831,-0.200000,-46.154953,-48.917875,-0.200000,-45.342096
5,L4,1.000000,1.000000,16.829461,44.841864,47.691239,-42.261831,-0.200000,-46.154953,-48.917875,-0.200000,-45.342096,-42.261831,-0.200000,-46.154953,-48.917875,-0.200000,-45.342096
6,L5,1.000000,1.000000,19.408249,59.662958,37.448651,-42.261831,-0.200000,-46.154953,-48.917875,-0.200000,-45.342096,-42.261831,-0.200000,-46.154953,-48.917875,-0.200000,-45.342096
7,Mi1,1.000000,1.000000,1.822172,0.000000,0.000000,-42.261831,-0.200000,-46.154953,-48.917875,-0.200000,-45.342096,-42.261831,-0.200000,-46.154953,-48.917875,-0.200000,-45.342096
8,Mi4,1.000000,1.000000,3.251350,0.000000,0.000000,-42.261831,-0.200000,-46.154953,-48.917875,-0.200000,-45.342096,-42.261831,-0.200000,-46.154953,-48.917875,-0.200000,-45.342096
9,Mi9,1.000000,1.000000,2.590022,0.000000,0.000000,-42.261831,-0.200000,-46.154953,-48.917875,-0.200000,-45.342096,-42.261831,-0.200000,-46.154953,-48.917875,-0.200000,-45.342096
