,C2,C3,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,R1-6,R7,R8,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9
C2,0.100000,14.065012,4.043380,0.154237,0.100000,12.902649,1.286862,0.100000,5.354933,,5.522363,4.036876,0.348864,1.094935,0.100000,12.432544,0.100000,,,,,,,,,1.719130,,,,,,0.901180
C3,0.100000,,4.343560,0.100000,1.656670,14.122622,0.100000,0.910471,0.100000,0.431134,9.521874,,,1.447643,2.177034,8.152044,9.142668,2.898191,0.100000,0.100000,0.967656,,,,,2.791551,0.804942,0.100000,1.105872,0.100000,5.056998,0.659765
L1,0.987539,0.400717,0.100000,0.100000,1.026395,0.100000,4.694898,0.845420,0.100000,,0.100000,7.871431,10.008145,14.326920,0.100000,17.804343,,,,,,,,,,0.100000,0.100000,,,2.435727,,
L2,1.317846,0.964186,0.100000,7.267490,0.100000,16.594835,0.100000,0.100000,0.100000,4.148899,2.205211,,0.100000,1.051366,0.100000,0.998292,,,,,,,,,,0.677567,0.968260,0.533876,,0.100000,4.350474,
L3,0.100000,1.787647,1.010385,2.009492,,,,0.597252,0.100000,0.853386,,0.100000,2.230561,0.285968,,,,,,,,,,,,0.248753,0.100000,0.100000,1.001202,,4.792133,1.304172
L4,,19.643391,2.595656,3.021221,0.191020,0.100000,10.090441,0.100000,,4.080842,2.306314,,,,2.119710,,,,,,,,,,,1.214898,1.280088,,,,1.974371,6.526804
L5,0.680946,0.623677,0.521784,10.347191,,,2.043023,0.221372,5.639636,0.100000,,,,8.808784,1.335795,0.100000,,,,,,,,,,0.631408,0.100000,6.438949,1.208715,1.338203,7.466399,
Mi1,0.905599,0.100989,5.740293,3.103381,,,5.748747,0.100000,0.599892,0.528996,,0.100000,11.730508,0.916702,0.164990,1.793754,3.347323,0.100000,0.254201,0.235760,0.484817,,,,,0.100000,4.251616,2.780039,0.100000,1.530351,0.636097,
Mi4,2.668383,15.595811,,6.146917,8.237512,,0.100000,0.566750,10.400492,0.390859,,,,6.280963,,19.968862,,2.080590,0.100000,0.100000,1.431793,,,,,0.100000,1.296462,0.100000,,5.872710,10.336585,1.684484
Mi9,3.388311,,,,0.100000,0.430533,,9.116280,1.772961,,,,,,6.494102,0.100000,0.100000,2.083591,1.850477,2.532367,1.472093,,,,,0.860477,1.852340,6.630101,1.988309,0.100000,2.227162,0.100000
R1-6,0.916297,0.100000,4.421798,3.211518,0.113272,8.613096,,,,,2.904068,,,1.511153,,,,,,,,,,,,,,,,,,
R7,,0.100000,20.203000,,0.459782,,,0.251699,0.100000,2.539908,,,0.956054,,,,,,,,,,,,,,,1.064320,,,,
R8,0.100000,0.100000,14.600082,0.100000,1.761737,,0.283625,0.100000,0.100000,4.458973,,0.582038,7.876026,1.585499,,,,,,,,,,,,,,3.235298,0.645760,,,
T1,,,,0.100000,0.100000,,0.100000,,,3.789302,0.100000,0.496471,17.700492,,,,,,,,,,,,,2.880350,2.259168,4.337873,,,0.100000,
T2,,,,,,,0.291596,0.430444,,5.849375,,,,,0.100000,0.952937,15.019968,,,,,,,,,1.301134,4.827709,,0.100000,2.133488,0.102551,
T2a,4.885265,,,,,,,0.124170,,,,,,,0.100000,1.296031,3.114995,,,,,,,,,0.844922,,2.041513,1.039756,0.116306,0.644703,
T3,,0.346266,,,,,,,,,,,,,0.627055,0.992149,0.995104,,,,0.980508,,,,,0.100000,,,0.100000,0.100000,,
T4a,,0.957356,,,,,,,,1.422652,,,,,,,,4.435523,1.030420,0.973254,0.968505,1.038110,,,,,,,,,,
T4b,,,,,,,,0.100000,0.100000,0.686687,,,,,,,,0.967439,2.980059,,1.034643,,0.271141,,,,,,,,,
T4c,,,,,,,,,,1.620577,,,,,0.961421,,,,,0.100000,,,,1.020127,1.030018,,,,,,,
T4d,,,,,,,,0.126226,,,,,,,,,,,,0.967555,0.242135,,,,1.031934,,,,,,,
T5a,,,,,,,,,,,,,,,2.452540,,,0.100000,,,,0.732381,1.043671,,,,3.810101,,,,,
T5b,,,,,,,,,,,,,,,0.299991,,,,1.008546,,,1.015287,0.859701,,,,,,,,,
T5c,,,,,,,,,,,,,,,0.100000,,,,,7.919467,,,1.040792,0.100000,1.014493,,,,,,,
T5d,,,,,,,,,,,,,,,0.639148,,,,,7.189825,1.031881,,,,0.616673,,,,,,,
Tm1,0.100000,0.100000,,0.100000,,,0.100000,1.217680,0.100000,0.633677,,,,0.100000,6.905793,0.519535,0.215362,,,0.985673,,4.340221,1.666761,7.104939,6.331838,5.434834,0.100000,0.817906,0.100000,0.100000,3.513439,1.491154
Tm2,,0.292077,5.250661,0.100000,,,0.104067,2.136053,0.389611,0.604906,,,,0.100000,0.309599,0.836343,0.100000,0.954734,,9.440257,,4.982158,0.100000,8.943846,0.890329,1.011271,,,0.100000,1.080651,5.195921,0.100000
Tm20,,0.358039,,,,,,,0.100000,1.569569,,,,3.899497,0.263174,0.100000,,,,,,,,,,0.100000,3.722579,0.686789,0.960078,,,0.869120
Tm21,,,,,,,,0.935449,,,,,,,0.688049,1.038810,,,,,,,,,,0.100000,,,1.108958,,,
Tm3,10.717309,0.100000,0.100000,0.100000,,,,0.100000,0.100000,0.108607,,,,,0.100000,0.218585,4.451825,0.766337,1.616779,1.836332,0.493123,,1.029481,,1.011699,,,,,5.187573,2.565965,
Tm4,1.076766,0.100000,,0.100000,,,,0.543159,2.951831,,,,,0.145448,0.412718,0.100000,1.293335,,,,,3.778519,0.100000,7.005572,3.071107,0.100000,0.100000,,2.961269,0.100000,4.808500,
Tm9,,,,,0.100000,,,,0.100000,0.100000,,,,,0.534371,0.100000,,,,,,1.507574,0.529681,6.626687,0.165565,0.100000,0.100000,6.142062,0.916772,,0.726250,1.007584
