,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,5.000000,,,5.000000,5.000000,0.500000,0.500000,,,,,0.500000,,,,,,,,,,,,,,,,,,,0.500000,2.068713
R7,,,1.994228,5.000000,,0.527859,,,1.426522,0.612508,0.842893,,,,,,,,,,,,,,,2.249721,,,,,,0.500000
R8,,4.231484,0.500000,5.000000,0.500000,0.500000,,1.368332,0.620641,0.500000,2.530705,0.500000,,,,,,,,,,,,,,4.076166,5.000000,,,,5.000000,0.500000
L1,1.043760,4.138996,5.000000,0.500000,1.088111,1.124038,0.500000,5.000000,0.500000,0.500000,,5.000000,0.609891,0.500000,,,,,,,,,,0.500000,0.500000,,,0.780598,,,0.500000,0.500000
L2,0.500000,,0.500000,5.000000,5.000000,1.678324,5.000000,0.500000,0.500000,0.749945,0.500000,3.030710,4.693306,1.029740,,,,,,,,,,0.500000,2.568301,2.007794,,0.500000,2.881047,,0.500000,0.662368
L3,,5.000000,5.000000,0.957447,0.500000,,,,0.500000,0.889128,0.730529,3.300568,,,,,,,,,,,,4.495146,0.500000,0.607813,0.992837,,0.500000,0.768554,0.500000,5.000000
L4,0.500000,,,4.945167,5.000000,0.500000,0.500000,0.500000,4.007938,,0.766762,,0.725160,,,,,,,,,,,0.500000,2.862422,,,,0.500000,0.500000,,5.000000
L5,,,,1.526178,1.577463,,,5.000000,0.500000,0.500000,0.500000,4.528536,1.966750,0.500000,,,,,,,,,,0.500000,0.500000,2.173651,5.000000,5.000000,0.500000,,1.560806,5.000000
Mi1,,5.000000,5.000000,0.500000,4.113418,,,5.000000,0.500131,0.931173,0.766056,4.674628,1.727222,2.560994,4.258675,2.988310,5.000000,0.500000,2.951059,,,,,0.500000,0.802198,3.280474,0.500000,0.841613,1.195591,,4.844564,0.768346
Mi4,,,,,5.000000,5.000000,,0.500000,0.500000,5.000000,0.500000,5.000000,,0.500000,,0.500000,0.500000,0.500000,0.500000,,,,,0.500000,2.678119,0.500000,,5.000000,0.629058,5.000000,4.003998,0.842988
Mi9,,,,,,1.021050,0.630640,,5.000000,0.500000,,,2.654305,5.000000,0.500000,0.500000,0.713059,4.850400,1.853544,,,,,0.732695,5.000000,1.734105,0.689123,0.500000,0.894105,0.500000,0.500000,
T1,3.851159,5.000000,3.415286,,3.212178,0.817542,,0.924786,,,1.437594,,,,,,,,,,,,,0.949388,0.500000,0.515848,,,0.500000,,,
T2,,,,,,,,0.500000,2.508958,,5.000000,,1.010584,1.039908,0.500000,,,,,,,,,0.500000,0.500000,,0.500000,4.998476,0.500000,,,
T2a,,,,,,,,,1.288561,,,,0.500000,0.500000,0.500000,,,,,,,,,0.500000,,1.662482,1.006000,0.500000,4.287610,,0.500000,
T3,,,,,,,,,,,,,5.000000,0.980186,1.004502,,,,0.952552,,,,,1.048801,,,4.685083,0.500000,,,,3.338720
T4a,,,,,,,,,,,0.500000,,,,,2.617550,0.959910,1.044051,1.037030,0.973932,,,,,,,,,,,,5.000000
T4b,,,,,,,,,2.565138,0.521504,0.540780,,,,,2.610219,5.000000,,1.002485,,4.419665,,,,,,,,,,,
T4c,,,,,,,,,,,0.500000,,0.996616,,,,,2.477662,,,,1.037343,1.023611,,,,,,,,,
T4d,,,,,,,,,2.539447,,,,,,,,,0.981637,5.000000,,,,0.970697,,,,,,,,,
T5a,,,,,,,,,,,,,2.782075,,,0.500000,,,,0.500000,1.027573,,,,0.735658,,,,,,,
T5b,,,,,,,,,,,,,1.567422,,,,0.500000,,,1.033555,5.000000,,,,,,,,,,,
T5c,,,,,,,,,,,,,4.197253,,,,,5.000000,,,1.026354,4.884290,0.993090,,,,,,,,,
T5d,,,,,,,,,,,,,4.164810,,,,,2.346372,1.027298,,,,3.393141,,,,,,,,,
Tm1,,,,,4.915286,,,0.500000,0.500000,0.500000,1.093655,4.642040,1.457132,1.535442,0.500000,,,0.952370,,0.500000,2.167304,1.718797,3.780796,3.164271,0.500000,1.694540,0.500000,0.500000,0.500000,1.319956,0.500000,4.867289
Tm2,,,,5.000000,1.253623,,,0.500000,5.000000,0.944863,1.752976,1.476473,0.781560,1.316433,0.500000,0.999731,,0.560194,,0.500000,0.500000,1.238353,2.575495,1.349434,,,0.500000,5.000000,3.186330,1.550879,,1.428268
Tm20,,,,,,,,,,0.750599,2.398812,2.241808,3.839833,4.090953,,,,,,,,,,4.387708,5.000000,0.500000,1.035243,,,0.549365,,2.568029
Tm21,,,,,,,,,1.524114,,,,5.000000,1.011641,,,,,,,,,,0.500000,,,0.500000,,,,,
Tm3,,,,0.500000,0.500000,,,,0.763577,0.500000,0.997459,,1.259204,4.800515,5.000000,5.000000,4.617777,2.107913,4.996992,,0.978737,,0.992254,,,,,5.000000,0.500000,,0.500000,4.923184
Tm4,,,,,5.000000,,,,3.966890,2.143253,,0.500000,5.000000,2.577070,0.553564,,,,,0.500000,0.500000,1.060163,4.503038,1.380327,5.000000,,0.500000,0.500000,0.500000,,0.500000,2.125052
Tm9,,,,,,2.829575,,,,0.500000,4.753597,,2.699172,0.500000,,,,,,0.500000,1.415234,5.000000,4.279219,3.911345,1.507864,0.500000,0.777589,,0.500000,0.974440,,
C2,3.221779,0.500000,1.296147,5.000000,0.500000,0.500000,0.713543,1.375861,0.903746,0.500000,,3.136247,3.418344,0.500000,0.500000,,,,,,,,,0.500000,,,,,,0.948534,0.500000,5.000000
C3,0.517680,,,1.294245,2.462493,0.500000,4.978216,0.500000,1.239414,0.500000,0.500000,0.905045,0.500000,5.000000,5.000000,0.500000,5.000000,5.000000,0.952678,,,,,0.500000,0.500000,0.500000,0.500000,3.545453,5.000000,0.637367,0.500000,
