idx,ctype,in_gain,out_gain,v_th,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,R1-6,1.000000,2.446062,-50.000000,1.046170,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
1,R7,1.000000,1.202876,-50.000000,1.042167,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
2,R8,1.000000,0.500000,-50.000000,1.043850,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
3,L1,1.000000,3.373995,-50.000000,1.044756,55.800322,19.711918,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
4,L2,1.000000,1.336319,-50.000000,0.952046,56.006915,37.116228,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
5,L3,1.000000,0.600163,-50.000000,1.002536,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
6,L4,1.000000,1.798363,-50.000000,1.048883,37.850634,0.002719,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
7,L5,1.000000,1.179039,-50.000000,0.998670,20.599896,11.617630,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
8,Mi1,1.000000,0.827870,-50.000000,0.956385,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
9,Mi4,1.000000,0.790841,-50.000000,1.009754,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
10,Mi9,1.000000,3.883371,-50.000000,1.012855,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
11,T1,1.000000,1.095085,-50.000000,0.977319,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
12,T2,1.000000,2.248803,-50.000000,0.997695,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
13,T2a,1.000000,0.888855,-50.000000,0.977322,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
14,T3,1.000000,0.501085,-50.000000,0.964123,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
15,T4a,1.000000,1.076128,-50.000000,1.034797,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
16,T4b,1.000000,1.097650,-50.000000,0.992481,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
17,T4c,1.000000,0.500000,-50.000000,0.951470,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
18,T4d,1.000000,2.230596,-50.000000,0.976226,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
19,T5a,1.000000,1.999909,-50.000000,1.033411,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
20,T5b,1.000000,5.000000,-50.000000,0.968611,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
21,T5c,1.000000,0.567061,-50.000000,0.950194,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
22,T5d,1.000000,5.000000,-50.000000,0.966040,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
23,Tm1,1.000000,0.500000,-50.000000,0.957300,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
24,Tm2,1.000000,0.580381,-50.000000,0.976511,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
25,Tm20,1.000000,1.469797,-50.000000,1.036818,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
26,Tm21,1.000000,3.137564,-50.000000,1.036647,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
27,Tm3,1.000000,1.602662,-50.000000,0.959134,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
28,Tm4,1.000000,0.500000,-50.000000,1.049850,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
29,Tm9,1.000000,1.544174,-50.000000,0.965658,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
30,C2,1.000000,1.434007,-50.000000,1.008711,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
31,C3,1.000000,0.543669,-50.000000,0.953419,0.000000,0.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000,-43.709322,-0.200000,-40.000000,-33.539630,-0.200000,-40.000000
