,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,1.333920,,,5.359523,3.253098,0.100000,0.100000,,,,,,,,,,,,,,,,,,0.100000,,,,1.801578,2.378448,,,,1.199058,,,,,,,,,,,,,,,,,,,,,,
R7,,,2.071280,6.929107,,0.100000,,,0.100000,,0.100000,2.589115,,,,,,,,,,,,,,,,,,2.233391,0.990597,,,0.100000,2.673334,,,1.783580,3.881132,,3.385439,,0.489702,0.482405,3.154131,6.103546,1.731462,,,,,,,,,
R8,,0.100000,1.955239,2.613844,2.713591,0.250062,,2.173485,0.100000,,0.100000,0.519510,,,,,,,,,,,,,1.950293,,,,1.982372,1.982443,0.593329,0.963348,,,0.879844,,2.292530,1.689107,2.019869,,0.325436,1.523542,,,1.551401,1.620455,,1.778458,,0.104287,,,,,0.964527,
L1,8.488014,5.856317,0.115586,2.490598,7.403761,0.483451,0.127211,4.678446,3.652110,3.558019,7.108473,,,,,,3.468198,0.553845,,,,,,,0.100000,7.003643,2.599570,,1.392208,2.325108,,0.100000,,0.177359,,,,0.951868,0.100000,,,,1.918406,,,,,,,,,5.195624,,,,
L2,0.100000,,2.115527,4.001544,5.791049,7.050076,6.119501,0.100000,0.100000,0.100000,0.100000,4.283599,,,,,3.336656,3.248158,4.441420,,,,,,0.269377,0.100000,3.990264,,1.402349,0.132609,,,,0.100000,,7.389074,0.100000,,0.100000,,2.318935,,,,1.571364,,,,,,,0.100000,,,,
L3,,0.100000,2.227030,8.279637,9.806135,,,,0.100000,,0.100000,1.871836,,,,,0.784223,4.455321,5.074000,3.625280,,,,,4.299667,,,,0.418484,0.100000,1.052500,,0.100000,,1.414726,0.100000,,0.194802,0.100000,2.649860,1.452895,1.016935,0.100000,0.101456,0.280957,0.100000,0.364873,0.100000,,,,,0.973950,,0.100000,2.334513
L4,0.100000,,,1.998801,1.896183,1.466638,0.100000,1.736701,4.871446,,,0.110598,,,,,0.457614,1.388005,3.950766,2.670204,,,,,,0.100000,,,,0.100000,3.498254,8.702003,,,,1.765387,0.100000,,,,,,0.100000,,,,,,,,,0.100000,,,,
L5,,,,1.579975,0.238803,,,0.100000,0.100000,0.100000,0.100000,0.302496,,,,,7.619095,2.684309,3.018009,,,,,,1.470529,0.100000,0.138250,,1.901083,0.100000,0.100000,0.931239,,0.533405,0.530229,2.473373,0.100000,0.361077,0.472678,,1.760788,0.138308,0.100000,,1.665022,,,,0.998896,1.380113,0.129688,0.100000,,0.638670,,
Mi1,,3.964860,1.947268,0.308013,0.571559,,,4.671830,2.510528,1.921155,1.361230,1.689090,0.100000,1.457343,1.859175,0.602375,0.430468,0.100000,2.437919,,,,,,1.504367,1.342984,2.763202,1.811575,0.100000,0.100000,0.206146,0.100000,0.100000,,0.555221,0.100000,0.100000,0.181453,0.100000,,1.975415,1.761379,0.154963,,,0.100000,,0.345899,1.049442,2.061380,0.100000,1.550470,1.781054,1.642423,0.202658,0.359821
Tm3,,,,0.100000,0.100000,,,,2.250234,0.492049,2.003338,1.684220,0.100000,1.338435,1.830155,0.335874,,,2.359435,,,1.044514,,1.004238,,1.611099,2.860367,2.066921,2.227730,0.100000,1.358564,0.100000,,,0.740700,0.100000,0.100000,,,1.027664,,,1.220399,,,,0.372994,,1.939652,2.000131,0.100000,2.027619,,0.151128,,
