idx,cell,a_in,a_out,v_th,a_gt,bias_gt,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,v_pre,v_onset
0,R1-6,2.762977,2.391584,-50.000000,0.953669,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-31.872400
1,R7,2.762977,1.805452,-50.000000,0.958635,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-31.797657
2,R8,2.762977,0.100000,-50.000000,1.048606,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-50.427036
3,L1,2.762977,3.538538,-50.000000,0.389987,0.000000,48.257300,43.815053,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-20.000000,-48.380800
4,L2,2.762977,2.913767,-50.000000,1.282587,0.000000,44.936150,45.638540,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-20.000000,-61.082426
5,L3,2.762977,1.953306,-50.000000,0.725517,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-20.000000,-33.050199
6,L4,2.762977,0.100000,-50.000000,0.885974,0.000000,35.118865,61.351720,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-51.784939
7,L5,2.762977,0.879817,-50.000000,1.174098,0.000000,55.568124,48.405626,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-46.370770
8,Mi1,2.762977,1.578559,-50.000000,2.078755,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-25.955560
9,Tm3,2.762977,5.805073,-50.000000,0.704454,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-6.539838
10,Mi4,2.762977,2.055495,-50.000000,3.315951,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-27.849638
11,Mi9,2.762977,1.455636,-50.000000,2.978191,0.000000,0.000000,0.000000,-44.126146,-0.200000,-52.187162,-48.570916,-0.200000,-42.104455,-50.000000,-24.447175
