,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,0.100000,,,4.177534,1.468516,0.100000,10.000000,,,,,,,,,,,,,,,,,,0.100000,,,,2.764635,0.100000,,,,0.100000,,,,,,,,,,,,,,,,,,,,,,
R7,,,2.406408,10.000000,,0.100000,,,1.514110,,0.100000,2.808783,,,,,,,,,,,,,,,,,,0.100000,0.956807,,,3.574973,1.021147,,,0.100000,4.095534,,1.470789,,0.100000,0.100000,1.544664,3.124003,0.298018,,,,,,,,,
R8,,0.100000,1.777558,3.093530,0.100000,0.100000,,0.100000,0.100000,,0.100000,1.851657,,,,,,,,,,,,,0.100000,,,,2.659901,0.100000,0.937985,0.342339,,,1.626313,,0.107136,0.184950,0.100000,,0.755752,0.641098,,,1.609548,0.413935,,1.988518,,1.998893,,,,,1.034609,
L1,7.490100,7.982420,4.465467,4.261138,0.557987,0.100000,0.100000,4.324880,2.634891,1.711800,9.489641,,,,,,0.100000,0.100000,,,,,,,1.241552,3.618154,1.374275,,0.562923,4.963146,,1.210919,,1.097311,,,,1.016890,2.939416,,,,0.100000,,,,,,,,,5.915718,,,,
L2,0.100000,,1.246186,1.992563,0.100000,0.186191,4.736508,0.405956,0.100000,1.478836,0.100000,4.276181,,,,,1.862617,3.716023,2.221467,,,,,,0.100581,0.101423,0.666305,,0.106234,0.100000,,,,0.577288,,3.383885,1.716319,,0.100000,,3.660746,,,,1.438799,,,,,,,0.100000,,,,
L3,,0.100000,0.100000,3.459956,3.661218,,,,0.138168,,0.100000,1.100842,,,,,10.000000,0.117510,8.281522,3.958957,,,,,0.100000,,,,0.100000,0.100000,5.199946,,1.940201,,0.864181,2.288839,,0.552175,1.971316,2.939804,0.285838,0.963191,0.113516,1.070451,1.731728,1.515494,1.204319,0.628907,,,,,1.014632,,1.370449,0.681393
L4,0.100000,,,0.766086,0.100000,0.100000,0.460174,2.364428,0.847992,,,3.840266,,,,,0.676361,0.100000,0.186229,6.879489,,,,,,0.100000,,,,0.572578,2.363561,0.116659,,,,1.207594,2.809228,,,,,,1.104100,,,,,,,,,0.100000,,,,
L5,,,,2.508545,0.100000,,,0.102143,0.929867,0.256690,0.100000,0.731529,,,,,0.100000,0.100000,0.100000,,,,,,0.100000,1.260897,0.100000,,1.638150,0.504494,0.100000,4.211789,,0.117720,1.026482,6.994140,3.007324,0.100000,1.228383,,8.833905,0.641199,0.100000,,0.624912,,,,1.009008,0.100000,1.497209,0.100000,,0.100000,,
Mi1,,2.311215,1.661524,1.364424,0.100000,,,4.016189,3.675646,2.567820,3.507901,0.100000,0.211847,0.723972,0.100000,0.141373,0.100000,0.100000,0.100000,,,,,,0.100000,2.638354,1.762300,1.660376,1.748984,0.976162,0.100000,0.100000,3.716579,,0.100000,0.131196,0.100000,0.100000,0.100000,,3.456990,3.004036,0.100000,,,0.100000,,2.147311,0.965270,0.174680,1.835852,0.975883,0.100000,0.100000,2.077911,0.780257
Tm3,,,,4.494517,0.100000,,,,2.369952,0.960805,0.688499,1.814707,0.100000,0.323532,0.232106,0.134351,,,0.100000,,,0.959928,,0.983793,,1.228454,2.402098,2.093213,2.103694,0.100000,1.758214,0.100000,,,0.100000,1.212290,2.055742,,,0.100000,,,0.100000,,,,1.772649,,0.465371,0.100000,2.068813,1.534095,,0.100000,,
