idx,cell,a_in,a_out,v_th,a_gt,bias_gt,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,v_pre,v_onset
0,R1-6,0.970887,1.514932,-50.000000,0.959930,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-30.533841,-30.332160
1,R7,0.970887,1.518511,-50.000000,1.001475,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-32.217838,-32.329753
2,R8,0.970887,0.519299,-50.000000,1.021398,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-38.437409,-38.545053
3,L1,0.970887,1.218745,-50.000000,0.483707,0.000000,54.299868,53.028218,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,30.590891,-54.060114
4,L2,0.970887,1.173598,-50.000000,0.530877,0.000000,50.929079,50.688709,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,26.044975,-54.351629
5,L3,0.970887,0.589719,-50.000000,0.474820,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-58.087873,-60.215137
6,L4,0.970887,1.143254,-50.000000,1.525378,0.000000,45.391214,48.884460,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,47.590057,-53.827665
7,L5,0.970887,0.825536,-50.000000,1.446457,0.000000,49.747845,46.639369,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,44.873458,-53.142637
8,Mi1,0.970887,0.634663,-50.000000,1.433021,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-49.146296,-51.084768
9,Tm3,0.970887,0.749312,-50.000000,1.415060,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-46.865284,-47.665863
10,Mi4,0.970887,0.717765,-50.000000,1.377808,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-52.018274,-52.964154
11,Mi9,0.970887,1.331207,-50.000000,0.601190,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-30.658040,-48.697497
12,T4a,0.970887,1.284253,-50.000000,0.978384,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-53.806968,-47.935826
13,T4b,0.970887,0.584511,-50.000000,1.019361,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-57.124044,-51.157768
14,T4c,0.970887,0.703060,-50.000000,0.970519,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-55.631744,-50.493316
15,T4d,0.970887,1.438342,-50.000000,0.968289,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-50.184320,-47.204492
16,Tm1,0.970887,0.806644,-50.000000,1.477514,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-47.967590,-52.302592
17,Tm2,0.970887,0.758062,-50.000000,1.374876,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-48.319074,-50.739047
18,Tm4,0.970887,1.270113,-50.000000,1.469659,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-29.076717,-51.467799
19,Tm9,0.970887,0.600918,-50.000000,0.482840,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-46.659651,-48.988399
20,T5a,0.970887,0.726957,-50.000000,1.011707,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-10.455595,-49.640451
21,T5b,0.970887,0.664249,-50.000000,1.049379,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-16.210570,-49.458792
22,T5c,0.970887,1.118307,-50.000000,0.962680,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-5.577905,-48.520909
23,T5d,0.970887,1.023258,-50.000000,0.965397,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-10.243947,-48.882196
24,T1,0.970887,1.320978,-50.000000,0.976071,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-47.536423,-54.225979
25,T2,0.970887,0.668188,-50.000000,0.953510,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-12.976180,-48.103323
26,T2a,0.970887,0.679302,-50.000000,1.039771,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-13.454457,-49.170833
27,T3,0.970887,0.933214,-50.000000,1.005979,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-4.443761,-46.443344
28,C2,0.970887,1.448701,-50.000000,1.036450,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-41.531892,-47.731102
29,C3,0.970887,0.706566,-50.000000,0.970076,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-38.063877,-48.190444
30,Lawf1,0.970887,0.639520,-50.000000,1.009066,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-50.694012,-50.536770
31,Lawf2,0.970887,1.448900,-50.000000,0.989558,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-16.810070,-47.854388
