,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,0.990019,,,1.702671,1.593570,0.540427,0.367326,,,,,,,,,,,,,,,,,,0.900491,,,,1.910551,0.232241,,,,0.917369,,,,,,,,,,,,,,,,,,,,,,
R7,,,1.926607,1.660868,,1.293867,,,0.177219,,0.236119,1.693143,,,,,,,,,,,,,,,,,,0.160702,0.994451,,,1.330381,1.015342,,,1.341727,0.768390,,0.946871,,0.662122,0.716209,1.775599,1.032550,0.530327,,,,,,,,,
R8,,0.143683,1.333411,1.647788,1.436844,0.777820,,0.260322,0.141067,,0.186322,1.779333,,,,,,,,,,,,,1.134410,,,,1.525507,0.141840,0.414138,1.171710,,,0.908651,,1.047871,1.620574,1.673457,,1.086081,1.287647,,,1.552055,0.577687,,1.332377,,1.373844,,,,,0.986632,
L1,0.985965,1.873962,0.118145,0.735905,0.144676,1.177254,0.100000,1.984289,1.605546,1.542657,1.903131,,,,,,0.501250,0.825133,,,,,,,1.134473,1.730587,1.939549,,0.518830,1.424461,,1.445522,,0.813643,,,,1.000120,0.317731,,,,0.564205,,,,,,,,,1.528020,,,,
L2,1.035260,,1.865853,1.695017,1.294494,0.991851,1.696166,0.101342,0.521391,0.100000,0.325210,1.195427,,,,,1.339130,1.461405,1.933570,,,,,,1.043370,0.485309,1.068050,,1.490422,0.838761,,,,1.113419,,0.899684,1.365846,,1.620382,,1.586443,,,,0.782475,,,,,,,0.575754,,,,
L3,,1.734480,1.272576,1.896481,1.539071,,,,0.510628,,0.205956,1.074565,,,,,1.028734,1.075787,1.174194,1.759700,,,,,0.743481,,,,1.639387,0.568194,0.596690,,1.271163,,0.689963,1.313882,,0.761596,1.306259,0.563932,0.883521,1.047257,1.875133,0.668412,0.846441,1.181971,1.228019,1.104932,,,,,0.980025,,1.725342,0.816489
L4,0.409374,,,1.340481,1.556322,1.888271,1.285915,0.733294,1.084441,,,0.674686,,,,,0.838833,1.041846,0.572230,0.672570,,,,,,0.838555,,,,1.016439,1.759869,1.700099,,,,1.060197,0.867907,,,,,,1.196606,,,,,,,,,0.768864,,,,
L5,,,,1.601908,1.465986,,,0.508927,0.635333,1.036635,0.275411,0.801044,,,,,0.270578,1.034685,0.651582,,,,,,1.143215,0.841807,0.471757,,1.219452,0.689371,0.329433,1.365911,,0.773442,0.965237,1.147028,1.948389,1.115274,0.595586,,1.790869,1.455908,1.458532,,1.770534,,,,0.976721,0.641097,1.692754,0.698403,,0.859989,,
Mi1,,0.362133,1.345935,1.357499,1.389616,,,0.603345,1.453041,1.145838,0.791028,1.084800,0.416093,0.505852,0.531285,0.451722,1.046430,1.150740,0.706677,,,,,,0.791433,0.626544,1.343429,1.186315,0.716306,0.781695,1.465902,0.409577,1.448095,,0.668195,0.166572,0.159233,1.049086,0.100000,,1.459308,0.504938,1.647385,,,0.990206,,0.527759,1.042178,0.476383,1.385972,0.286450,0.100000,0.831801,0.164948,0.659013
Tm3,,,,1.083274,0.739155,,,,1.652467,1.450673,1.494506,0.100000,0.448059,0.660913,0.576676,0.526086,,,0.532030,,,0.992832,,1.043068,,1.255943,1.530128,1.432108,0.519445,0.831477,1.782655,1.184981,,,1.700937,0.116137,0.283758,,,0.984157,,,1.594746,,,,0.370589,,1.516227,1.570783,1.398122,1.091366,,0.741788,,
Mi4,,,,,0.207981,1.412998,,1.105468,0.526185,0.327477,0.875841,0.248846,0.975385,0.942915,1.085607,0.587827,0.434076,0.361601,1.447617,0.799797,,,,,1.097300,,0.641106,,1.818443,0.554161,1.744085,0.545734,0.323799,,0.327224,,0.446808,,0.401217,0.581515,0.785024,,1.304084,0.452961,1.423147,1.104138,0.682212,1.316826,1.337083,,1.144148,0.100000,1.013709,1.656496,,
Mi9,,,,,,0.388103,1.655792,,1.637311,1.343688,1.883422,,1.525638,1.424278,1.542641,1.482600,0.426029,0.425563,0.200104,0.103453,,,,,,1.344410,1.627677,1.162031,1.286682,,0.549696,0.644865,1.142870,,0.433217,,1.568067,0.631822,,1.294768,0.767267,1.368391,0.334824,0.997235,0.587545,,1.020214,,1.474398,1.023277,,1.693717,0.442072,0.508839,1.671243,
T4a,,,,,,,,,,,,0.506349,0.308721,1.040440,1.465276,0.950000,,,,,1.562961,,,,,,,,,0.886929,,,,,,0.138778,,,,,,,1.603493,,,,,,,1.707667,,,,,0.283512,0.566719
T4b,,,,,,,,,0.754091,,0.644581,0.475917,0.372108,0.322677,,0.957311,,,,,,1.647145,,,,,,,,,,,,,,0.248936,,,,,,,0.782072,,,,,,1.008817,1.572160,1.458085,,,,,
T4c,,,,,,,,,,,,0.426892,,,0.350689,,,,,,,,0.311950,1.016436,,0.556022,,,,,,,,,,,,,,,,,,,,,,,,1.747658,1.551813,,1.035204,0.473602,,
T4d,,,,,,,,,0.961802,,,,,,0.996767,1.203524,,,,,,,,0.654213,,,,,,,,,,,,,,,,,,,,,,,,,,1.606335,0.912629,,0.100000,0.526279,,
Tm1,,,,,1.091048,,,0.100000,0.306558,0.610717,0.100000,1.248723,,,0.996147,,0.213109,0.635875,1.128589,1.293636,0.890786,0.750046,0.599282,0.685631,0.779930,1.240466,0.616982,0.558028,0.831150,1.206371,,1.440108,0.753357,,1.210877,1.390589,,1.410092,1.406222,1.167151,1.231961,0.699759,1.065033,0.931117,,,1.820873,1.028111,,1.483555,,0.424981,1.507357,1.805770,1.429438,1.611160
Tm2,,,,1.167485,1.166731,,,0.281312,0.100000,0.252551,0.100000,1.124049,1.541474,,1.669649,,1.241818,,1.423517,1.484827,0.887128,0.805785,1.288355,0.745955,0.696509,0.540051,0.777242,0.634097,,1.265890,1.120923,1.106086,0.888526,,,0.896721,,,1.316468,,,1.240111,1.635845,,,,,,0.992003,0.473045,1.192773,0.504697,1.758740,0.541982,1.696793,1.817651
Tm4,,,,,1.025566,,,,0.121273,0.289149,0.100000,,,,,,1.460117,0.608536,1.420398,,1.009615,0.602869,0.628068,0.920738,0.916793,0.291036,0.668092,0.617814,1.251436,0.867969,,1.500657,,,1.363690,1.308515,0.964941,,1.247604,,,0.703201,1.079544,,,,,,0.569679,0.557013,1.375007,0.446980,,0.994541,,0.384236
Tm9,,,,,,0.330740,,,,,0.852056,0.669699,,,,,1.537665,0.227882,1.324750,1.007766,1.239284,0.713157,1.654589,1.316470,,0.450493,0.100000,,,,,,0.634513,,,,,,,,1.402301,0.811891,,,,1.678134,0.508014,,,0.617929,1.581166,,0.270684,,0.703434,1.621910
T5a,,,,,,,,,,,,,1.232947,,,,,0.575958,,,1.783783,0.692620,,,,0.332545,,,,,,,,,,,,,,,,,1.732898,,,,,,,0.643463,,,,1.867255,1.619965,0.338641
T5b,,,,,,,,,,,,,,1.472553,,,,,,,1.320389,0.719233,,,,0.685028,,,,,,,,,,,,,,,,,,,,,,,1.010212,0.623300,1.572543,,,1.004940,,
T5c,,,,,,,,,,,,,,,1.439107,,,,,,,1.033165,1.547420,0.984385,,0.463748,,,,,,,,,,,,,,,,,,,,,,,,0.582725,1.638978,,1.677088,1.021751,,
T5d,,,,,,,,,,,,,,,0.602367,0.968365,,,,,,,,0.455942,,0.692849,,,,,,,,,,,,,,,,,,,,,,,,0.981991,0.622801,,1.949433,1.371958,,
T1,0.374197,0.485592,1.496319,,1.229867,0.557500,,0.112069,,,,0.994782,,,,,1.310749,0.483678,1.240833,,,,,,,,,,,,,,,1.459783,,,,,,,1.463141,,,,,,,,,,,,0.992755,,,
T2,,,,,,,,0.211459,1.528039,1.153102,,0.373862,,,,,0.688211,0.571702,0.100000,,,,,,,1.210087,0.419311,0.666042,,,,1.230330,,,,,0.610558,,,,,0.718947,1.454291,,0.210337,1.179574,,,0.561569,1.170073,1.586021,1.264622,,0.780818,0.996850,1.586603
T2a,,,,,,,,,1.060992,1.013840,,,,,,,1.264331,,0.305892,,,,,,,0.535840,0.779465,0.957744,1.622688,,,1.383712,0.575784,,0.560475,0.237932,,,,,1.205614,1.340838,,1.462570,0.822150,,1.568791,,,0.409958,0.206955,,0.393674,0.836831,0.182829,0.391337
T3,,,,,,,,,,1.384079,,,,,,1.032786,0.926269,,,,,,,,,0.525352,0.399620,1.510532,,1.820628,,1.228669,,,,,,,0.469771,,,0.876106,,,,,1.614908,,,,,,,0.393572,,1.611094
C2,1.611439,0.973891,1.756288,0.344635,0.306515,0.577006,1.366163,0.418753,0.789476,,1.825135,,,,,,0.959667,,,1.575836,,,,,0.679457,0.284040,0.126428,1.836890,0.246063,1.960983,,,,1.229540,,,,0.482878,1.847812,1.004674,,,0.974971,,,,,,,,,,,,,
