idx,cell,a_in,a_out,v_th,a_gt,bias_gt,h_g_max,h_g_max_off,h_v_mid,h_slope,tau_v_mid,h_v_mid_off,h_slope_off,tau_v_mid_off,v_pre,v_onset
0,R1-6,3.400423,1.599165,-50.000000,0.988588,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-31.235138,-31.164091
1,R7,3.400423,1.672041,-50.000000,0.993103,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-30.428618,-30.349786
2,R8,3.400423,0.225172,-50.000000,1.026021,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-52.004369,-52.217829
3,L1,3.400423,2.766815,-50.000000,0.252903,0.000000,59.124924,42.285300,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-45.711735,-45.251920
4,L2,3.400423,3.459413,-50.000000,0.244164,0.000000,51.433867,44.854256,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-44.958362,-44.779957
5,L3,3.400423,0.308283,-50.000000,0.589258,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-34.283876,-27.951534
6,L4,3.400423,3.309894,-50.000000,0.220883,0.000000,47.001910,38.091573,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-41.577169,-41.300055
7,L5,3.400423,2.781696,-50.000000,0.555619,0.000000,43.989755,47.292384,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-45.850978,-46.265260
8,Mi1,3.400423,1.014208,-50.000000,1.151795,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-40.346092,-36.127524
9,Tm3,3.400423,0.297280,-50.000000,0.942904,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-29.170088,-32.131038
10,Mi4,3.400423,0.340074,-50.000000,1.266589,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-34.264226,-33.711334
11,Mi9,3.400423,3.133793,-50.000000,0.433958,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-28.541209,-24.851774
12,T4a,3.400423,0.744487,-50.000000,1.017961,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-60.456461,-57.941278
13,T4b,3.400423,0.100000,-50.000000,0.954959,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-54.789455,-50.362496
14,T4c,3.400423,0.100000,-50.000000,0.969882,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-58.433426,-57.230717
15,T4d,3.400423,9.387191,-50.000000,0.952841,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-47.313486,-38.595169
16,Tm1,3.400423,0.110015,-50.000000,1.316612,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-37.481930,-38.375996
17,Tm2,3.400423,0.219434,-50.000000,0.536919,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-28.764765,-30.670850
18,Tm4,3.400423,0.211153,-50.000000,0.487734,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-22.213362,-23.146457
19,Tm9,3.400423,0.236071,-50.000000,0.631214,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-36.458474,-31.536573
20,T5a,3.400423,0.732303,-50.000000,1.008636,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-20.899835,-19.056445
21,T5b,3.400423,0.100000,-50.000000,0.961699,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-46.173273,-46.053344
22,T5c,3.400423,1.400737,-50.000000,1.012531,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-26.355674,-24.494870
23,T5d,3.400423,1.733041,-50.000000,1.022944,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-22.255584,-23.041309
24,T1,3.400423,2.189246,-50.000000,0.966076,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-54.195497,-52.381237
25,T2,3.400423,1.104201,-50.000000,1.006184,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-11.062128,-5.029190
26,T2a,3.400423,1.069518,-50.000000,1.025235,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-7.648895,1.039847
27,T3,3.400423,0.745741,-50.000000,0.950057,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-5.679255,-0.477674
28,C2,3.400423,0.325617,-50.000000,1.044281,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-23.625742,-24.543030
29,C3,3.400423,0.872174,-50.000000,0.996104,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-8.592611,-9.288184
30,Lawf1,3.400423,0.793425,-50.000000,0.997939,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-11.220673,-0.673918
31,Lawf2,3.400423,0.954713,-50.000000,0.965424,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-18.409975,-15.228292
32,Dm3v,3.400423,2.698013,-50.000000,0.969245,0.000000,0.000000,0.000000,-42.228130,-0.200000,-44.261163,-43.981364,-0.200000,-44.242025,-30.448722,-30.546329
