idx,cell,a_in,a_out,v_th,e_leak,a_gt,bias_gt,a_h,h_v_mid,h_slope,tau_h_v,v_pre,v_onset
0,R1-6,1.363538,0.511319,-49.664213,-50.000000,1.008032,0.000000,0.500000,-48.595095,-0.280964,-49.093579,-27.892450,-22.269707
1,R7,1.363538,1.195977,-49.449434,-50.000000,0.962400,0.000000,0.500000,-48.595095,-0.280964,-49.093579,-56.608766,38.524982
2,R8,1.363538,1.207171,-49.660108,-50.000000,1.040153,0.000000,0.500000,-48.595095,-0.280964,-49.093579,-49.214645,25.562233
3,L1,1.363538,1.245421,-50.232302,-20.000000,1.627283,0.000000,0.618195,-48.595095,-0.280964,-49.093579,-36.043764,-11.222300
4,L2,1.363538,0.944119,-50.031963,-20.000000,1.631458,0.000000,0.800268,-48.595095,-0.280964,-49.093579,-45.787482,17.701570
5,L3,1.363538,1.355063,-50.369671,-50.000000,1.615923,0.000000,0.500000,-48.595095,-0.280964,-49.093579,-51.102686,31.726986
6,L4,1.363538,1.473820,-50.468243,-50.000000,1.600963,0.000000,0.000000,-48.595095,-0.280964,-49.093579,-16.251079,-16.901912
7,L5,1.363538,0.755314,-49.767557,-50.000000,1.504418,0.000000,0.155237,-48.595095,-0.280964,-49.093579,-41.371573,-24.832723
8,Mi1,1.363538,0.870307,-50.413202,-50.000000,1.666392,0.000000,0.500000,-48.595095,-0.280964,-49.093579,-34.403423,-7.333013
9,Tm3,1.363538,0.824426,-50.396312,-50.000000,0.692323,0.000000,0.500000,-48.595095,-0.280964,-49.093579,-22.959771,-27.000684
10,Mi4,1.363538,0.915152,-49.574917,-50.000000,1.648852,0.000000,0.500000,-48.595095,-0.280964,-49.093579,-14.407981,-21.292920
11,Mi9,1.363538,1.400534,-50.377627,-50.000000,1.674765,0.000000,0.500000,-48.595095,-0.280964,-49.093579,2.788871,-3.081288
12,T4a,1.363538,1.246002,-50.284464,-50.000000,0.975564,0.000000,0.500000,-48.595095,-0.280964,-49.093579,1.061682,-12.253583
13,T4b,1.363538,1.237285,-50.269850,-50.000000,0.963439,0.000000,0.500000,-48.595095,-0.280964,-49.093579,1.956236,-12.698965
14,T4c,1.363538,1.261255,-50.372646,-50.000000,0.998122,0.000000,0.500000,-48.595095,-0.280964,-49.093579,0.524358,-7.222339
15,T4d,1.363538,0.657726,-49.665761,-50.000000,1.018118,0.000000,0.500000,-48.595095,-0.280964,-49.093579,1.335811,-6.627344
