idx,cell,a_in,a_out,v_th,e_leak,a_gt,bias_gt,a_h,v_mid_h_g,h_slope,v_mid_h_tau,v_pre,v_onset
0,R1-6,2.038667,1.914552,-50.000000,-50.000000,0.952575,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-30.994334,-30.978350
1,R7,2.038667,1.501170,-50.000000,-50.000000,0.968666,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-31.117070,-31.092061
2,R8,2.038667,1.122960,-50.000000,-50.000000,0.973723,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-47.576220,-47.717361
3,L1,2.038667,1.953032,-50.000000,-20.000000,0.479642,0.000000,1.000000,-44.565719,-0.240698,-40.000000,-36.380984,-36.504179
4,L2,2.038667,1.826849,-50.000000,-20.000000,0.455947,0.000000,1.000000,-44.565719,-0.240698,-40.000000,-34.781311,-35.542413
5,L3,2.038667,3.742139,-50.000000,-50.000000,1.498886,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-64.291115,-64.871436
6,L4,2.038667,0.299827,-50.000000,-50.000000,0.225398,0.000000,1.000000,-44.565719,-0.240698,-40.000000,-16.960151,-17.372983
7,L5,2.038667,1.732637,-50.000000,-50.000000,1.197895,0.000000,0.240505,-44.565719,-0.240698,-40.000000,-39.114438,-38.140131
8,Mi1,2.038667,0.981638,-50.000000,-50.000000,1.355654,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-30.786974,-28.030652
9,Tm3,2.038667,1.346465,-50.000000,-50.000000,0.855392,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-41.025619,-36.828747
10,Mi4,2.038667,0.963573,-50.000000,-50.000000,1.039115,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-35.156039,-32.210923
11,Mi9,2.038667,2.597920,-50.000000,-50.000000,0.473777,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-21.253226,-22.075425
12,T4a,2.038667,1.390934,-50.000000,-50.000000,1.010913,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-44.043584,-34.197843
13,T4b,2.038667,1.599911,-50.000000,-50.000000,1.029142,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-33.158803,-25.102410
14,T4c,2.038667,1.603781,-50.000000,-50.000000,0.983259,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-42.268394,-40.987680
15,T4d,2.038667,10.000000,-50.000000,-50.000000,0.972811,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-44.736124,-40.487831
16,Tm1,2.038667,0.246028,-50.000000,-50.000000,0.870832,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-17.224587,-19.105536
17,Tm2,2.038667,0.543159,-50.000000,-50.000000,0.449871,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-14.633452,-14.802458
18,Tm4,2.038667,1.085873,-50.000000,-50.000000,0.299126,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-15.700553,-17.985166
19,Tm9,2.038667,2.119330,-50.000000,-50.000000,0.945723,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-51.815488,-53.194001
20,T5a,2.038667,0.185618,-50.000000,-50.000000,0.985973,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-41.367504,-42.303192
21,T5b,2.038667,2.403688,-50.000000,-50.000000,0.954366,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-23.412732,-23.916631
22,T5c,2.038667,0.100000,-50.000000,-50.000000,1.031017,0.000000,0.000000,-44.565719,-0.240698,-40.000000,-41.077350,-41.386222
