,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,2.397560,,,2.445217,1.064420,1.108254,4.074265,,,,,,,,,,,,,,,,,,0.100000,,,,0.100000,3.620139,,,,0.300450,,,,,,,,,,,,,,,,,,,,,,
R7,,,2.483237,4.374235,,1.668187,,,2.621681,,0.100000,0.244648,,,,,,,,,,,,,,,,,,0.100000,1.037167,,,0.100000,1.009888,,,0.100000,10.000000,,1.586679,,0.100000,2.128765,0.196533,6.886452,0.100000,,,,,,,,,
R8,,0.100000,3.729687,6.534360,2.476150,2.922993,,1.134795,0.100000,,0.100000,0.100000,,,,,,,,,,,,,4.299969,,,,0.485074,1.168923,0.100000,10.000000,,,1.193728,,0.100000,0.100000,0.100000,,3.370708,10.000000,,,0.100000,2.341518,,5.017692,,0.100000,,,,,1.006730,
L1,0.100000,2.374449,1.967267,0.100000,0.100000,0.100000,0.456243,3.265964,0.258384,5.841631,0.339515,,,,,,0.100000,0.100000,,,,,,,10.000000,10.000000,0.100000,,0.100000,0.205159,,1.520145,,10.000000,,,,0.223476,5.454824,,,,0.100000,,,,,,,,,2.219092,,,,
L2,0.100000,,3.128325,4.179258,10.000000,2.337829,1.775508,0.100000,0.100000,1.924819,0.100000,0.100000,,,,,0.338933,2.092338,5.397837,,,,,,0.316752,0.280057,2.302582,,0.100000,0.100000,,,,7.890583,,0.100000,0.100000,,8.451643,,2.848935,,,,0.100000,,,,,,,0.100000,,,,
L3,,0.645814,0.642063,10.000000,10.000000,,,,0.100000,,0.100000,2.524397,,,,,3.475100,1.047412,8.655752,5.797372,,,,,2.607551,,,,1.001445,4.366678,8.213698,,10.000000,,9.876813,2.689599,,1.001034,10.000000,6.267653,0.100000,1.003684,0.135656,0.190304,0.100000,2.705698,0.100000,0.100000,,,,,1.044311,,0.100000,1.928812
L4,0.100000,,,5.380018,0.427422,0.795951,0.100000,0.100000,0.100000,,,1.448207,,,,,0.100000,1.783691,0.100000,0.425558,,,,,,0.100000,,,,0.100000,1.306322,0.100000,,,,3.267239,10.000000,,,,,,0.100000,,,,,,,,,0.100000,,,,
L5,,,,0.141741,0.100000,,,0.100000,1.030378,4.554293,0.669790,0.100000,,,,,0.100000,0.121553,10.000000,,,,,,10.000000,0.100000,0.100000,,5.599932,0.371620,0.596209,0.100000,,10.000000,0.602169,10.000000,10.000000,9.186192,9.958267,,0.100000,0.100000,0.109224,,0.414486,,,,1.706329,1.059676,0.100000,0.100000,,0.100000,,
Mi1,,5.096258,2.782355,0.399061,0.557814,,,5.842994,0.100000,2.442355,2.086890,0.100000,0.123457,1.092848,0.586834,0.394330,0.100000,4.468137,2.190296,,,,,,0.100000,0.100000,0.379292,1.160189,7.310091,4.765972,9.126919,3.512297,10.000000,,0.422431,0.278210,10.000000,3.492562,2.058952,,0.100000,0.100000,0.113805,,,1.689818,,0.100000,1.037694,8.048365,0.100000,0.107673,0.100000,0.715062,0.100000,2.522715
Tm3,,,,0.100000,0.100000,,,,1.541523,4.608169,10.000000,0.341591,6.837125,4.855039,0.146266,5.182142,,,0.100000,,,0.966983,,1.007890,,9.771038,4.463504,10.000000,1.886840,0.100000,0.100000,10.000000,,,0.429527,0.100000,5.389817,,,1.010733,,,2.512602,,,,0.234820,,1.025013,0.100000,0.100000,0.943816,,8.315981,,
