idx,cell,a_in,a_out,v_th,e_leak,a_gt,bias_gt,a_h,v_mid_h_g,h_slope,v_mid_h_tau,v_pre,v_onset
0,R1-6,1.831344,1.550733,-50.000000,-50.000000,1.033837,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-30.789876,-30.771474
1,R7,1.831344,1.996737,-50.000000,-50.000000,1.035604,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-31.976315,-31.940299
2,R8,1.831344,0.455585,-50.000000,-50.000000,0.994437,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-49.977251,-50.153691
3,L1,1.831344,1.813014,-50.000000,-20.000000,0.560393,0.000000,0.361649,-41.393860,-0.200000,-40.000000,-34.191627,-34.386945
4,L2,1.831344,1.544726,-50.000000,-20.000000,0.510921,0.000000,0.740379,-41.393860,-0.200000,-40.000000,-32.422168,-33.228031
5,L3,1.831344,0.343616,-50.000000,-50.000000,1.535167,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-42.803953,-43.995990
6,L4,1.831344,0.764772,-50.000000,-50.000000,0.162138,0.000000,1.000000,-41.393860,-0.200000,-40.000000,-13.572767,-13.855865
7,L5,1.831344,1.638012,-50.000000,-50.000000,1.281578,0.000000,0.198380,-41.393860,-0.200000,-40.000000,-36.975443,-36.473330
8,Mi1,1.831344,1.005107,-50.000000,-50.000000,1.317445,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-27.629321,-25.892862
9,Tm3,1.831344,0.511952,-50.000000,-50.000000,0.677566,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-36.125216,-33.380401
10,Mi4,1.831344,0.772925,-50.000000,-50.000000,1.151139,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-32.422382,-29.771384
11,Mi9,1.831344,3.413621,-50.000000,-50.000000,0.539265,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-23.186026,-24.073963
12,T4a,1.831344,1.328913,-50.000000,-50.000000,1.005915,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-37.040445,-33.151129
13,T4b,1.831344,0.216490,-50.000000,-50.000000,1.002019,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-60.355629,-60.118987
14,T4c,1.831344,1.265656,-50.000000,-50.000000,1.043859,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-42.305193,-41.823908
15,T4d,1.831344,9.977992,-50.000000,-50.000000,0.966827,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-41.048811,-39.674372
16,Tm1,1.831344,0.428926,-50.000000,-50.000000,0.692976,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-23.898908,-24.883830
17,Tm2,1.831344,0.646795,-50.000000,-50.000000,0.457460,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-20.346839,-20.630057
18,Tm4,1.831344,0.548681,-50.000000,-50.000000,0.274251,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-15.169677,-17.508362
19,Tm9,1.831344,1.134938,-50.000000,-50.000000,1.046282,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-37.062530,-38.763299
20,T5a,1.831344,0.507609,-50.000000,-50.000000,0.991695,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-25.184741,-25.398233
21,T5b,1.831344,6.277004,-50.000000,-50.000000,1.046611,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-12.012860,-12.232746
22,T5c,1.831344,2.696974,-50.000000,-50.000000,0.986347,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-2.174451,-2.095537
23,T5d,1.831344,3.082570,-50.000000,-50.000000,1.026332,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-15.717871,-16.548332
24,T1,1.831344,1.410407,-50.000000,-50.000000,1.045718,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-36.642101,-39.942647
25,T2,1.831344,1.705336,-50.000000,-50.000000,1.017889,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-25.899039,-22.032419
26,T2a,1.831344,0.715879,-50.000000,-50.000000,1.007971,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-23.470930,-22.315421
27,T3,1.831344,1.479260,-50.000000,-50.000000,0.984082,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-0.556160,1.663999
28,C2,1.831344,0.297929,-50.000000,-50.000000,1.046315,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-2.546662,-1.269381
29,C3,1.831344,0.680101,-50.000000,-50.000000,1.021313,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-15.129122,-11.655045
30,Lawf1,1.831344,1.287561,-50.000000,-50.000000,1.049608,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-48.251647,-49.098567
31,Lawf2,1.831344,1.300752,-50.000000,-50.000000,1.018677,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-12.779595,-11.795927
32,Dm3v,1.831344,4.526688,-50.000000,-50.000000,1.026375,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-15.076201,-16.298357
33,Lai,1.831344,3.188514,-50.000000,-50.000000,1.020906,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-51.627821,-52.193823
34,Mi10,1.831344,1.136314,-50.000000,-50.000000,0.985424,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-67.369221,-67.378508
35,Mi13,1.831344,1.987634,-50.000000,-50.000000,1.044371,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-36.519014,-36.639315
36,Mi14,1.831344,7.657510,-50.000000,-50.000000,1.028407,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-18.789895,-18.894754
37,Mi15,1.831344,0.597447,-50.000000,-50.000000,1.045406,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-58.836331,-58.345142
38,Mi2,1.831344,1.055381,-50.000000,-50.000000,0.988049,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-8.532815,-8.666691
39,Tm16,1.831344,5.281370,-50.000000,-50.000000,1.032114,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-64.503831,-65.455228
40,Tm20,1.831344,1.180766,-50.000000,-50.000000,1.027942,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-21.328064,-21.779414
41,Tm21,1.831344,3.930030,-50.000000,-50.000000,1.019548,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-49.887250,-48.808354
42,Tm27,1.831344,2.696705,-50.000000,-50.000000,1.043296,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-43.321386,-41.486041
43,Tm5a,1.831344,9.820349,-50.000000,-50.000000,0.985820,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-59.364244,-59.147517
44,Tm5b,1.831344,2.622499,-50.000000,-50.000000,0.971509,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-64.672967,-64.642523
45,Tm5c,1.831344,1.527219,-50.000000,-50.000000,0.961171,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-13.690255,-13.849001
46,Tm5f,1.831344,0.979786,-50.000000,-50.000000,1.005959,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-36.421543,-35.132623
47,TmY10,1.831344,1.196765,-50.000000,-50.000000,1.013820,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-38.130578,-38.148764
48,TmY11,1.831344,7.143978,-50.000000,-50.000000,1.032158,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-62.384509,-63.602864
49,TmY14,1.831344,5.150554,-50.000000,-50.000000,1.044062,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-50.494255,-50.551661
50,TmY15,1.831344,3.104593,-50.000000,-50.000000,1.036237,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-16.621729,-17.216140
51,TmY3,1.831344,3.675979,-50.000000,-50.000000,0.987045,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-50.887359,-51.375677
52,TmY4,1.831344,6.250048,-50.000000,-50.000000,1.006494,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-55.456692,-54.897890
53,TmY5a,1.831344,3.774090,-50.000000,-50.000000,0.987946,0.000000,0.000000,-41.393860,-0.200000,-40.000000,-16.373620,-16.461035
