,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,0.970373,,,1.008003,1.000458,1.017495,1.046510,,,,,,,,,,,,,,,,,,1.008634,,,,0.974949,0.977248,,,,1.046520,,,,,,,,,,,,,,,,,,,,,,
R7,,,1.017625,0.976436,,0.993762,,,0.965414,,0.974913,0.973021,,,,,,,,,,,,,,,,,,1.043846,1.016252,,,0.966441,1.023069,,,1.004494,0.979629,,1.011224,,1.035090,0.958958,0.964322,0.978262,1.044552,,,,,,,,,
R8,,0.956188,0.979225,1.034256,0.982422,1.000070,,1.036261,0.982335,,0.998463,0.958072,,,,,,,,,,,,,1.045379,,,,1.000412,0.971092,0.962430,0.966800,,,1.023207,,1.004632,1.003945,1.044309,,0.967127,0.952327,,,0.976537,0.968713,,0.950469,,1.004017,,,,,0.961987,
L1,0.979284,0.959236,1.000630,0.976398,0.957697,0.952526,0.963002,1.033470,1.011923,1.042281,1.046530,,,,,,0.983362,1.022514,,,,,,,0.973501,0.998420,1.013599,,1.018934,1.012968,,0.971876,,1.017671,,,,0.984177,1.047353,,,,1.043150,,,,,,,,,1.038254,,,,
L2,0.959458,,0.997129,1.047764,1.008494,0.984266,1.047116,1.009580,1.030301,1.007304,0.996390,0.974619,,,,,1.037293,1.025017,1.010976,,,,,,1.012291,1.038597,1.022628,,0.962467,0.953259,,,,0.973670,,1.006544,0.986514,,0.950490,,0.993907,,,,1.042707,,,,,,,0.992855,,,,
L3,,0.953752,0.950885,0.986971,0.956267,,,,1.041754,,0.991737,1.022719,,,,,1.024833,0.968267,0.983364,0.989015,,,,,1.011048,,,,0.987260,0.974617,0.999573,,0.961894,,0.963159,0.972673,,0.980871,1.011385,1.016981,1.000287,1.018248,1.021141,1.007801,0.967048,0.998428,1.047369,0.978483,,,,,1.000296,,0.983674,0.966493
L4,0.960769,,,1.045066,1.042863,0.987142,1.018449,1.043591,1.044639,,,1.003403,,,,,0.966591,1.015397,0.971947,0.968774,,,,,,0.974982,,,,1.041828,1.036928,0.964422,,,,0.983682,1.011082,,,,,,1.004853,,,,,,,,,0.975817,,,,
L5,,,,1.046109,0.998369,,,1.004861,1.012227,1.046455,1.017210,1.012393,,,,,0.971032,1.021422,0.989220,,,,,,1.006763,1.035403,0.983103,,1.028395,0.978379,1.043626,1.044593,,0.958680,0.966181,0.977713,0.976463,1.049944,0.989992,,0.954936,1.044207,0.977331,,1.039252,,,,0.965227,1.020014,0.977172,0.954855,,0.970779,,
Mi1,,1.031707,0.989564,1.011193,1.004320,,,0.982853,1.025712,0.965739,1.023774,1.026884,0.970376,1.031651,0.996013,1.008642,1.039579,0.975310,1.034340,,,,,,1.029932,0.977213,1.046292,1.033278,0.988802,0.957651,0.959394,1.014981,1.038423,,0.982455,1.038403,0.974678,1.025407,0.959945,,0.955892,1.028022,0.997247,,,1.009249,,0.967143,1.031780,1.000815,0.964251,1.009717,1.042688,0.991803,0.971136,1.016587
Tm3,,,,0.966344,1.013921,,,,0.971761,1.036285,0.982626,1.015349,0.954342,0.986253,0.988449,1.039987,,,0.998638,,,1.002026,,0.983952,,1.022749,1.040361,0.981521,1.023976,1.046665,1.001961,0.982779,,,0.988265,1.032495,0.998820,,,0.950986,,,0.974574,,,,0.998069,,0.999397,1.008769,1.036735,0.956765,,1.040093,,
Mi4,,,,,1.012948,0.978944,,1.037499,1.036392,1.001134,0.984428,0.964549,1.045813,1.014716,1.025181,0.988495,1.004010,1.021417,1.040389,0.951916,,,,,1.009964,,0.960754,,0.961501,1.037987,1.046680,0.967984,0.982988,,0.991630,,1.002530,,1.028413,0.950604,1.004017,,1.037018,1.003608,0.965649,1.040262,0.969471,0.991663,1.021483,,1.002296,1.000002,1.041145,0.992661,,
Mi9,,,,,,1.027111,1.038114,,1.043451,0.983978,0.967050,,1.028532,0.998575,1.049570,1.019734,0.964572,0.986241,0.962261,0.987044,,,,,,1.031792,1.002797,0.988158,1.028418,,0.995977,1.047608,0.952858,,0.971556,,1.026671,1.013024,,1.011393,1.033890,1.027674,0.992701,1.001752,1.030536,,1.007341,,1.000257,0.962261,,1.001229,1.025163,0.966802,1.033550,
T4a,,,,,,,,,,,,0.975451,0.998012,1.021872,0.972973,1.045569,,,,,1.002220,,,,,,,,,1.033445,,,,,,0.969979,,,,,,,1.029250,,,,,,,0.965514,,,,,0.978821,0.988882
T4b,,,,,,,,,1.025253,,1.048154,0.985885,0.988390,1.004619,,0.996697,,,,,,0.951137,,,,,,,,,,,,,,1.047343,,,,,,,0.997836,,,,,,0.992267,0.976416,1.033662,,,,,
T4c,,,,,,,,,,,,0.977751,,,1.039964,,,,,,,,0.979364,1.017713,,1.023990,,,,,,,,,,,,,,,,,,,,,,,,1.017415,0.968285,,0.963145,0.999933,,
T4d,,,,,,,,,1.029755,,,,,,1.010251,0.971139,,,,,,,,1.002930,,,,,,,,,,,,,,,,,,,,,,,,,,0.981802,1.048098,,1.030371,1.015042,,
Tm1,,,,,1.029464,,,0.991849,0.970254,1.023815,0.969128,0.958435,,,1.033269,,1.023657,0.950895,1.039557,1.003640,0.959618,1.002978,1.039440,1.007754,1.004955,1.010904,0.968082,1.023555,1.012916,0.975257,,1.035611,0.986441,,1.012217,0.967521,,1.011640,0.982938,1.013286,0.978243,0.962320,1.016934,1.013862,,,0.981510,0.972027,,1.010589,,0.967387,0.989067,0.976407,0.972608,1.048876
Tm2,,,,0.962544,1.000160,,,0.961599,1.004721,1.003590,1.046489,1.044079,0.963321,,0.952197,,1.002299,,0.975085,1.029280,0.951402,1.002873,1.024313,1.038673,0.979629,1.039801,1.043608,1.025928,,0.951279,1.012763,1.023743,0.957541,,,1.041591,,,1.028435,,,0.987466,1.042499,,,,,,0.955415,0.967295,0.971251,0.977363,0.992386,0.971239,1.022382,0.991947
Tm4,,,,,1.040208,,,,0.985938,0.955550,1.018215,,,,,,0.961591,0.970532,0.969412,,0.994379,1.035306,1.017962,1.035884,1.010085,1.046508,0.950395,0.958551,0.968296,1.025339,,1.007365,,,0.972417,1.026540,0.973947,,0.990041,,,1.028027,0.958746,,,,,,0.965606,1.008332,0.961510,0.951192,,1.041717,,1.032293
Tm9,,,,,,0.968972,,,,,0.990567,0.952545,,,,,0.952192,1.002718,1.006080,1.024662,1.023417,1.049870,0.968989,0.950933,,0.998956,1.026850,,,,,,1.044471,,,,,,,,1.032428,1.035825,,,,1.029329,1.017011,,,1.037629,1.011121,,1.042177,,1.048907,0.971937
T5a,,,,,,,,,,,,,1.028016,,,,,0.987533,,,0.973478,1.013459,,,,1.006018,,,,,,,,,,,,,,,,,0.996870,,,,,,,1.007605,,,,0.962033,1.006791,1.024561
T5b,,,,,,,,,,,,,,0.979413,,,,,,,1.024208,1.021831,,,,0.960452,,,,,,,,,,,,,,,,,,,,,,,1.044495,0.964137,1.008532,,,0.988427,,
T5c,,,,,,,,,,,,,,,1.010485,,,,,,,0.950732,0.990112,0.951986,,1.038833,,,,,,,,,,,,,,,,,,,,,,,,0.990962,1.017324,,1.010034,0.986591,,
T5d,,,,,,,,,,,,,,,1.048219,0.999850,,,,,,,,0.986765,,1.012801,,,,,,,,,,,,,,,,,,,,,,,,1.049844,1.044131,,1.039484,0.966773,,
T1,0.992479,0.963218,1.022423,,1.019378,0.988540,,1.010716,,,,1.049389,,,,,0.972765,0.952565,0.977810,,,,,,,,,,,,,,,0.972024,,,,,,,0.997367,,,,,,,,,,,,0.986169,,,
