,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,0.947461,,,1.061224,1.132532,1.096710,1.038025,,,,,0.998440,,,,,,,,,,,,,,,,,,,1.016902,1.017144
R7,,,1.147122,1.061252,,1.124370,,,0.881440,0.877179,1.124626,,,,,,,,,,,,,,,1.044163,,,,,,0.978785
R8,,0.937098,0.999842,1.071904,1.091233,1.075916,,0.871215,0.893764,0.903870,1.085922,1.027870,,,,,,,,,,,,,,1.008872,0.996674,,,,0.958604,1.008939
L1,1.073777,0.994374,1.038357,0.893364,0.901435,0.921908,0.881248,1.148199,1.084659,1.129122,,0.991502,1.032139,0.995680,,,,,,,,,,0.921319,0.928174,,,1.116125,,,1.018422,0.971406
L2,0.895520,,1.077138,1.060286,1.126619,1.102269,1.107247,0.880512,0.916886,0.883996,1.090083,1.029869,0.962298,1.002839,,,,,,,,,,1.081099,1.097108,0.953193,,0.872970,1.126636,,0.983128,0.959129
L3,,1.043166,1.042810,1.119071,1.126620,,,,0.867516,0.857638,1.051432,0.970658,,,,,,,,,,,,1.097741,1.049265,0.995168,1.006725,,1.125298,1.143646,1.017504,1.026482
L4,1.032272,,,0.953898,0.970479,1.033340,1.042007,1.046970,1.027084,,1.047178,,0.994538,,,,,,,,,,,1.002411,0.953292,,,,0.966180,1.024665,,1.014156
L5,,,,1.145201,1.125069,,,0.906945,0.901086,0.903401,1.093754,0.952289,0.968864,0.965043,,,,,,,,,,1.095244,1.059543,1.034163,0.967101,0.876546,1.135192,,1.032123,1.013677
Mi1,,1.030194,1.029592,1.138194,1.139292,,,0.880556,0.854931,0.914346,1.064564,1.032270,1.012066,1.108898,1.086820,0.904069,0.932430,0.891125,1.027522,,,,,1.122743,1.080243,1.005545,0.985063,0.863797,1.067347,,1.016522,1.024418
Mi4,,,,,0.900972,0.901711,,1.044145,1.110612,0.995904,0.883671,1.013325,,0.970518,,1.101200,1.078625,1.056524,1.006336,,,,,0.881041,0.909400,1.011877,,1.050772,1.030535,0.889373,0.953556,0.988820
Mi9,,,,,,0.983357,0.946423,,1.077066,1.134869,,,0.963277,0.948923,1.043239,1.090209,1.087285,1.030770,0.953492,,,,,0.856137,0.878119,1.022923,1.038275,1.131040,0.939903,0.863946,1.006175,
T1,1.033854,0.999721,1.025562,,0.961241,0.985964,,1.042498,,,1.038552,,,,,,,,,,,,,0.968527,0.956695,0.997903,,,0.985522,,,
T2,,,,,,,,0.989432,0.951957,,1.014735,,1.007077,1.003424,1.033203,,,,,,,,,1.011043,0.982996,,0.965126,1.042291,1.040783,,,
T2a,,,,,,,,,0.911292,,,,0.995401,0.959642,1.007543,,,,,,,,,0.994221,,1.009817,1.021824,0.943415,1.019462,,1.039657,
T3,,,,,,,,,,,,,1.040152,1.040855,0.997270,,,,1.001617,,,,,1.046109,,,1.007515,0.910369,,,,1.024962
T4a,,,,,,,,,,,1.065045,,,,,0.933954,1.012515,0.979930,1.017529,1.045441,,,,,,,,,,,,0.996365
