,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,0.825355,,,1.175409,1.146371,1.224300,,,,,,1.235265,,,,,,,,,,,,,,,,,,,,
R7,,,1.155838,,,1.198949,,,,,1.168128,,,,,,,,,,,,,,,,,,,,,
R8,,0.784368,,1.171185,,1.192561,,,0.792673,0.837844,1.217847,1.169587,,,,,,,,,,,,,,1.239136,,,,,,1.010629
L1,,,,,1.009092,,,0.976572,1.018085,0.958606,,,1.024616,,,,,,,,,,,,,,,0.995036,,,1.007916,0.967567
L2,0.834330,,,1.222180,,1.177974,1.178246,0.779353,0.773176,0.772261,,1.187712,,,,,,,,,,,,1.222494,1.145578,1.225580,,,1.144479,,,0.990201
L3,,,1.202661,,,,,,0.840363,1.228350,1.200149,1.218369,,,,,,,,,,,,,,1.136068,,,,1.180581,,0.969427
L4,0.960446,,,1.034958,1.034215,0.996352,0.964592,,,,0.990685,,0.955316,,,,,,,,,,,,0.952676,,,,1.044950,0.990342,,
L5,,,,1.203197,1.178367,,,0.848339,0.827853,0.844161,1.163561,,1.028682,,,,,,,,,,,,1.160072,0.869583,1.004507,0.824662,,,1.014547,1.016419
Mi1,,,,1.180533,,,,0.818252,0.921957,0.839228,1.148809,,1.034083,1.001194,1.168937,1.011168,0.959631,0.828193,1.030917,,,,,,,0.901024,1.020821,0.806003,1.162256,,1.041811,0.996187
Mi4,,,,,,0.965885,,,,,0.990127,,,,,1.012496,1.019895,0.959755,1.011743,,,,,1.022069,0.997139,0.967822,,0.975021,,0.990139,,
Mi9,,,,,,,,,,1.196661,,,,,0.963942,0.951800,1.038699,1.155453,1.048991,,,,,0.856844,0.767061,1.003434,1.032634,1.140705,0.793966,,0.950422,
T1,,1.000208,1.020581,,1.193611,0.812396,,0.803824,,,1.205534,,,,,,,,,,,,,1.218644,1.186571,0.781881,,,1.143686,,,
T2,,,,,,,,,1.037938,,,,0.971664,,,,,,,,,,,,,,1.032393,,,,,
T2a,,,,,,,,,1.005858,,,,,0.998804,,,,,,,,,,,,1.013442,,,,,,
T3,,,,,,,,,,,,,0.962346,,,,,,,,,,,,,,0.989873,1.136622,,,,
T4a,,,,,,,,,,,0.983706,,,,,1.018518,,0.992192,,,,,,,,,,,,,,1.018816
T4b,,,,,,,,,,,0.952271,,,,,,0.980485,,,,1.040232,,,,,,,,,,,
T4c,,,,,,,,,,,1.146526,,,,,,,0.879608,,,,,,,,,,,,,,
T4d,,,,,,,,,,,,,,,,,,,1.044228,,,,,,,,,,,,,
T5a,,,,,,,,,,,,,,,,,,,,1.024347,,,,,,,,,,,,
T5b,,,,,,,,,,,,,0.984178,,,,0.986205,,,,0.979706,,,,,,,,,,,
T5c,,,,,,,,,,,,,,,,,,,,,,1.043619,,,,,,,,,,
T5d,,,,,,,,,,,,,,,,,,,,,,,1.010328,,,,,,,,,
Tm1,,,,,1.017445,,,0.977148,,0.985146,1.023056,0.977821,,0.984602,0.980937,,,,,1.044965,1.012730,1.013114,0.981868,,0.971960,1.041211,0.990442,,0.977628,1.003633,,0.995845
Tm2,,,,,1.009701,,,1.027169,,1.017983,0.994395,,1.001398,1.012753,0.953125,,,,,0.982115,1.001098,0.964972,0.997211,0.950499,,,0.989582,,0.980808,,,1.036150
Tm20,,,,,,,,,,,1.163258,,,,,,,,,,,,,,,0.812409,,,,1.234610,,1.011211
Tm21,,,,,,,,,,,,,0.975939,,,,,,,,,,,1.016093,,,0.993632,,,,,
Tm3,,,,1.200267,,,,,0.854408,,,,1.049809,0.987144,1.133888,0.987133,1.044094,0.872031,0.952561,,,,,,,,,0.785403,,,,
Tm4,,,,,1.210394,,,,,0.793699,,,,0.951094,1.093579,,,,,1.022542,0.969284,0.988221,0.993807,1.151017,,,1.047628,,1.202313,,1.046816,0.981230
Tm9,,,,,,,,,,,1.181981,,,,,,,,,0.967390,1.014862,0.993837,0.983319,,,0.983131,,,,,,
C2,,,,1.010006,1.030962,0.951449,0.956234,1.026120,1.040443,1.044770,,1.004365,0.992471,,,,,,,,,,,0.966973,,,,,,0.986811,,
C3,,,,1.003697,1.042865,0.972733,,1.015017,,,1.020125,0.980966,0.957891,,,1.035054,0.984060,1.041323,0.998055,,,,,0.960312,,0.997505,1.047181,,0.975554,1.025965,,
