idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,bias,hp_gain
0,R1-6,1.000000,1.007477,0.969562,52.799019,199.999969,0.013925,0.990416
1,R7,1.000000,1.028613,1.044645,48.504639,199.999969,-0.016572,0.975043
2,R8,1.000000,0.939102,0.996432,46.216125,199.999969,0.036392,1.046197
3,L1,1.000000,0.946389,1.014753,52.793739,199.999969,-0.048380,1.016958
4,L2,1.000000,1.041414,0.952642,48.943687,199.999985,0.035122,0.998289
5,L3,1.000000,0.949155,0.961373,48.578629,200.000015,-0.007475,0.972126
6,L4,1.000000,0.923139,0.980247,48.891369,200.000031,0.011966,0.959607
7,L5,1.000000,1.054364,1.016708,51.662891,200.000000,-0.047672,0.955625
8,Mi1,1.000000,1.096560,1.026270,45.891647,199.999985,-0.022085,0.976864
9,Mi4,1.000000,1.010838,1.031540,45.249401,200.000015,-0.021468,0.959897
10,Mi9,1.000000,0.971332,0.963681,50.455311,199.999985,0.005360,1.025176
11,T1,1.000000,0.913042,0.988974,54.299805,199.999954,0.003872,0.995127
12,T2,1.000000,0.938944,1.007966,46.144661,200.000000,-0.029040,1.018554
13,T2a,1.000000,1.031185,1.040731,47.768417,200.000031,-0.043464,0.955218
14,T3,1.000000,0.948625,1.024444,47.023899,200.000000,-0.047935,1.030047
15,T4a,1.000000,1.098382,0.973131,45.233879,200.000031,0.024424,1.015542
16,T4b,1.000000,0.915313,0.963739,53.028118,200.000000,-0.004703,0.970091
17,T4c,1.000000,0.973634,0.965868,47.511986,200.000031,-0.023058,1.017486
18,T4d,1.000000,1.061206,1.028745,52.844826,200.000031,0.003314,1.005538
19,T5a,1.000000,0.965190,1.026697,46.804211,199.999985,0.007577,1.048865
20,T5b,1.000000,1.099898,0.970650,52.345470,200.000015,-0.019727,1.004628
21,T5c,1.000000,1.034993,1.040871,48.652679,200.000015,-0.007357,1.042284
22,T5d,1.000000,0.952561,1.006428,45.646614,199.999969,0.046456,1.030646
23,Tm1,1.000000,0.985762,1.019806,47.461246,200.000000,-0.049863,0.959533
24,Tm2,1.000000,1.001213,0.993144,47.537720,200.000015,-0.045659,1.000796
25,Tm20,1.000000,0.946956,1.020181,52.497437,200.000046,-0.011195,1.019482
26,Tm21,1.000000,0.922574,0.954953,52.575871,200.000000,0.016649,0.951994
27,Tm3,1.000000,0.997631,1.035352,54.349182,199.999969,0.000437,0.950547
28,Tm4,1.000000,1.012577,1.017488,54.640263,199.999954,0.018374,1.035159
29,Tm9,1.000000,1.083710,1.030454,46.455727,199.999969,-0.020276,0.992848
30,C2,1.000000,0.985752,0.985121,53.557518,199.999954,-0.023138,0.994640
31,C3,1.000000,1.091226,0.970088,54.232536,200.000046,-0.027407,1.018155
