,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,1.001989,,,1.045504,0.967972,1.020825,1.035937,,,,,1.009201,,,,,,,,,,,,,,,,,,,1.001809,0.958947
R7,,,1.044945,1.010353,,0.974574,,,0.998776,0.964337,1.032860,,,,,,,,,,,,,,,1.049409,,,,,,1.034428
R8,,1.008289,1.048841,1.039819,1.028313,1.000155,,1.010765,0.976585,1.026677,1.039831,1.038143,,,,,,,,,,,,,,1.045986,1.031219,,,,1.019615,0.955243
L1,1.024466,0.972237,0.951022,1.036601,0.981024,0.964060,1.005163,0.972477,0.952256,1.035443,,0.983013,0.989779,0.952535,,,,,,,,,,1.013587,1.017620,,,0.960236,,,0.983647,1.023856
L2,0.989545,,0.954055,1.043008,0.965392,0.987218,0.996330,1.046967,0.999397,0.962010,1.030848,0.970736,0.977513,1.028453,,,,,,,,,,0.963533,1.010315,0.999451,,0.975594,0.975471,,1.026144,1.007138
L3,,0.963068,0.964760,1.005080,1.006134,,,,1.033970,1.009773,1.033332,0.984134,,,,,,,,,,,,0.980490,0.977697,1.008932,1.037519,,0.995703,0.983162,1.034914,1.016427
L4,0.983044,,,0.989769,1.033953,0.985906,0.964317,0.992708,0.997281,,0.980690,,1.044460,,,,,,,,,,,1.005511,1.017371,,,,0.992187,1.014502,,1.009884
L5,,,,0.967691,1.003655,,,1.042114,0.955909,0.995561,0.951757,1.012236,0.955917,1.022554,,,,,,,,,,1.029653,0.969760,0.951073,0.982537,0.990744,0.988282,,1.043419,0.973197
Mi1,,1.009308,1.035135,0.957727,1.032731,,,0.998507,0.974579,0.994011,0.961198,1.012460,0.952345,1.034424,0.961933,0.957727,0.992064,0.972538,0.952430,,,,,1.017831,1.019468,1.042208,0.986802,0.971362,0.953446,,0.971639,1.024732
Mi4,,,,,0.995754,0.951329,,1.043839,0.994728,1.000919,1.026917,0.988679,,0.977899,,0.976490,0.951653,1.008164,1.048528,,,,,0.983166,0.961612,0.974598,,0.996714,1.010339,0.977471,1.048391,0.950617
Mi9,,,,,,0.958745,0.970285,,0.964243,1.036433,,,0.977760,1.001667,0.972972,0.995666,1.037077,0.959111,0.985063,,,,,1.030198,0.992854,0.986815,0.957836,1.038561,0.980926,1.020725,0.950383,
T1,1.022256,0.988346,1.034727,,0.966528,1.047069,,0.978158,,,0.988465,,,,,,,,,,,,,1.005057,1.044828,1.039919,,,0.982475,,,
T2,,,,,,,,0.951644,1.010792,,1.020560,,0.989394,0.973941,0.960434,,,,,,,,,1.048964,0.981492,,1.037811,0.979015,1.010480,,,
T2a,,,,,,,,,0.987762,,,,0.955705,0.977950,1.016961,,,,,,,,,0.996345,,0.994346,0.971565,0.983723,1.030981,,0.977034,
T3,,,,,,,,,,,,,0.979409,0.973095,1.014611,,,,1.027145,,,,,1.019685,,,1.016827,0.987297,,,,0.999013
T4a,,,,,,,,,,,1.019005,,,,,1.001015,0.997624,1.041964,0.951385,1.023967,,,,,,,,,,,,0.984270
