idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,1.040506,1.008398,49.276810,209.303925,-0.103697,1.000000
1,R7,1.000000,0.996012,0.998859,47.833828,194.656937,0.326583,1.000000
2,R8,1.000000,1.037281,1.021498,48.854603,205.903824,0.202121,1.000000
3,L1,1.000000,0.998571,1.015077,48.077312,200.578552,0.096545,0.979571
4,L2,1.000000,0.983137,0.975792,47.612579,207.846024,0.394592,1.039592
5,L3,1.000000,1.022022,1.002519,49.262932,194.163147,0.093874,1.000000
6,L4,1.000000,0.978366,0.998153,48.479832,207.159195,0.051722,1.045479
7,L5,1.000000,1.035675,0.990309,49.984749,195.399826,0.189703,1.020317
8,Mi1,1.000000,1.038351,1.008845,47.810593,198.549698,-0.043919,1.000000
9,Mi4,1.000000,0.997979,1.038351,49.850582,199.765945,-0.014131,1.000000
10,Mi9,1.000000,1.000674,1.037241,47.754230,192.481979,-0.458503,1.000000
11,T1,1.000000,1.031437,0.990778,49.818695,206.687561,0.007882,1.000000
12,T2,1.000000,1.038223,0.998110,48.821171,206.774078,-0.078445,1.000000
13,T2a,1.000000,1.004532,0.970587,49.623161,194.588531,-0.288642,1.000000
14,T3,1.000000,1.034387,0.957841,51.146687,193.552902,0.492185,1.000000
15,T4a,1.000000,0.953604,1.020073,51.842583,202.227448,0.020703,1.000000
16,T4b,1.000000,0.959725,1.006045,48.427559,198.610840,0.381669,1.000000
17,T4c,1.000000,1.049413,0.956857,48.865719,202.094452,0.209417,1.000000
18,T4d,1.000000,0.988473,1.049744,48.671852,209.791183,-0.190003,1.000000
19,T5a,1.000000,0.974619,1.032431,48.953850,191.970261,0.229987,1.000000
20,T5b,1.000000,0.981415,1.020908,48.936249,208.866776,0.204394,1.000000
21,T5c,1.000000,0.950232,1.044647,49.213902,209.428772,0.420461,1.000000
22,T5d,1.000000,0.951790,0.998036,52.316547,198.332703,0.373696,1.000000
23,Tm1,1.000000,0.997005,1.031040,51.234577,205.237396,-0.480069,1.000000
24,Tm2,1.000000,1.041575,0.995875,51.467903,191.858963,-0.127422,1.000000
25,Tm20,1.000000,1.012471,0.952432,47.604816,193.613235,-0.333566,1.000000
26,Tm21,1.000000,0.983537,0.978963,50.927181,203.153091,0.135912,1.000000
27,Tm3,1.000000,1.040398,1.044774,50.577019,194.883926,0.438702,1.000000
28,Tm4,1.000000,1.048213,0.999348,51.576107,198.376358,-0.289267,1.000000
29,Tm9,1.000000,1.039422,1.020636,50.386528,203.612625,-0.227266,1.000000
30,C2,1.000000,1.029180,0.979367,52.429401,208.057678,0.311393,1.000000
31,C3,1.000000,1.024143,0.993120,51.541283,194.629929,-0.069959,1.000000
32,Lawf1,1.000000,0.971872,1.014085,49.793716,199.135239,-0.099507,1.000000
33,Lawf2,1.000000,0.967830,1.017669,49.725594,194.834213,-0.279405,1.000000
