,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,0.951502,,,0.955461,1.029836,1.003747,0.995199,,,,,1.044433,,,,,,,,,,,,,,,,,,,0.973151,0.959087,,
R7,,,0.974389,0.973026,,1.030942,,,1.042538,0.967585,1.026034,,,,,,,,,,,,,,,1.017521,,,,,,1.047919,1.028418,
R8,,1.033415,0.950066,0.960267,0.954379,0.967231,,0.996567,1.016871,0.960839,1.027328,1.006832,,,,,,,,,,,,,,0.986062,1.038707,,,,1.027942,1.016862,0.963543,0.969833
L1,1.049629,1.043249,1.000417,1.027012,1.003755,1.001853,1.048537,1.033767,0.975063,0.995709,,1.042845,0.993345,0.997065,,,,,,,,,,0.995971,1.027936,,,1.004132,,,0.956634,1.036880,,1.019550
L2,1.010571,,0.974142,0.963621,1.027513,0.992957,1.005877,1.017881,0.971757,1.009594,1.016323,1.026316,1.016458,0.990186,,,,,,,,,,1.016228,0.998484,1.034677,,1.011508,0.959533,,1.001346,0.971894,,
L3,,0.984453,0.972392,1.034994,1.008670,,,,0.983738,0.985194,0.980155,0.985100,,,,,,,,,,,,0.991108,1.015875,0.985915,1.031632,,0.980291,0.991624,1.034836,0.998976,1.048117,
L4,1.047562,,,1.013212,0.966060,1.001220,0.991090,1.021933,0.990218,,0.972328,,1.019663,,,,,,,,,,,0.956966,0.991517,,,,1.048005,1.036507,,1.042635,1.027947,1.046955
L5,,,,0.973609,1.038208,,,1.018557,1.037710,1.005831,0.980155,1.016199,0.983889,0.984686,,,,,,,,,,0.986167,1.024522,1.026366,0.996051,1.034799,1.023888,,0.974526,0.981640,1.038007,0.963283
Mi1,,0.964988,1.036311,1.001957,1.021170,,,0.961482,1.012620,1.043359,1.033472,0.968462,0.956847,0.992902,1.039970,1.032257,1.008065,0.992090,1.014349,,,,,0.983624,0.979363,1.027484,0.967545,0.982471,0.952288,,0.959580,0.974430,1.026334,0.967478
Mi4,,,,,0.997801,1.045001,,0.971092,0.956796,0.987342,0.983863,0.977808,,1.049031,,0.995746,0.954842,0.986062,0.954771,,,,,1.024357,1.009725,0.955973,,1.044969,1.005417,0.974892,1.028181,0.994457,1.048469,0.965147
Mi9,,,,,,1.039257,0.975284,,0.977474,0.989558,,,1.009327,0.970328,0.965517,0.955371,1.030343,1.023818,0.999954,,,,,1.033992,0.958574,0.983662,1.022171,1.009971,1.032608,1.000823,1.007297,,0.992605,0.961035
