,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,1.015735,,,1.028150,0.954422,1.048275,0.965637,,,,,1.034674,,,,,,,,,,,,,,,,,,,0.975157,0.982678,,
R7,,,1.046949,0.964303,,0.968506,,,1.011817,1.003538,0.976732,,,,,,,,,,,,,,,0.952173,,,,,,1.011891,0.952582,
R8,,0.984654,1.019785,0.978467,1.028952,1.013913,,1.019914,0.984732,0.996380,0.961745,0.974883,,,,,,,,,,,,,,0.984548,1.020519,,,,1.005502,0.973311,0.981907,0.988953
L1,0.977296,1.000516,1.013116,1.029963,0.979074,1.011228,0.958176,0.965522,0.980105,0.950622,,1.048485,0.986092,1.022553,,,,,,,,,,1.048593,1.018292,,,0.965220,,,1.022412,0.951901,,0.978131
L2,0.978510,,0.993650,0.976246,0.998211,1.026277,1.043128,0.960726,0.981853,1.034943,0.954774,0.950613,0.985650,0.978993,,,,,,,,,,1.014925,1.025322,0.981837,,0.973646,1.029759,,1.019505,1.016582,,
L3,,1.020578,0.980352,0.999943,1.042799,,,,0.993013,1.042895,1.036747,0.953502,,,,,,,,,,,,0.967558,1.014737,1.047869,0.959653,,1.049478,0.996937,1.047706,1.049113,1.023574,
L4,1.044839,,,0.990739,0.990623,1.015602,0.964791,1.003894,0.989100,,0.955575,,0.995160,,,,,,,,,,,1.041006,0.992525,,,,1.021244,0.994349,,0.997866,1.002553,1.004917
L5,,,,0.972902,0.991649,,,0.964531,0.985632,1.041849,1.024780,0.988327,1.039731,0.998502,,,,,,,,,,1.031783,1.007399,0.995493,0.981869,1.038892,1.010875,,1.030272,1.048265,0.997677,1.010874
Mi1,,1.049752,0.986046,1.024985,0.997355,,,0.965316,0.955959,0.954863,0.965949,0.962366,1.046785,0.985345,0.994702,0.984655,0.960819,0.994361,1.001375,,,,,0.957415,1.034702,1.041955,1.033537,0.984481,1.022372,,1.046507,1.018855,1.031677,1.027848
Mi4,,,,,1.007290,1.016495,,0.998623,0.979421,0.962747,1.018545,1.011424,,0.976814,,1.004214,1.046896,0.995958,0.958309,,,,,0.988442,0.962360,0.960395,,0.952712,1.039894,0.958609,1.042510,1.030196,1.008543,1.043576
Mi9,,,,,,0.983490,0.957862,,1.004708,1.000905,,,1.003733,1.043387,0.973755,0.962372,1.024455,1.045185,1.041647,,,,,1.022620,0.994736,1.038532,0.954994,1.014662,0.970677,1.041004,0.999247,,1.019734,0.979088
T1,0.974402,1.025330,1.042954,,1.038187,0.979310,,1.037549,,,1.014157,,,,,,,,,,,,,0.994017,1.004769,0.966109,,,1.012422,,,,,
T2,,,,,,,,0.968154,0.985937,,0.997422,,0.968989,1.018593,0.953318,,,,,,,,,0.971418,1.022602,,1.009315,1.007589,1.011462,,,,,0.983313
T2a,,,,,,,,,1.008453,,,,0.965331,1.004761,0.979558,,,,,,,,,1.032234,,1.040021,1.004771,1.031675,0.978191,,1.044642,,,0.977731
T3,,,,,,,,,,,,,0.972919,0.991948,0.997788,,,,0.962780,,,,,0.989693,,,0.981396,1.001001,,,,0.981626,,1.018529
T4a,,,,,,,,,,,1.040575,,,,,1.001798,0.952573,0.957652,1.038138,1.041320,,,,,,,,,,,,0.977823,,
T4b,,,,,,,,,0.961642,1.040300,1.020349,,,,,0.954355,0.972256,,0.962604,,0.988730,,,,,,,,,,,,,
