idx,cell,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,0.970266,0.981771,48.368580,198.155304,0.236737,1.000000
1,R7,1.000000,0.993895,1.013929,48.283707,190.784409,0.210041,1.000000
2,R8,1.000000,0.993849,1.023087,49.945957,195.596283,-0.368668,1.000000
3,L1,1.000000,1.045165,0.969408,52.278793,206.470474,-0.184080,0.982525
4,L2,1.000000,0.954820,1.006604,47.568596,197.832077,0.384839,1.018843
5,L3,1.000000,1.017193,0.997374,52.186710,190.470718,0.288268,1.000000
6,L4,1.000000,1.037879,1.036172,52.344116,197.311707,-0.452772,1.043658
7,L5,1.000000,1.020607,0.959359,48.346813,196.195465,-0.442661,1.012769
8,Mi1,1.000000,0.962748,1.037806,50.733463,200.174240,-0.061330,1.000000
9,Mi4,1.000000,1.038200,0.965149,48.946922,208.891068,0.032753,1.000000
10,Mi9,1.000000,1.005646,0.969841,52.383686,206.280273,0.382562,1.000000
11,T1,1.000000,1.025227,1.005479,49.329445,192.864822,-0.112083,1.000000
12,T2,1.000000,0.960476,1.045933,49.913685,201.216675,-0.489042,1.000000
13,T2a,1.000000,0.974013,0.991432,48.096832,202.423599,-0.047269,1.000000
14,T3,1.000000,0.963508,1.034228,49.731239,208.939407,0.244444,1.000000
15,T4a,1.000000,1.020065,0.960072,49.754620,195.309235,-0.263495,1.000000
16,T4b,1.000000,1.010934,1.024997,50.991791,206.390671,0.133065,1.000000
17,T4c,1.000000,1.031426,0.997019,51.298958,203.931717,-0.122943,1.000000
18,T4d,1.000000,0.970035,0.983195,51.457359,196.164108,-0.355061,1.000000
19,T5a,1.000000,0.978402,1.001378,51.050865,201.582489,-0.126772,1.000000
20,T5b,1.000000,1.020512,1.013135,51.525650,201.594177,0.136465,1.000000
21,T5c,1.000000,0.951991,1.027267,48.803154,207.015869,0.278321,1.000000
22,T5d,1.000000,1.037243,1.040732,52.073231,206.021286,0.264344,1.000000
23,Tm1,1.000000,1.019109,1.029554,51.187466,209.691162,-0.432968,1.000000
24,Tm2,1.000000,1.008300,1.044160,48.167133,204.843826,0.461575,1.000000
25,Tm20,1.000000,1.042232,0.972450,51.214943,193.413864,-0.439676,1.000000
26,Tm21,1.000000,0.962431,0.990360,48.806854,206.556290,0.095515,1.000000
27,Tm3,1.000000,1.004664,1.011445,50.596462,196.717239,-0.084568,1.000000
28,Tm4,1.000000,1.032522,0.973930,51.909973,199.286240,0.037336,1.000000
29,Tm9,1.000000,0.975793,0.981027,48.581001,197.369354,0.060342,1.000000
30,C2,1.000000,0.964278,0.962938,51.636475,201.669296,0.162596,1.000000
31,C3,1.000000,0.950892,1.000547,52.388958,209.308441,0.124335,1.000000
32,Lawf1,1.000000,0.972033,1.002511,49.772453,207.272354,0.400644,1.000000
33,Lawf2,1.000000,0.982950,0.999764,51.883621,209.343506,-0.482275,1.000000
