idx,cell,a_in,a_out,v_th,a_gt,bias_gt,tau_lp,tau_hp,e_leak,a_h,v_pre,v_onset
0,R1-6,1.831344,1.550733,-50.000000,1.033837,0.000000,40.000000,200.000000,-50.000000,0.000000,-30.148901,-30.126650
1,R7,1.831344,1.996737,-50.000000,1.035604,0.000000,40.000000,200.000000,-50.000000,0.000000,-30.376867,-30.355783
2,R8,1.831344,0.455585,-50.000000,0.994437,0.000000,40.000000,200.000000,-50.000000,0.000000,-31.816124,-31.804655
3,L1,1.831344,1.813014,-50.000000,0.560393,0.000000,40.000000,200.000000,-50.000000,0.361649,-63.166924,-63.254250
4,L2,1.831344,1.544726,-50.000000,0.510921,0.000000,40.000000,200.000000,-50.000000,0.740379,-56.672104,-56.718338
5,L3,1.831344,0.343616,-50.000000,1.535167,0.000000,40.000000,200.000000,-50.000000,0.000000,-52.194126,-52.208424
6,L4,1.831344,0.764772,-50.000000,0.162138,0.000000,40.000000,200.000000,-50.000000,1.000000,-50.000000,-50.000004
7,L5,1.831344,1.638012,-50.000000,1.281578,0.000000,40.000000,200.000000,-50.000000,0.198380,-50.000034,-50.000034
8,Mi1,1.831344,1.005107,-50.000000,1.317445,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.025799,-50.025951
9,Tm3,1.831344,0.511952,-50.000000,0.677566,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.000000,-50.000000
10,Mi4,1.831344,0.772925,-50.000000,1.151139,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.150002,-50.150829
11,Mi9,1.831344,3.413621,-50.000000,0.539265,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.013996,-50.014088
12,T4a,1.831344,1.328913,-50.000000,1.005915,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.000000,-50.000000
13,T4b,1.831344,0.216490,-50.000000,1.002019,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.000000,-50.000000
14,T4c,1.831344,1.265656,-50.000000,1.043859,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.000000,-50.000000
15,T4d,1.831344,9.977992,-50.000000,0.966827,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.000000,-50.000000
16,Tm1,1.831344,0.428926,-50.000000,0.692976,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.000000,-50.000000
17,Tm2,1.831344,0.646794,-50.000000,0.457460,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.000000,-50.000000
18,Tm4,1.831344,0.548681,-50.000000,0.274251,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.000000,-50.000000
19,Tm9,1.831344,1.134938,-50.000000,1.046282,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.000000,-50.000000
20,T5a,1.831344,0.507609,-50.000000,0.991695,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.000000,-50.000000
21,T5b,1.831344,6.277004,-50.000000,1.046611,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.000000,-50.000000
22,T5c,1.831344,2.696974,-50.000000,0.986347,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.000000,-50.000000
23,T5d,1.831344,3.082570,-50.000000,1.026332,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.000000,-50.000000
24,T1,1.831344,1.410407,-50.000000,1.045718,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.081909,-50.082439
25,T2,1.831344,1.705336,-50.000000,1.017889,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.000000,-50.000000
26,T2a,1.831344,0.715879,-50.000000,1.007971,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.000000,-50.000000
27,T3,1.831344,1.479260,-50.000000,0.984082,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.000000,-50.000000
28,C2,1.831344,0.297929,-50.000000,1.046315,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.005604,-50.005642
29,C3,1.831344,0.680101,-50.000000,1.021313,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.073109,-50.073586
30,Lawf1,1.831344,1.287561,-50.000000,1.049608,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.006474,-50.006516
31,Lawf2,1.831344,1.300752,-50.000000,1.018677,0.000000,40.000000,200.000000,-50.000000,0.000000,-50.004833,-50.004864
