cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,1.024289,19.638487,0.981954,0.954082,-0.316976,-50.000000,-50.000000,0.973062,349.291809,10.000000,198.086166,0.000000,19.575470,19.638487,21.606966,1.968479
1,R7,0.975881,18.665445,0.981954,1.015728,0.404877,-50.000000,-50.000000,0.997797,348.134979,10.000000,198.086166,0.000000,18.614937,18.665445,20.581715,1.916269
2,R8,1.000466,19.098137,0.981954,0.980968,-0.359495,-50.000000,-50.000000,1.002633,350.054291,10.000000,198.086166,0.000000,19.038599,19.098137,20.988876,1.890739
3,L1,1.007371,-10.088802,0.981954,0.969772,-0.065426,-50.000000,-50.000000,1.022619,350.425079,10.000000,198.086166,0.019636,-9.994168,-10.088802,-10.507039,-0.418237
4,L2,0.962597,-20.839991,0.981954,1.004944,-0.211840,-50.000000,-50.000000,0.952512,349.449768,10.000000,198.086166,-0.042274,-20.693077,-20.839991,-21.390236,-0.550245
5,L3,1.016672,-7.359791,0.981954,0.982139,0.194249,-50.000000,-50.000000,0.984435,352.190826,10.000000,198.086166,0.000000,-7.302823,-7.359791,-7.602023,-0.242232
6,L4,1.012293,0.473069,0.981954,1.014894,0.171137,-50.000000,-50.000000,0.962839,350.526154,10.000000,198.086166,0.012057,0.482392,0.473069,0.454803,-0.018266
7,L5,0.953139,-2.283946,0.981954,1.026362,-0.327635,-50.000000,-50.000000,0.954732,347.908356,10.000000,198.086166,-0.007807,-2.277356,-2.283946,-2.278169,0.005776
8,Mi1,0.985614,-3.140709,0.981954,0.973527,0.127064,-50.000000,-50.000000,1.009366,348.133728,10.000000,198.086166,0.000000,-3.163446,-3.140709,-3.095344,0.045366
9,Tm3,1.044886,2.244417,0.981954,0.984979,-0.054548,-50.000000,-50.000000,0.974516,351.735107,10.000000,198.086166,0.000000,2.212248,2.244417,2.302822,0.058405
10,Mi4,1.008746,1.534191,0.981954,0.984076,0.060425,-50.000000,-50.000000,1.037091,350.617157,10.000000,198.086166,0.000000,1.540468,1.534191,1.488371,-0.045819
11,Mi9,1.025697,2.081263,0.981954,0.995490,-0.326087,-50.000000,-50.000000,1.006084,350.648071,10.000000,198.086166,0.000000,2.096543,2.081263,2.041848,-0.039415
12,T4a,1.025684,2.359849,0.981954,0.971761,0.089009,-50.000000,-50.000000,1.004887,347.714294,10.000000,198.086166,0.000000,2.352036,2.359849,2.368876,0.009026
13,T4b,1.038638,2.279732,0.981954,0.984790,0.349172,-50.000000,-50.000000,0.983043,349.175903,10.000000,198.086166,0.000000,2.272866,2.279732,2.287928,0.008196
14,T4c,1.044777,2.503479,0.981954,0.980030,0.328206,-50.000000,-50.000000,0.953022,350.466705,10.000000,198.086166,0.000000,2.495739,2.503479,2.512092,0.008613
15,T4d,0.952200,1.801688,0.981954,1.048179,-0.201291,-50.000000,-50.000000,0.961836,347.877869,10.000000,198.086166,0.000000,1.794511,1.801688,1.809488,0.007800
16,Tm1,1.046501,3.195742,0.981954,0.999762,-0.079643,-50.000000,-50.000000,0.961103,351.791656,10.000000,198.086166,0.000000,3.296549,3.195742,3.009325,-0.186417
17,Tm2,1.033744,4.507023,0.981954,1.013357,-0.440033,-50.000000,-50.000000,0.957864,349.134186,10.000000,198.086166,0.000000,4.573646,4.507023,4.370540,-0.136484
18,Tm4,1.022769,1.871429,0.981954,0.964777,-0.220712,-50.000000,-50.000000,1.026755,351.863770,10.000000,198.086166,0.000000,1.921337,1.871429,1.776733,-0.094697
19,Tm9,0.952746,-0.026207,0.981954,1.012070,-0.370690,-50.000000,-50.000000,0.952500,351.793945,10.000000,198.086166,0.000000,-0.020719,-0.026207,-0.036901,-0.010693
20,T5a,0.984283,4.626953,0.981954,1.009433,0.270266,-50.000000,-50.000000,0.966221,351.164978,10.000000,198.086166,0.000000,4.620024,4.626953,4.621672,-0.005281
21,T5b,1.012955,3.985112,0.981954,0.951390,0.186433,-50.000000,-50.000000,1.024585,349.744537,10.000000,198.086166,0.000000,3.978467,3.985112,3.981509,-0.003603
