cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_th_ca,a_ca,tau_ca,v_pre,v_onset,v_spot_end,delta_v,v_ca_pre,v_ca_onset,v_ca_spot_end,delta_v_ca,ca_pre,ca_onset,ca_spot_end,delta_ca
0,R1-6,1.025847,50.000000,2.383619,1.664630,-7.546169,-100.000000,20.501968,206.339890,0.000000,-100.000000,1.010703,352.320007,11.061893,11.084848,15.747297,4.662449,112.294090,112.318085,117.029785,4.711700,112.294090,112.294495,112.489212,0.194717
1,R7,0.995050,50.000000,2.383619,5.677850,-17.556957,-99.815338,10.000000,193.214462,0.000000,-100.000000,1.025997,349.303345,-47.031403,-47.412960,-42.977131,4.435829,54.349335,53.962959,58.507046,4.544086,54.349335,54.342625,54.556057,0.213432
2,R8,0.961918,50.000000,2.383619,4.537354,-24.945456,-100.000000,25.628841,203.002640,0.000000,-100.000000,0.973246,351.104584,-14.053131,-13.946622,-9.991387,3.955235,83.647438,83.751099,87.600510,3.849411,83.647438,83.649078,83.812096,0.163017
3,L1,2.000000,32.519859,2.383619,2.156590,-29.338352,-100.000000,10.000000,228.386215,0.940470,-99.838974,0.859699,349.852081,-62.008236,-62.232841,-76.216408,-13.983566,32.523041,32.329948,21.271332,-11.058617,32.523041,32.519859,32.133793,-0.386066
4,L2,2.000000,11.490987,2.383619,1.961741,-31.442463,-99.828682,10.000000,231.025223,0.839559,-99.838974,0.807845,350.288239,-90.030884,-90.477951,-100.845192,-10.367241,11.493982,11.310816,8.380825,-2.929991,11.493982,11.490987,11.376692,-0.114295
5,L3,2.000000,50.000000,2.383619,0.311111,-2.663765,-99.838356,10.818912,194.926773,0.000000,-99.838974,0.851384,347.557373,-21.237305,-21.709049,-23.702602,-1.993553,66.920235,66.518600,64.821320,-1.697281,66.920235,66.913506,66.841423,-0.072083
6,L4,1.104677,50.000000,2.383619,0.100000,-2.406399,-99.842232,10.000000,223.554626,1.000000,-99.838974,0.803952,351.425354,-2.406399,-2.442062,-3.536693,-1.094631,78.331108,78.302429,77.422409,-0.880020,78.331108,78.330772,78.305717,-0.025055
7,L5,2.000000,50.000000,2.383619,1.606414,-23.985958,-99.827202,10.000000,202.141953,0.837618,-99.838974,0.806259,348.598236,-26.747681,-26.657305,-18.841024,7.816280,58.930546,59.003410,65.305351,6.301941,58.930546,58.931713,59.094406,0.162693
8,Mi1,2.000000,50.000000,2.383619,1.212853,-17.927433,-99.828323,10.000000,197.708511,0.000000,-99.838974,0.824150,350.593567,-36.880196,-36.486477,-30.876539,5.609938,51.887463,52.211952,56.835384,4.623432,51.887463,51.892975,52.029812,0.136837
9,Tm3,2.000000,50.000000,2.383619,3.062841,1.070217,-99.848770,10.000000,194.660294,0.000000,-99.838974,0.887766,349.819855,-0.854224,-0.268174,5.884138,6.152312,87.875290,88.395569,93.857384,5.461815,87.875290,87.884094,88.054642,0.170547
10,Mi4,2.000000,50.000000,2.383619,0.964390,-8.616677,-100.000000,10.000000,196.798126,0.000000,-99.838974,0.845667,352.271912,-14.911695,-14.656333,-13.969818,0.686515,72.045181,72.284195,72.885468,0.601273,72.045181,72.049065,72.080711,0.031647
