,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,8.408294,,,5.929993,3.453998,0.237015,0.100965,,,,,,,,,,,,,,,,,,0.235508,,,,0.100000,0.100000,,,,1.950458,,,,,,,,,,,,,,,,,,,,,,
R7,,,1.558308,10.000000,,0.243907,,,0.588362,,0.271756,0.100000,,,,,,,,,,,,,,,,,,0.100000,0.100000,,,1.997933,10.000000,,,0.207448,9.912844,,3.368498,,0.199765,0.257585,0.603032,3.808930,10.000000,,,,,,,,,
R8,,2.118572,7.677927,10.000000,0.100000,0.259780,,0.156314,0.215266,,0.237648,0.120363,,,,,,,,,,,,,8.544724,,,,0.100000,0.100000,1.501828,0.100000,,,0.217693,,9.924231,0.249083,0.100000,,5.819450,10.000000,,,10.000000,0.100000,,10.000000,,0.204863,,,,,0.964515,
L1,0.100000,0.100000,0.100000,0.100000,0.141580,0.244090,0.100000,1.628161,0.898990,1.367822,0.251750,,,,,,0.158637,0.230118,,,,,,,0.100000,0.706953,10.000000,,7.543708,5.278791,,10.000000,,2.080641,,,,0.118356,9.908029,,,,0.129511,,,,,,,,,0.174300,,,,
L2,7.467472,,0.100000,0.100000,0.100000,1.294955,5.674747,0.136205,0.100000,0.662846,0.100000,0.258250,,,,,0.119065,0.235801,0.100000,,,,,,0.100000,0.100000,6.930562,,0.100000,0.692186,,,,0.100000,,10.000000,0.189816,,3.164451,,9.838331,,,,9.968934,,,,,,,9.924875,,,,
L3,,0.209530,0.386200,10.000000,0.111900,,,,1.462618,,0.100000,0.100000,,,,,0.100000,7.539421,7.955284,0.100000,,,,,9.857440,,,,0.100000,0.243057,0.100000,,10.000000,,5.811916,8.992242,,10.000000,0.251071,9.875012,0.100000,0.961649,0.100000,9.858018,9.934933,4.788332,0.100000,0.100000,,,,,1.008767,,0.100000,9.990592
L4,4.417465,,,0.100000,0.100000,2.390525,9.864480,0.100000,0.100000,,,1.260170,,,,,0.100000,0.100000,0.100000,0.216438,,,,,,0.100000,,,,0.125805,0.100000,10.000000,,,,10.000000,0.248821,,,,,,9.957190,,,,,,,,,0.100000,,,,
L5,,,,4.333887,7.981320,,,0.128547,0.449516,0.615252,0.100000,0.100000,,,,,0.140747,0.100000,0.100000,,,,,,10.000000,0.317569,0.100000,,0.631738,5.090369,8.949084,0.100000,,0.100308,0.100000,10.000000,0.100000,0.100000,0.242532,,3.599451,0.951094,0.100000,,0.100000,,,,0.100000,0.100000,10.000000,0.100000,,5.211661,,
Mi1,,0.100000,10.000000,0.151925,0.100000,,,0.100000,0.100000,1.121148,2.574216,0.100000,0.222596,2.432010,0.100000,0.243189,0.163409,2.733369,0.100000,,,,,,10.000000,0.100000,0.100000,2.511691,2.970541,6.797833,9.537984,0.187023,0.216830,,0.100000,10.000000,10.000000,7.503642,0.258711,,5.812108,0.223196,5.118301,,,10.000000,,0.100000,0.971918,3.757455,0.100000,0.100000,0.100000,0.165838,0.100000,3.218494
Tm3,,,,0.100000,0.100000,,,,0.100000,0.100000,0.100000,0.100000,7.266120,0.100000,3.217658,0.212214,,,0.100000,,,0.962041,,1.033854,,2.016827,5.358137,0.100000,0.100000,1.761195,0.100000,0.100000,,,0.100000,10.000000,0.242586,,,9.905232,,,3.266308,,,,9.846183,,6.630971,2.337349,0.157159,9.896388,,0.233348,,
