cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,0.959558,20.338734,0.979791,1.036147,0.380708,-50.000000,9.692170,197.195374,0.000000,20.274595,20.338734,22.722576,2.383842
1,R7,1.011815,18.105951,0.979791,0.958987,-0.199186,-50.000000,9.288398,192.749435,0.000000,18.052996,18.105951,20.436239,2.330288
2,R8,0.970136,19.389233,0.979791,0.993597,-0.105579,-50.000000,9.593265,200.537872,0.000000,19.328089,19.389233,21.700474,2.311241
3,L1,1.028675,-12.214293,0.979791,1.014686,-0.010833,-50.000000,9.846172,209.362427,0.047176,-12.104598,-12.214293,-12.789036,-0.574743
4,L2,0.980684,-20.432278,0.979791,1.031259,-0.318457,-50.000000,9.171911,194.343582,0.028452,-20.280146,-20.432278,-21.100758,-0.668480
5,L3,1.047332,-7.875518,0.979791,1.026119,0.345404,-50.000000,10.639441,201.375214,0.000000,-7.816626,-7.875518,-8.185390,-0.309872
6,L4,0.963969,0.611323,0.979791,1.002724,0.325907,-50.000000,10.830828,209.249649,0.018909,0.620283,0.611323,0.590188,-0.021135
7,L5,0.977500,-2.116530,0.979791,1.008186,-0.240009,-50.000000,10.173584,199.012177,0.021831,-2.117194,-2.116530,-2.094496,0.022034
8,Mi1,0.970925,-3.270683,0.979791,1.027598,0.063211,-50.000000,9.615031,206.241608,0.000000,-3.304461,-3.270683,-3.200268,0.070416
9,Tm3,0.977917,2.474875,0.979791,1.004403,-0.023581,-50.000000,9.310991,198.346558,0.000000,2.433908,2.474875,2.552110,0.077235
10,Mi4,0.954292,1.557738,0.979791,1.019156,0.128250,-50.000000,9.525499,195.568359,0.000000,1.562734,1.557738,1.505986,-0.051751
11,Mi9,1.012673,2.577425,0.979791,0.998272,0.327129,-50.000000,9.734486,201.498367,0.000000,2.594741,2.577425,2.529981,-0.047444
12,T4a,0.995829,2.397509,0.979791,0.975128,-0.236149,-50.000000,9.840986,203.663849,0.000000,2.386737,2.397509,2.410658,0.013149
13,T4b,0.998844,2.266501,0.979791,1.022186,0.117734,-50.000000,9.079831,200.096344,0.000000,2.257029,2.266501,2.277620,0.011119
14,T4c,1.015706,2.518514,0.979791,1.037735,0.130916,-50.000000,9.501633,206.182693,0.000000,2.508425,2.518514,2.530208,0.011694
15,T4d,0.961604,2.182509,0.979791,1.035643,0.011749,-50.000000,10.600817,208.216400,0.000000,2.173847,2.182509,2.193492,0.010983
16,Tm1,1.039690,3.582146,0.979791,1.019474,0.011691,-50.000000,10.534580,196.006485,0.000000,3.678475,3.582146,3.369092,-0.213054
17,Tm2,1.042353,5.017892,0.979791,0.954358,-0.426984,-50.000000,9.310171,195.843719,0.000000,5.091536,5.017892,4.852269,-0.165623
18,Tm4,0.974421,2.214973,0.979791,0.957094,-0.015699,-50.000000,10.607745,195.368011,0.000000,2.261026,2.214973,2.109910,-0.105063
19,Tm9,0.968451,0.160964,0.979791,0.953780,-0.208688,-50.000000,9.721338,196.936600,0.000000,0.167483,0.160964,0.147196,-0.013768
