,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,1.026838,,,1.004392,1.014832,0.973581,0.958454,,,,,,,,,,,,,,,,,,0.972573,,,,1.010727,0.970758,,,,0.984844,,,,,,,,,,,,,,,,,,,,,,
R7,,,1.004526,1.031758,,0.958077,,,0.985381,,0.989118,0.989970,,,,,,,,,,,,,,,,,,1.022538,0.992721,,,0.980700,0.950777,,,1.023588,1.044461,,1.006803,,1.019249,1.021671,1.047785,0.972722,1.014892,,,,,,,,,
R8,,1.011621,0.959476,0.983109,0.956490,1.025740,,0.964257,1.012536,,1.028087,1.012633,,,,,,,,,,,,,1.037137,,,,0.972240,1.003667,0.962131,1.012069,,,1.040230,,1.012125,0.956587,0.988427,,1.040689,1.042585,,,0.969488,1.036037,,0.958882,,1.029876,,,,,0.964436,
L1,0.991151,0.997528,0.961757,1.020551,0.950802,0.975333,0.961681,0.979115,0.981342,1.007887,0.986687,,,,,,0.990120,1.004901,,,,,,,0.990335,0.963298,0.967075,,1.011544,1.007761,,0.979223,,1.003356,,,,1.012242,1.034193,,,,0.965947,,,,,,,,,1.021880,,,,
L2,1.037486,,1.004934,0.994664,1.033461,0.951004,0.963382,1.000037,1.007164,1.034129,0.997648,0.997743,,,,,0.997915,0.973814,1.019751,,,,,,1.025914,1.039871,1.046028,,0.978275,0.973135,,,,1.026751,,1.004960,0.962916,,1.024299,,1.005100,,,,1.008022,,,,,,,1.024025,,,,
L3,,1.046015,1.039356,0.959168,1.033689,,,,0.964521,,0.962917,0.963936,,,,,0.953343,0.958598,1.002572,0.997685,,,,,0.997927,,,,1.014205,1.039803,0.971770,,0.996543,,0.959866,1.016297,,1.035117,0.974147,1.037155,0.959805,1.018687,0.982927,1.023761,0.967777,0.994409,0.963828,0.985263,,,,,0.957723,,1.035070,1.037652
L4,1.040439,,,0.997149,0.965399,0.960105,1.049053,1.033577,1.021591,,,0.962542,,,,,1.030827,0.978242,1.002009,0.975621,,,,,,0.983598,,,,1.003858,0.987893,0.950908,,,,0.964169,1.007072,,,,,,1.011760,,,,,,,,,0.952846,,,,
L5,,,,0.950482,1.003560,,,0.963428,0.988948,1.000878,1.026981,1.008688,,,,,1.036943,1.013691,0.984209,,,,,,0.966847,1.001157,1.021274,,0.976205,1.036574,0.964339,0.994347,,1.032781,0.991553,0.975704,1.036207,0.996265,1.021072,,0.990059,1.008019,1.048699,,0.998428,,,,1.023869,1.000232,1.035388,0.951272,,1.012042,,
Mi1,,1.049323,0.972290,0.952336,0.986149,,,0.997989,0.960905,0.995253,1.012402,1.000723,0.986365,0.982350,0.992561,0.973881,1.007884,0.984071,1.047795,,,,,,1.037323,0.963580,1.029471,1.007188,0.959706,0.972333,1.029675,1.035014,1.026079,,0.975546,0.979608,0.961295,0.993336,1.003294,,1.020399,1.022860,1.011158,,,1.032684,,0.980595,0.983379,1.010891,1.027559,1.044421,0.981030,1.001514,0.959453,0.955909
Tm3,,,,1.011237,1.029165,,,,0.980534,1.005968,0.985834,0.994762,0.979583,1.009349,0.968164,1.001322,,,0.951282,,,0.997485,,1.038944,,0.965031,0.956106,1.030677,1.003354,1.009980,0.980276,0.961059,,,1.000827,0.986234,0.951970,,,1.019876,,,1.018475,,,,0.954099,,1.032002,1.020075,0.960277,0.988572,,0.990954,,
Mi4,,,,,0.983949,1.022710,,1.026994,1.034514,1.042255,1.041918,1.024492,0.967432,1.000373,1.009121,0.952681,1.043955,1.013109,1.000041,0.981399,,,,,0.959649,,0.955754,,1.022075,0.980705,0.967334,0.968319,0.995447,,0.956957,,1.044889,,0.988581,1.006747,0.987262,,1.038499,0.995239,1.035543,1.007793,1.041117,1.004601,0.993195,,0.962712,1.037601,0.970768,0.971683,,
Mi9,,,,,,1.018450,1.002654,,0.966338,0.993889,1.012392,,0.992910,1.022369,1.030670,1.042951,1.017855,1.004683,1.012666,0.955636,,,,,,0.961269,0.964887,0.988352,0.963008,,0.986934,1.015114,0.957296,,0.976899,,0.967399,0.981918,,0.964663,0.970049,0.995808,1.028350,1.044119,0.969002,,1.029642,,1.028913,1.018851,,1.045797,0.988339,1.002847,1.019159,
T4a,,,,,,,,,,,,0.976445,1.027869,1.011374,1.001747,0.971361,,,,,0.955992,,,,,,,,,1.033543,,,,,,0.960073,,,,,,,1.004068,,,,,,,1.040708,,,,,1.001241,1.048954
T4b,,,,,,,,,1.034189,,0.973844,0.982114,1.006706,0.956411,,0.990831,,,,,,0.991698,,,,,,,,,,,,,,1.028629,,,,,,,1.041539,,,,,,0.962477,0.954395,1.037163,,,,,
T4c,,,,,,,,,,,,0.996926,,,0.986013,,,,,,,,1.025290,1.025335,,1.043681,,,,,,,,,,,,,,,,,,,,,,,,0.960998,0.995291,,1.000279,1.021033,,
T4d,,,,,,,,,1.027391,,,,,,0.962698,1.029465,,,,,,,,1.034741,,,,,,,,,,,,,,,,,,,,,,,,,,0.953687,0.964355,,1.043294,1.013439,,
Tm1,,,,,1.024850,,,0.971168,0.961043,1.041033,1.008416,1.022635,,,1.040211,,1.014484,1.046182,0.950300,1.030093,0.951932,1.017646,1.028099,1.031215,1.026275,0.958266,0.956617,0.975031,1.021261,1.016786,,1.046856,0.971233,,1.000507,0.980741,,0.958330,1.028266,1.034013,1.022736,1.014854,0.985752,0.959245,,,0.982492,0.972833,,1.048532,,0.990587,1.007565,1.033447,1.005928,1.043315
Tm2,,,,0.963975,0.968438,,,1.014342,0.951626,0.950244,1.035917,0.985433,1.000143,,1.049995,,0.954075,,1.020644,0.999852,1.040667,0.997061,1.016303,0.952652,0.957068,1.021033,1.042951,1.003284,,0.981738,1.007622,1.008693,1.045681,,,1.028101,,,0.979261,,,0.957351,1.030104,,,,,,0.998488,0.970521,1.006649,0.967427,0.978256,0.987057,1.031920,0.989887
Tm4,,,,,0.980853,,,,1.022337,1.004397,1.029563,,,,,,1.021137,1.035438,0.965820,,1.027441,0.972256,1.016804,0.980052,1.003833,1.014061,1.029533,0.980214,0.972273,0.963927,,0.950296,,,0.964842,1.005327,1.037009,,0.972093,,,1.009951,0.990965,,,,,,0.997190,0.989379,0.966152,0.959485,,0.971112,,0.984775
Tm9,,,,,,1.048383,,,,,1.003896,0.983594,,,,,1.040718,0.968025,0.964681,1.032315,1.034897,0.959200,0.982347,1.047207,,0.977932,0.992184,,,,,,1.029712,,,,,,,,1.046406,0.962334,,,,1.040339,1.012309,,,0.958017,1.030395,,1.032958,,0.995900,0.987260
T5a,,,,,,,,,,,,,1.041964,,,,,1.008963,,,0.956361,1.016545,,,,1.035277,,,,,,,,,,,,,,,,,0.966295,,,,,,,0.959362,,,,0.982444,0.960667,1.025607
T5b,,,,,,,,,,,,,,0.968564,,,,,,,0.997680,1.036200,,,,0.962120,,,,,,,,,,,,,,,,,,,,,,,1.034532,1.018296,0.953515,,,1.008131,,
T5c,,,,,,,,,,,,,,,0.966687,,,,,,,0.981047,0.971367,0.986108,,1.011041,,,,,,,,,,,,,,,,,,,,,,,,1.046642,1.008988,,0.999369,1.023783,,
T5d,,,,,,,,,,,,,,,1.042623,0.983297,,,,,,,,0.986687,,1.019961,,,,,,,,,,,,,,,,,,,,,,,,0.973796,1.031220,,1.039160,0.998809,,
T1,1.021995,1.021731,1.049453,,1.045103,0.986557,,0.962292,,,,1.027895,,,,,0.991096,1.034093,1.014914,,,,,,,,,,,,,,,0.956514,,,,,,,0.950957,,,,,,,,,,,,1.002944,,,
T2,,,,,,,,1.002199,0.962435,1.036044,,0.977143,,,,,1.007397,1.022671,0.957542,,,,,,,0.984666,0.978277,1.028345,,,,1.019971,,,,,0.988944,,,,,1.033157,0.990913,,1.048067,1.024129,,,0.963081,1.021539,1.031677,1.012435,,1.028943,0.980977,0.962294
T2a,,,,,,,,,1.038525,0.969029,,,,,,,0.957586,,0.963584,,,,,,,0.962209,0.984747,1.044192,1.022954,,,1.045139,0.988140,,1.030221,1.044479,,,,,1.003659,1.047238,,0.950466,1.023993,,0.973590,,,1.044111,1.024768,,1.042772,0.952716,1.045727,0.986215
T3,,,,,,,,,,1.001003,,,,,,0.986172,0.987083,,,,,,,,,0.950004,1.016310,1.015444,,0.975805,,0.972715,,,,,,,0.998713,,,1.001480,,,,,0.975031,,,,,,,0.973228,,1.024994
C2,1.035124,1.012801,0.994135,0.955913,1.044331,1.020090,0.958258,1.026491,0.950144,,0.966807,,,,,,0.951412,,,0.989797,,,,,1.015372,0.963509,0.984358,1.039388,1.049960,1.017597,,,,0.988024,,,,1.025667,1.048905,1.042439,,,0.968587,,,,,,,,,,,,,
C3,0.976628,,,0.981987,1.023206,0.960567,1.026235,0.966487,1.036592,0.958877,1.008281,0.990610,0.965938,1.012327,1.013255,1.035695,0.962376,0.974407,0.957100,1.023747,,,,,1.048847,1.038732,0.989902,0.993517,1.046937,,,,,0.972362,,0.966433,,1.034683,0.977276,,1.026213,0.980716,0.960134,,,,,,,0.953919,,,,,,
Lawf1,0.952091,,,0.957271,0.999216,0.993198,,0.983583,,0.978204,,1.048323,,,,,,,,,,,,,0.992026,,,,,,1.047252,,,0.996709,,,,,,,,,,,,,,,,,,,,,,
Lawf2,0.975418,,,0.959246,0.976746,1.002043,,0.965075,,,,,,,,,0.972023,1.009023,,1.046934,,,,,0.972936,,,,0.960531,0.975372,1.034977,,,0.956074,,0.972977,0.973823,,,,,,,,,,,,,0.977752,,,,1.047100,,
