cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset,v_sti_end,delta_v
0,R1-6,1.032098,14.972186,0.794078,0.773633,-0.248163,-49.814049,10.148760,194.729111,0.238307,14.906614,14.972186,18.822376,3.850190
1,R7,1.024654,14.913862,0.794078,0.785504,0.093914,-49.814034,10.000000,201.291260,0.206452,14.855707,14.913862,18.799501,3.885639
2,R8,1.007718,15.749130,0.794078,0.847696,-0.663251,-49.810337,10.000000,191.781998,0.162740,15.679841,15.749130,19.727976,3.978846
3,L1,1.235342,-1.722356,0.794078,1.212562,-0.171128,-49.800564,10.571210,192.512787,0.665157,-1.700790,-1.722356,-1.986775,-0.264418
4,L2,1.159467,-3.385856,0.794078,0.811191,-0.119185,-49.809380,10.405805,192.456345,0.701707,-3.357356,-3.385856,-3.681906,-0.296051
5,L3,1.190664,-3.296861,0.794078,0.827589,-0.439397,-49.812843,10.000000,205.868744,0.156156,-3.268903,-3.296861,-3.532121,-0.235260
6,L4,1.163899,-0.195869,0.794078,0.797913,-0.270322,-49.811993,10.083695,200.749985,0.742548,-0.195831,-0.195869,-0.197708,-0.001839
7,L5,0.813630,-1.309741,0.794078,0.938020,0.148959,-49.936356,10.000000,198.221558,0.698779,-1.306592,-1.309741,-1.291146,0.018596
8,Mi1,1.150348,-3.253880,0.794078,1.218072,0.272050,-50.199783,10.084435,208.198349,0.208866,-3.243706,-3.253880,-3.245114,0.008765
9,Tm3,0.842703,2.558500,0.794078,1.179286,0.445558,-50.199287,10.815761,208.422852,0.213916,2.550290,2.558500,2.579109,0.020609
10,Mi4,1.218152,0.684479,0.794078,0.781636,-0.626908,-49.805779,10.000000,197.486359,0.184336,0.684584,0.684479,0.635293,-0.049186
11,Mi9,1.148291,-0.126346,0.794078,0.793443,-0.386335,-49.807373,10.000000,201.860077,0.225183,-0.121997,-0.126346,-0.144772,-0.018426
12,T4a,1.184036,3.291301,0.794078,0.852776,0.125022,-49.822666,10.099552,194.740860,0.137785,3.281677,3.291301,3.294381,0.003080
13,T4b,1.134342,1.974935,0.794078,0.825171,-0.471611,-49.806408,10.545048,204.620804,0.194406,1.967555,1.974935,1.977611,0.002676
14,T4c,0.790690,3.783885,0.794078,1.234345,0.428464,-50.199635,11.198444,204.487885,0.000000,3.773796,3.783885,3.787467,0.003582
15,T4d,1.120193,2.072084,0.794078,0.826654,-0.436656,-49.841110,10.099137,196.336380,0.099752,2.064515,2.072084,2.074487,0.002403
16,Tm1,1.218301,1.934572,0.794078,0.810830,-0.050998,-49.813000,10.073815,193.871170,0.200676,1.935269,1.934572,1.903308,-0.031263
17,Tm2,1.158892,2.914327,0.794078,0.820716,-0.324453,-49.822903,10.088820,192.009735,0.182898,2.907980,2.914327,2.889622,-0.024704
18,Tm4,1.154705,0.580839,0.794078,0.805526,-0.100724,-49.813057,10.443390,209.137451,0.140418,0.582529,0.580839,0.562510,-0.018329
19,Tm9,1.191563,0.072692,0.794078,0.777971,-0.144568,-49.818596,10.059765,194.360229,0.179691,0.073415,0.072692,0.069149,-0.003543
20,T5a,0.987841,1.868491,0.794078,0.813233,0.012365,-49.805836,10.156658,192.535889,0.157104,1.859598,1.868491,1.869420,0.000929
21,T5b,1.015225,3.123005,0.794078,1.158037,0.175494,-50.200069,10.099684,191.340485,0.000000,3.108700,3.123005,3.124713,0.001707
22,T5c,0.990020,3.790426,0.794078,1.210824,0.597464,-50.200123,10.099759,195.270187,0.000000,3.775015,3.790426,3.792213,0.001786
23,T5d,0.975083,1.398733,0.794078,1.189970,-0.235902,-50.199871,10.721505,207.846954,0.243699,1.390979,1.398733,1.399605,0.000872
24,T1,1.001405,0.423494,0.794078,0.863483,0.607007,-50.192608,11.001742,197.995926,0.174504,0.427791,0.423494,0.385366,-0.038128
25,T2,0.978789,7.762367,0.794078,1.215903,0.506499,-50.199436,10.099218,198.450043,0.000000,7.726659,7.762367,7.770058,0.007690
26,T2a,0.966738,6.448823,0.794078,1.169492,0.678033,-50.199841,10.759886,204.811157,0.000000,6.427843,6.448823,6.452286,0.003462
27,T3,1.037345,7.541478,0.794078,0.913253,-0.052791,-49.868393,10.458354,192.061569,0.000000,7.512454,7.541478,7.546903,0.005425
28,C2,1.032061,-0.723287,0.794078,0.818915,0.129856,-49.814545,10.923182,205.327225,0.142786,-0.721496,-0.723287,-0.708210,0.015077
29,C3,0.990934,-0.247658,0.794078,1.185789,0.369085,-50.195946,10.083482,197.938141,0.175024,-0.246863,-0.247658,-0.229446,0.018211
30,Lawf1,0.994241,5.502192,0.794078,1.186062,-0.075095,-50.180386,10.690342,208.855362,0.000000,5.483694,5.502192,5.504859,0.002668
31,Lawf2,0.973310,0.133053,0.794078,0.834091,-0.637979,-49.824089,10.285458,190.005325,0.199713,0.129389,0.133053,0.132710,-0.000343
32,Dm3v,1.017809,2.516659,0.794078,0.954172,0.435206,-49.949387,10.193710,193.951004,0.025349,2.506955,2.516659,2.516513,-0.000146
33,Lai,0.978944,-16.337902,0.794078,0.839725,0.008057,-49.813515,10.000000,191.850128,0.000000,-16.177275,-16.337902,-17.462627,-1.124725
34,Mi10,0.999820,-2.315608,0.794078,0.767991,-0.684719,-49.805237,11.085157,197.438110,0.000000,-2.308607,-2.315608,-2.317895,-0.002287
35,Mi13,0.963991,0.276535,0.794078,0.810730,0.201358,-49.812859,10.000000,201.122864,0.204521,0.276828,0.276535,0.275829,-0.000706
36,Mi14,1.005559,4.748213,0.794078,1.244283,0.476632,-50.196934,10.186365,208.826767,0.000000,4.728121,4.748213,4.752078,0.003865
37,Mi15,0.998608,-1.202267,0.794078,0.853824,-0.220411,-49.814449,10.000000,205.229752,0.184791,-1.194273,-1.202267,-1.245550,-0.043283
38,Mi2,0.986753,0.630232,0.794078,0.815575,-0.520555,-49.804710,10.090681,204.021378,0.210847,0.626689,0.630232,0.629853,-0.000379
