,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,1.156437,,,0.789737,0.764865,0.857110,0.816473,,,,,,,,,,,,,,,,,,0.790396,,,,1.157531,1.151051,,,,1.192975,,,,,,,,,,,,,,,,,,,,,,
R7,,,1.216368,0.837488,,0.772001,,,1.124502,,0.850761,0.841908,,,,,,,,,,,,,,,,,,1.171827,0.768871,,,1.221305,1.170107,,,0.763545,1.220900,,0.844537,,0.841352,1.178457,0.794765,1.198064,0.819151,,,,,,,,,
R8,,1.174977,1.230323,0.793584,0.851533,0.775261,,0.830272,0.816587,,0.852993,0.798300,,,,,,,,,,,,,0.771650,,,,1.204303,1.151989,0.835143,1.201143,,,0.806453,,1.127149,0.830995,0.898214,,0.757729,0.796983,,,0.800387,1.208356,,0.796529,,0.785894,,,,,1.023902,
L1,1.165452,0.826933,0.800249,1.177689,1.220891,0.784460,1.234237,1.230050,1.078434,0.803318,0.806638,,,,,,0.897170,1.182689,,,,,,,0.765728,0.847497,1.191806,,1.165164,0.803818,,1.245826,,1.201016,,,,0.813366,1.150059,,,,0.810217,,,,,,,,,0.757630,,,,
L2,0.874255,,0.770048,0.824821,0.863132,1.216062,0.760029,0.826943,0.847074,1.214369,0.839828,1.165857,,,,,0.760884,0.829139,0.851652,,,,,,0.785651,0.766820,0.814792,,0.792781,1.183612,,,,0.771798,,1.223764,0.931592,,0.850135,,0.858734,,,,1.246675,,,,,,,1.211949,,,,
L3,,1.155247,0.824845,1.178738,1.228453,,,,0.878930,,0.805270,0.824550,,,,,0.828102,1.186359,0.762819,0.799387,,,,,1.194385,,,,1.224807,1.162580,0.853212,,1.154904,,0.859360,0.835861,,1.023888,0.849585,0.826542,0.764301,0.967315,0.845667,1.170981,1.160615,0.791816,1.174879,1.177339,,,,,0.951037,,1.211579,0.837797
L4,0.791195,,,1.199549,0.816557,1.175671,0.867036,0.822937,0.869233,,,0.805666,,,,,0.848760,0.776386,0.843582,0.823211,,,,,,1.152550,,,,0.812726,0.805255,0.764539,,,,0.779642,1.161527,,,,,,1.182366,,,,,,,,,1.178262,,,,
L5,,,,0.760622,0.836710,,,0.941529,1.231761,1.168499,0.774646,0.772992,,,,,0.772846,0.761465,0.810431,,,,,,1.155226,1.239026,1.234967,,0.842832,1.185930,0.803157,0.795465,,0.779830,1.162170,0.814743,1.167534,0.776835,0.795927,,0.807187,1.211663,0.790705,,0.769235,,,,0.793034,0.782912,1.175884,1.240677,,1.155753,,
Mi1,,0.794558,0.822504,0.765851,1.127788,,,1.199058,0.826410,1.208423,0.820786,0.809248,1.198221,1.182971,1.161922,1.166793,0.812497,1.207624,0.765722,,,,,,1.145934,1.205424,1.186990,1.211901,0.847754,1.246441,0.836551,0.791158,1.149499,,0.816962,1.187599,1.227194,0.818593,0.835503,,0.829227,1.173134,0.977383,,,0.758721,,1.210192,0.982101,0.831217,0.787319,1.186659,0.784155,0.828250,1.227715,1.176619
Tm3,,,,0.809892,1.219083,,,,1.219087,0.831580,0.771420,0.832346,1.238379,1.162314,1.223587,1.199937,,,1.227145,,,1.034393,,1.033988,,1.233669,1.236835,1.247564,0.850561,1.179765,1.143142,0.877646,,,0.814456,0.795045,1.194401,,,0.760134,,,1.204076,,,,1.168869,,0.846141,0.759811,0.820885,1.216343,,1.211077,,
Mi4,,,,,0.819251,0.789325,,1.234616,1.186402,0.839338,0.830495,1.238938,0.821737,0.777008,0.797238,0.791932,1.168750,0.851303,0.779207,0.779876,,,,,0.772273,,1.161802,,0.821145,1.175330,1.168635,1.199641,0.763660,,1.211554,,0.796054,,0.793449,1.186709,1.177573,,1.120391,0.808080,0.814600,0.843725,1.131402,0.779922,1.209493,,1.180156,0.769447,0.987622,0.848902,,
Mi9,,,,,,0.835175,1.180750,,1.212201,1.203017,0.843757,,0.794987,0.807767,0.800405,0.834498,1.193606,1.120253,1.167613,1.197122,,,,,,0.766228,0.814218,1.184982,1.158991,,0.782334,1.191828,1.229952,,1.236464,,0.815910,1.227890,,1.225267,1.212360,1.209637,0.841447,1.226543,0.849097,,1.038123,,1.138149,1.023747,,0.809119,0.839403,1.179143,1.137574,
T4a,,,,,,,,,,,,0.764548,1.205067,1.174517,1.222641,1.186841,,,,,0.823930,,,,,,,,,1.006337,,,,,,0.831613,,,,,,,0.788601,,,,,,,0.790458,,,,,0.803442,0.818900
T4b,,,,,,,,,1.175611,,0.843916,0.809966,0.850184,1.232874,,1.237460,,,,,,0.788030,,,,,,,,,,,,,,1.148611,,,,,,,0.818548,,,,,,0.837389,0.796211,0.860380,,,,,
T4c,,,,,,,,,,,,0.833584,,,1.203050,,,,,,,,0.833298,0.805277,,1.117285,,,,,,,,,,,,,,,,,,,,,,,,0.808456,0.841975,,0.846986,0.844760,,
T4d,,,,,,,,,1.229750,,,,,,1.219060,0.859105,,,,,,,,1.171933,,,,,,,,,,,,,,,,,,,,,,,,,,1.170102,0.841600,,0.817144,0.789672,,
Tm1,,,,,0.831377,,,0.864405,1.177583,1.190834,0.773480,0.778924,,,1.160692,,0.772567,0.824424,0.834921,0.855584,0.825501,1.174400,1.230796,0.832089,1.216094,1.210073,1.235002,1.155059,1.152468,1.158071,,0.780721,1.153494,,0.848882,0.786161,,0.838136,0.792654,1.217635,0.785396,1.179693,0.839910,1.209217,,,1.239098,1.167080,,1.158999,,0.763394,0.844418,0.829168,1.206092,1.192165
Tm2,,,,1.165178,1.165218,,,0.855856,1.187429,0.850248,0.818652,0.832440,1.177794,,1.226577,,0.802243,,0.791693,1.153207,0.830513,1.217061,1.176693,1.197834,1.167203,1.171207,1.155307,0.759678,,0.777069,1.213184,1.248108,1.174809,,,0.809352,,,0.844532,,,1.219597,0.812644,,,,,,0.846688,0.776338,0.789173,1.153906,0.784874,1.187333,0.862628,1.223410
Tm4,,,,,0.853850,,,,1.185443,0.785322,0.767643,,,,,,1.178708,1.157326,0.795144,,0.788664,1.181538,1.151270,0.779059,1.226153,0.758377,1.233116,1.233297,0.812275,1.190833,,0.876273,,,0.768587,0.861949,1.172511,,1.166060,,,1.219215,0.818818,,,,,,0.797141,0.836403,0.832309,1.235386,,1.106616,,1.223231
Tm9,,,,,,1.210738,,,,,0.815405,0.853994,,,,,0.826652,0.811917,1.149493,0.803313,0.796946,1.194644,1.178716,0.812553,,0.827112,1.147478,,,,,,0.969184,,,,,,,,0.852393,1.212529,,,,0.781076,1.248490,,,0.772659,0.788051,,0.855174,,0.793045,0.975852
T5a,,,,,,,,,,,,,0.836691,,,,,0.779969,,,0.820558,1.050459,,,,1.189239,,,,,,,,,,,,,,,,,1.217578,,,,,,,0.839547,,,,1.155573,0.779393,1.175200
T5b,,,,,,,,,,,,,,1.182650,,,,,,,1.190358,1.207774,,,,1.151389,,,,,,,,,,,,,,,,,,,,,,,0.768283,0.842300,0.762258,,,1.210386,,
T5c,,,,,,,,,,,,,,,1.233559,,,,,,,0.970130,1.205403,0.853249,,1.232330,,,,,,,,,,,,,,,,,,,,,,,,0.843060,0.816813,,0.798688,1.208528,,
T5d,,,,,,,,,,,,,,,0.819366,1.153855,,,,,,,,0.764856,,0.751921,,,,,,,,,,,,,,,,,,,,,,,,0.810575,0.819439,,0.835604,0.766223,,
T1,0.798300,1.135437,0.787682,,0.808447,1.213115,,0.811004,,,,0.807052,,,,,1.200906,1.199740,1.213587,,,,,,,,,,,,,,,0.850728,,,,,,,0.762889,,,,,,,,,,,,1.023545,,,
T2,,,,,,,,1.155617,1.193787,0.810507,,1.187367,,,,,0.764178,0.847016,1.178193,,,,,,,1.215740,0.866748,1.157054,,,,0.785163,,,,,0.805785,,,,,1.171404,0.819378,,1.193156,0.854426,,,0.779769,1.134229,0.809757,0.790535,,0.817929,1.031014,1.182759
T2a,,,,,,,,,1.202715,1.189535,,,,,,,1.195119,,1.225296,,,,,,,1.221129,1.235203,1.160393,1.197329,,,0.848576,0.926202,,0.789985,0.834898,,,,,0.857699,0.826207,,0.880024,0.792448,,1.212579,,,1.203363,1.234989,,0.838553,1.022152,0.944968,1.160727
T3,,,,,,,,,,1.210555,,,,,,0.785237,0.792473,,,,,,,,,1.201441,0.958702,1.215454,,1.231130,,1.236035,,,,,,,0.817939,,,1.235367,,,,,1.050695,,,,,,,1.151917,,1.194762
C2,0.758932,0.818509,1.178711,0.834394,0.799711,0.839474,0.779531,0.758576,0.760925,,0.787911,,,,,,0.816874,,,0.795055,,,,,0.862405,1.189647,0.836804,0.853261,1.152150,1.193286,,,,1.148631,,,,0.855517,1.189395,0.841828,,,1.202190,,,,,,,,,,,,,
C3,1.159570,,,0.785979,0.855038,0.809199,1.165712,0.756291,1.207753,1.176175,1.174625,1.219249,0.783408,0.762526,0.808172,1.233876,1.091806,0.832208,1.212683,0.782530,,,,,0.828040,0.832289,0.808537,0.971674,1.145600,,,,,1.189915,,1.153698,,1.144343,1.171924,,1.212893,0.758650,0.849206,,,,,,,1.172789,,,,,,
Lawf1,0.837048,,,0.769195,0.841505,1.205395,,1.186422,,0.775181,,0.756179,,,,,,,,,,,,,1.167352,,,,,,1.123624,,,0.763417,,,,,,,,,,,,,,,,,,,,,,
Lawf2,0.868178,,,1.180537,1.221925,0.831701,,1.237945,,,,,,,,,0.828545,0.801935,,0.804165,,,,,1.208088,,,,0.851576,1.241143,1.162479,,,0.798329,,0.801320,1.230492,,,,,,,,,,,,,1.167211,,,,1.196527,,
Dm3v,,,,,,,,,,,0.840849,1.218656,,,,,0.934231,0.902471,,,,,,,,,1.219945,,,,,,0.780897,,,,,,,,1.218070,0.866184,,,,,1.180491,,,,,,1.165473,1.144263,1.147389,1.247061
Lai,1.151527,,,0.846013,0.864097,0.808107,,0.857377,,,,,,,,,,,,,,,,,0.859000,,,,,1.161466,,,,1.150282,,,,,,,,,,,,,,,,,,,,,,
Mi10,,,,,,0.813434,,,,,1.155878,0.835981,1.162433,,0.809170,0.793564,,0.809632,1.233497,,,,,,,1.179887,,,,,1.141873,,,,0.764982,,1.217934,0.822926,,1.221130,,,1.175684,,1.238198,,,,0.867128,,,,,,,
Mi13,,,,,,,1.176852,0.819549,0.828074,0.768835,,1.153144,,,,,0.866715,1.212150,1.197659,1.201860,,,,,0.931088,0.763225,0.762449,,,,,,,,,,,,,,1.197235,,,,1.199515,,,,,,,,,1.048560,,
Mi14,,,,,1.242014,,,0.755330,,,,0.839970,,,,,0.911189,0.834558,1.176003,,,,,,1.220484,1.231564,,1.196329,,,,,,,,1.175480,,,,,0.992379,,0.768219,,,,,,,,,0.777899,,1.215534,,
Mi15,,,,,,,,,,,0.831455,,,,,,,,1.173963,,,,,,1.145475,,1.162851,,,1.219346,1.180778,,,,1.192892,,0.810225,0.852440,0.827190,,,0.843245,1.002454,0.857731,,0.766942,,,,,,,,1.225642,,
Mi2,,,,,,,,,0.844792,,,,,,,,1.230356,,1.146828,,,,,,,0.774101,0.759511,0.782031,,,,,,,,,0.786690,,,,1.100772,0.846617,0.761039,,,,,1.213227,,,,,,0.966392,,
Tm16,,,,,,,,,1.175056,,0.773865,0.836442,,,,,0.839480,0.787527,0.851597,0.763399,,,,,,1.152936,,,,1.191473,1.183396,0.878825,,,1.153107,,,,,,1.157733,1.056360,1.202690,,,0.828610,1.217831,1.158763,0.818086,0.850876,0.858206,,,1.143803,,1.185143
