cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset,v_sti_end,delta_v
0,R1-6,1.049396,20.749952,1.024108,1.020416,0.172156,-50.000000,10.119468,193.988922,-0.029590,20.661362,20.749952,22.841129,2.091177
1,R7,0.962257,18.282528,1.024108,1.030544,-0.123093,-50.000000,9.580700,207.088760,-0.013575,18.213598,18.282528,20.298647,2.016119
2,R8,1.036500,19.799480,1.024108,0.998104,0.009762,-50.000000,9.400014,193.407150,-0.017642,19.715782,19.799480,21.796644,1.997164
3,L1,1.034594,-7.359902,1.024108,1.045801,-0.455406,-50.000000,9.149446,201.001801,0.470858,-7.264461,-7.359902,-7.737501,-0.377598
4,L2,0.980930,-10.371871,1.024108,1.015536,0.288768,-50.000000,9.681068,205.496750,0.538787,-10.256539,-10.371871,-10.823007,-0.451136
5,L3,1.007488,-9.361674,1.024108,0.991633,-0.239280,-50.000000,9.441807,207.105530,0.010752,-9.266584,-9.361674,-9.645370,-0.283695
6,L4,0.979234,0.233384,1.024108,0.973454,-0.009167,-50.000000,9.018870,207.105911,0.506419,0.237303,0.233384,0.224428,-0.008956
7,L5,1.008895,-0.840903,1.024108,0.964080,0.033844,-50.000000,9.917292,206.028564,0.534347,-0.844825,-0.840903,-0.826532,0.014370
8,Mi1,1.038488,-4.573126,1.024108,0.993784,-0.490925,-50.000000,10.387004,209.456802,0.039572,-4.587316,-4.573126,-4.538664,0.034462
9,Tm3,1.004398,2.150306,1.024108,0.951534,0.369515,-50.000000,10.574055,196.105972,-0.049468,2.115748,2.150306,2.202099,0.051793
10,Mi4,0.956339,1.624302,1.024108,0.971575,0.148478,-50.000000,9.162601,191.018417,0.035303,1.631079,1.624302,1.578222,-0.046080
11,Mi9,1.040600,2.750523,1.024108,1.021727,0.105181,-50.000000,10.613397,208.346359,-0.044571,2.774233,2.750523,2.708899,-0.041625
12,T4a,0.963977,2.120478,1.024108,0.969277,-0.219312,-50.000000,10.228414,192.037506,0.044821,2.112686,2.120478,2.126149,0.005671
13,T4b,1.045498,1.783889,1.024108,1.010680,-0.195967,-50.000000,9.101919,204.254715,-0.000795,1.777081,1.783889,1.788917,0.005028
14,T4c,0.966619,2.276917,1.024108,0.996551,-0.041084,-50.000000,9.546021,204.449066,-0.026469,2.268709,2.276917,2.282201,0.005285
15,T4d,0.999072,2.184126,1.024108,0.999483,0.095270,-50.000000,10.240027,205.392715,-0.014652,2.176706,2.184126,2.188990,0.004864
16,Tm1,0.959700,6.305088,1.024108,1.024142,0.271739,-50.000000,9.568718,196.738174,-0.026218,6.370888,6.305088,6.174616,-0.130471
17,Tm2,1.047074,7.043267,1.024108,1.045280,0.245168,-50.000000,9.861328,208.051117,0.047551,7.078846,7.043267,6.945988,-0.097279
18,Tm4,1.009961,3.835485,1.024108,0.991705,0.265042,-50.000000,9.721292,208.752838,-0.009425,3.863997,3.835485,3.770653,-0.064832
19,Tm9,0.999476,0.703925,1.024108,0.953534,0.382302,-50.000000,9.774446,192.245590,-0.000449,0.714154,0.703925,0.692166,-0.011759
20,T5a,1.023528,5.081909,1.024108,1.019876,0.312910,-50.000000,9.694305,207.524277,-0.025019,5.062623,5.081909,5.077355,-0.004554
21,T5b,0.980843,4.191795,1.024108,0.983177,0.151368,-50.000000,10.949169,205.205826,0.043896,4.175844,4.191795,4.188771,-0.003024
22,T5c,0.976892,4.449656,1.024108,0.977499,0.072126,-50.000000,9.108987,193.050232,0.027183,4.431504,4.449656,4.445264,-0.004391
23,T5d,0.962269,3.828921,1.024108,0.982123,0.171723,-50.000000,10.763833,191.084915,0.033170,3.815319,3.828921,3.825322,-0.003599
24,T1,1.004963,0.795840,1.024108,0.965685,-0.073227,-50.000000,9.105330,198.792023,-0.022553,0.853345,0.795840,0.691956,-0.103884
25,T2,0.998269,8.482098,1.024108,0.979865,0.134314,-50.000000,9.806321,192.099991,-0.048255,8.440875,8.482098,8.485013,0.002915
26,T2a,1.019752,6.604014,1.024108,0.959268,0.247883,-50.000000,9.931700,206.809418,0.005282,6.582516,6.604014,6.599788,-0.004227
27,T3,0.961620,8.524894,1.024108,0.966780,-0.039703,-50.000000,10.121923,194.502899,-0.019476,8.492390,8.524894,8.523182,-0.001712
28,C2,0.952907,0.319398,1.024108,1.020625,0.105480,-50.000000,10.576255,207.795074,-0.004181,0.303402,0.319398,0.347563,0.028165
29,C3,0.979976,-1.373650,1.024108,0.977504,-0.255202,-50.000000,10.583962,190.848587,0.011783,-1.393715,-1.373650,-1.328161,0.045489
30,Lawf1,1.011037,7.688658,1.024108,0.960268,-0.084590,-50.000000,9.918601,209.805191,0.024348,7.664932,7.688658,7.692490,0.003832
31,Lawf2,1.026957,1.482205,1.024108,1.043664,-0.237271,-50.000000,9.026910,209.276581,-0.009624,1.475768,1.482205,1.478073,-0.004132
32,Dm3v,1.025166,3.386257,1.024108,0.979639,0.134231,-50.000000,9.636530,209.156448,-0.044375,3.375939,3.386257,3.378427,-0.007829
33,Lai,0.962356,-21.970068,1.024108,1.036793,-0.036656,-50.000000,9.327713,195.695206,0.001691,-21.699160,-21.970068,-22.843288,-0.873220
34,Mi10,0.962490,-1.673500,1.024108,1.042919,0.217386,-50.000000,9.343760,203.493973,0.033304,-1.664665,-1.673500,-1.673094,0.000406
35,Mi13,1.013790,0.627799,1.024108,0.972230,0.410398,-50.000000,10.900280,201.078735,0.020117,0.630073,0.627799,0.625162,-0.002637
36,Mi14,0.970284,4.480179,1.024108,0.965288,-0.445166,-50.000000,9.559290,209.013565,0.009297,4.456509,4.480179,4.481779,0.001600
37,Mi15,1.002715,-1.692584,1.024108,1.047093,0.296350,-50.000000,10.809799,199.027084,0.037861,-1.675746,-1.692584,-1.736769,-0.044185
38,Mi2,0.974244,2.159622,1.024108,0.965101,-0.168931,-50.000000,9.860636,197.360535,0.010985,2.154269,2.159622,2.156793,-0.002829
39,Tm16,0.976531,-4.851324,1.024108,0.979883,0.120492,-50.000000,9.935873,194.157059,0.022863,-4.827993,-4.851324,-4.851127,0.000197
40,Tm20,0.975159,1.374701,1.024108,0.986670,0.341020,-50.000000,10.920463,205.093231,-0.038193,1.398398,1.374701,1.307240,-0.067460
41,Tm21,0.996869,4.051591,1.024108,1.019895,-0.193759,-50.000000,10.506151,195.413605,-0.007698,4.034966,4.051591,4.048069,-0.003522
42,Tm27,1.042608,2.451952,1.024108,0.997659,0.409232,-50.000000,10.050120,208.857666,-0.000642,2.445160,2.451952,2.456371,0.004420
43,Tm5a,0.951252,-1.403536,1.024108,0.950446,-0.042460,-50.000000,10.797588,199.982635,0.032443,-1.389500,-1.403536,-1.467273,-0.063737
44,Tm5b,0.951418,-1.717151,1.024108,0.998569,0.298348,-50.000000,9.979407,204.938278,-0.033492,-1.699938,-1.717151,-1.758611,-0.041459
45,Tm5c,1.018136,1.428731,1.024108,0.997510,0.107253,-50.000000,10.568711,199.672562,-0.024660,1.441731,1.428731,1.373278,-0.055453
46,Tm5f,0.978945,1.937831,1.024108,0.959194,0.297604,-50.000000,10.626563,201.379303,0.023920,1.932224,1.937831,1.936560,-0.001271
47,TmY10,0.956284,-0.520038,1.024108,0.972308,-0.173312,-50.000000,9.146464,208.105453,-0.031808,-0.512574,-0.520038,-0.525446,-0.005408
48,TmY11,1.044241,-11.019670,1.024108,1.019483,-0.353188,-50.000000,9.652250,208.563766,0.010388,-10.975611,-11.019670,-11.013831,0.005839
49,TmY14,0.969058,11.557974,1.024108,0.974304,0.214689,-50.000000,9.820651,199.055786,-0.026619,11.511358,11.557974,11.561521,0.003547
50,TmY15,1.038705,13.096013,1.024108,1.012848,0.188951,-50.000000,9.780490,202.476227,-0.011234,13.038054,13.096013,13.102647,0.006634
51,TmY3,0.950076,7.353704,1.024108,1.014453,0.209060,-50.000000,10.075530,190.750534,-0.044429,7.327497,7.353704,7.352758,-0.000947
52,TmY4,1.032432,2.208295,1.024108,1.013111,0.305761,-50.000000,9.350635,205.583176,-0.038315,2.203157,2.208295,2.204185,-0.004109
53,TmY5a,1.038405,5.787110,1.024108,0.972757,-0.182080,-50.000000,9.632694,202.817123,0.045968,5.754477,5.787110,5.791795,0.004685
54,TmY9q,1.029516,2.822232,1.024108,1.015066,-0.378287,-50.000000,9.284554,207.634232,0.025029,2.810938,2.822232,2.817547,-0.004684
55,TmY9q__perp,0.950007,3.222773,1.024108,1.023144,-0.097895,-50.000000,10.924138,208.172958,0.032323,3.210877,3.222773,3.219516,-0.003257
