,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,1.041871,,,1.002574,1.039209,1.032321,0.977973,,,,,,,,,,,,,,,,,,1.005346,,,,0.952163,1.013357,,,,0.957153,,,,,,,,,,,,,,,,,,,,,,
R7,,,1.040768,1.034540,,1.010844,,,1.001002,,0.968258,1.024382,,,,,,,,,,,,,,,,,,0.975871,0.980867,,,0.961279,1.004409,,,0.997456,1.006783,,0.952161,,0.954470,1.046661,1.028029,1.046154,1.001007,,,,,,,,,
R8,,0.980788,0.986267,1.028613,1.033795,0.971527,,1.026372,0.982068,,0.957314,1.043582,,,,,,,,,,,,,0.998744,,,,0.954174,1.048483,1.049101,1.029973,,,1.012431,,0.965315,1.002953,1.009066,,1.047085,1.032343,,,1.032129,1.009562,,1.018548,,0.999840,,,,,0.974085,
L1,0.968516,1.033329,1.008039,1.019753,1.045748,0.984405,0.984397,1.007106,1.035213,1.027386,1.011787,,,,,,0.984246,1.034924,,,,,,,1.021480,0.973143,0.957796,,1.021099,0.971528,,1.008782,,0.950732,,,,0.982184,0.980446,,,,1.025603,,,,,,,,,1.049374,,,,
L2,0.994878,,1.020731,0.971640,0.973894,1.030406,1.038292,0.956962,0.977376,0.980545,0.987853,1.024128,,,,,0.961737,1.009112,0.980685,,,,,,0.965940,0.984330,1.005260,,1.032020,0.966648,,,,0.974840,,1.009201,1.018852,,1.023537,,0.962943,,,,1.025272,,,,,,,0.988146,,,,
L3,,1.014897,0.951586,0.998081,0.969570,,,,0.991735,,1.008636,0.974510,,,,,1.030137,1.007595,0.958350,0.962551,,,,,1.033692,,,,0.998911,1.012129,1.022667,,0.986292,,1.028193,1.022432,,0.963859,0.952466,0.980031,1.039093,0.959662,1.018986,1.045378,1.008307,1.045196,1.012432,1.041324,,,,,1.033460,,0.991672,1.010205
L4,1.035730,,,0.963674,0.971339,0.963872,0.978262,0.981976,0.985071,,,1.018412,,,,,1.031823,0.998905,1.010225,1.014419,,,,,,0.951149,,,,1.010399,0.951755,1.008298,,,,1.004389,1.015319,,,,,,0.972056,,,,,,,,,1.011372,,,,
L5,,,,1.034562,0.969136,,,1.014730,0.995853,1.033478,0.992337,1.011323,,,,,0.976074,1.021611,1.044685,,,,,,0.969139,0.994537,1.003070,,0.954092,0.971909,0.980437,1.013910,,1.022916,1.011023,0.962686,0.965583,1.020009,0.998747,,0.980476,0.954896,1.017426,,1.037238,,,,0.978865,1.004590,1.038432,1.023345,,0.960610,,
Mi1,,1.023937,0.990187,0.975100,0.950533,,,0.988102,0.955709,1.000148,1.038806,0.956615,0.978503,1.047100,0.980946,1.020882,1.036039,0.989466,1.043959,,,,,,1.030376,0.972301,1.005294,1.044088,1.012523,0.979603,1.031388,1.033057,0.951029,,0.965504,1.028572,1.039119,0.969269,1.031116,,0.978906,1.040270,0.973802,,,0.954489,,0.985515,1.005211,0.996634,0.987902,0.965439,1.048201,0.952080,0.982679,0.980595
Tm3,,,,1.012307,0.971250,,,,0.967344,0.965465,1.030601,1.022703,0.998639,0.995965,0.991164,0.986008,,,0.998731,,,1.044534,,0.962060,,0.969479,1.041214,1.040553,0.977869,1.036147,1.029408,0.983463,,,1.003074,0.960213,1.039515,,,1.012743,,,0.961852,,,,1.041823,,1.040587,0.988536,0.957988,0.957726,,0.983608,,
Mi4,,,,,0.995093,1.012314,,1.041872,1.001961,0.983452,1.006997,0.951663,0.998177,1.019316,0.961786,0.985591,0.990880,1.006914,0.955380,0.950933,,,,,0.985224,,0.978715,,0.966965,1.016881,1.005899,1.046730,0.962502,,1.035829,,0.964459,,0.980903,1.009578,1.015528,,1.006345,1.038673,1.016621,0.993260,1.039147,0.977364,1.034486,,1.042588,1.029904,1.019732,0.958857,,
Mi9,,,,,,0.967795,1.021205,,0.950229,0.955914,0.999541,,1.033888,1.012740,0.957265,0.957005,0.952358,1.047163,0.990367,1.047328,,,,,,0.967386,0.964153,1.026240,0.991318,,1.044908,1.025405,0.952831,,1.021679,,0.955876,1.019027,,0.959626,0.990903,1.029754,0.997076,1.034445,0.960134,,0.963734,,0.962560,0.957862,,0.985531,0.966631,1.007923,1.024353,
T4a,,,,,,,,,,,,0.979420,0.985344,1.013403,1.020827,1.009587,,,,,0.975213,,,,,,,,,1.027989,,,,,,1.014054,,,,,,,0.952437,,,,,,,0.974934,,,,,1.040819,1.038615
T4b,,,,,,,,,1.006077,,1.023728,1.022034,1.016632,0.972710,,0.972370,,,,,,0.992114,,,,,,,,,,,,,,0.964193,,,,,,,0.965557,,,,,,0.999338,1.020452,1.049586,,,,,
T4c,,,,,,,,,,,,1.025226,,,0.990865,,,,,,,,0.989951,1.019119,,1.001752,,,,,,,,,,,,,,,,,,,,,,,,1.038105,1.034161,,1.000992,1.038429,,
T4d,,,,,,,,,0.960533,,,,,,0.986133,1.001772,,,,,,,,0.978115,,,,,,,,,,,,,,,,,,,,,,,,,,0.968154,0.957593,,0.996746,0.959413,,
Tm1,,,,,0.954316,,,1.024411,0.954646,0.960068,1.017372,1.045623,,,1.034518,,1.020256,0.980471,1.021910,1.026335,0.988941,1.027540,0.962175,1.005282,0.979847,0.961483,0.955400,0.985745,0.994253,0.953663,,0.955366,1.003394,,0.990017,0.971447,,1.046667,0.974749,1.012444,0.961210,1.024885,1.019068,0.972454,,,0.991555,0.999913,,1.045544,,1.047449,1.008332,0.964382,0.991699,1.038557
Tm2,,,,0.978303,0.985092,,,1.031767,1.034797,1.038396,0.956429,1.033579,0.952318,,0.971818,,1.013840,,1.040336,0.971526,1.026719,1.028502,0.955655,0.986506,1.045916,0.957340,1.038428,1.014930,,0.983444,1.039294,1.004574,1.017075,,,0.990580,,,0.969791,,,1.045342,1.046547,,,,,,1.049601,0.973024,1.000314,1.039225,1.023201,0.962523,1.001934,1.019411
Tm4,,,,,0.961136,,,,1.018216,1.000664,1.004811,,,,,,0.966482,1.022761,0.973297,,0.990202,1.029510,0.985749,1.040458,0.950913,1.045226,1.013032,1.015829,1.018325,0.989770,,0.987743,,,0.976197,0.986882,0.955771,,0.977485,,,1.011130,1.046388,,,,,,0.978141,1.031821,0.991348,0.998410,,1.006742,,1.008915
Tm9,,,,,,0.975661,,,,,0.976780,0.980845,,,,,0.966359,1.048411,0.999951,1.024105,1.025302,0.961951,0.969755,0.961761,,1.008902,0.970859,,,,,,0.983357,,,,,,,,0.952471,0.997320,,,,1.034288,0.967461,,,0.969216,1.017099,,1.000149,,1.016919,0.950693
T5a,,,,,,,,,,,,,0.957535,,,,,1.014146,,,0.977685,1.043150,,,,0.984266,,,,,,,,,,,,,,,,,1.027596,,,,,,,1.001417,,,,0.958111,1.010110,1.038475
T5b,,,,,,,,,,,,,,0.966646,,,,,,,1.040692,1.010865,,,,0.968288,,,,,,,,,,,,,,,,,,,,,,,0.957577,0.992741,1.005154,,,0.992442,,
T5c,,,,,,,,,,,,,,,0.975417,,,,,,,1.016343,0.974906,1.025127,,0.987794,,,,,,,,,,,,,,,,,,,,,,,,1.012482,1.009727,,1.041202,0.993940,,
T5d,,,,,,,,,,,,,,,0.993828,0.975715,,,,,,,,1.013417,,0.989215,,,,,,,,,,,,,,,,,,,,,,,,0.956496,0.964356,,0.964770,0.963178,,
T1,1.021987,0.980445,0.955070,,0.967941,1.010464,,0.952073,,,,0.969700,,,,,1.003495,0.999255,1.031794,,,,,,,,,,,,,,,1.035640,,,,,,,1.001499,,,,,,,,,,,,1.019454,,,
