cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre_mean_cell,v_onset_mean_cell,v_sti_end_mean_cell,delta_v_mean_cell
0,R1-6,0.966837,20.639759,0.972625,1.025323,0.345930,-50.000000,10.228242,205.512848,192.215561,-0.015522,20.552771,20.639759,25.388023,4.748264
1,R7,0.951576,18.152260,0.972625,0.987990,0.017694,-50.000000,10.772763,204.404205,203.658966,0.008108,18.085987,18.152260,22.878173,4.725912
2,R8,1.026419,19.329378,0.972625,1.041584,-0.235033,-50.000000,10.154942,208.777023,194.282852,-0.004144,19.248295,19.329378,24.303319,4.973941
3,L1,0.985506,-6.258505,0.972625,0.966490,-0.272168,-50.000000,10.376065,192.059723,205.798141,0.482678,-6.177889,-6.258505,-7.025388,-0.766883
4,L2,1.044425,-11.770843,0.972625,0.994808,-0.467280,-50.000000,10.764742,199.604080,197.702682,0.456520,-11.657091,-11.770843,-12.705937,-0.935095
5,L3,0.967065,-8.564544,0.972625,0.999785,-0.410003,-50.000000,9.984017,209.103592,204.671631,-0.019571,-8.480497,-8.564544,-9.158649,-0.594105
6,L4,1.014424,0.602604,0.972625,1.022017,0.399738,-50.000000,10.779563,203.996643,203.016769,0.484736,0.606185,0.602604,0.588721,-0.013883
7,L5,0.980235,-0.937872,0.972625,1.021086,-0.075187,-50.000000,10.059547,206.969131,195.900711,0.513353,-0.936843,-0.937872,-0.918967,0.018905
8,Mi1,1.013634,-3.885396,0.972625,1.031188,-0.131714,-50.000000,9.688754,192.345490,204.040085,-0.021883,-3.891950,-3.885396,-3.856150,0.029246
9,Tm3,0.967172,2.100748,0.972625,0.985186,0.207051,-50.000000,9.093144,191.759155,199.836075,0.049170,2.073123,2.100748,2.169162,0.068414
10,Mi4,0.976512,1.408931,0.972625,1.023301,0.133455,-50.000000,10.735251,202.648514,206.024658,0.040569,1.416881,1.408931,1.282317,-0.126614
11,Mi9,0.962940,2.303226,0.972625,1.008585,-0.171171,-50.000000,10.165033,195.708069,204.618561,0.028119,2.323181,2.303226,2.222240,-0.080986
12,T4a,1.026168,2.619415,0.972625,0.991680,0.273341,-50.000000,9.152540,192.717255,209.987427,0.006464,2.611753,2.619415,2.625376,0.005960
13,T4b,0.965228,1.888712,0.972625,0.997323,-0.096353,-50.000000,10.656276,207.272079,196.091782,0.044788,1.882360,1.888712,1.894661,0.005949
14,T4c,1.016396,1.819325,0.972625,0.961886,-0.491463,-50.000000,9.322603,207.482315,206.673584,-0.013111,1.811485,1.819325,1.824840,0.005515
15,T4d,1.018873,1.788125,0.972625,0.975389,-0.227306,-50.000000,9.630006,190.560516,198.232056,0.016290,1.781222,1.788125,1.793015,0.004891
