cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre_mean_cell,v_onset_mean_cell,v_sti_end_mean_cell,delta_v_mean_cell
0,R1-6,1.021328,6.198993,2.808745,2.053046,-14.007380,-35.537415,19.868944,201.314346,201.631912,0.000000,5.327391,6.198993,-544.908081,-551.107074
1,R7,0.958607,-67.019493,2.808745,5.841635,-6.962687,-42.555206,21.361959,198.748276,200.017776,0.000000,-64.430542,-67.019493,-91.935478,-24.915985
2,R8,1.001929,15.978304,2.808745,5.951039,-4.558825,-45.232742,19.022598,194.269287,211.929138,0.000000,13.524859,15.978304,19.718845,3.740541
3,L1,2.000000,-200.000000,2.808745,1.909341,-7.836258,-41.983860,17.004889,211.963333,222.299240,0.993892,-8.802319,-1123.430420,1187.698242,2311.128662
4,L2,2.000000,-23.794456,2.808745,1.831880,-12.745821,-37.074821,10.000000,221.258453,205.348114,0.714400,-76.398811,-23.794456,2674.182861,2697.977318
5,L3,2.000000,-156.650421,2.808745,1.353323,-10.591153,-39.271072,27.291687,218.634842,175.543274,0.703316,-43.405033,-156.650421,-11277.042969,-11120.392548
6,L4,0.714505,-37.755993,2.808745,0.983541,4.507230,-54.143177,10.000000,209.324387,192.942856,0.656962,2.140171,-37.755993,1348.573364,1386.329357
7,L5,1.679618,-200.000000,2.808745,1.734595,-2.726247,-47.445114,16.335846,177.085190,211.667816,1.000000,-2.726248,-1870.035034,2854.472900,4724.507935
8,Mi1,2.000000,16.014416,2.808745,4.027037,-4.291939,-45.250462,20.142504,194.973679,197.551651,0.000000,-84.823372,16.014416,-4295.387695,-4311.402111
9,Tm3,1.796187,5.618984,2.808745,1.318981,-4.394267,-45.523590,10.000000,189.484467,191.250259,0.653417,7.043394,5.618984,6703.271484,6697.652501
10,Mi4,2.000000,-20.144266,2.808745,2.369267,-12.030983,-37.731163,21.262455,188.398575,226.467422,0.956447,-14.436128,-20.144266,-2396.019287,-2375.875021
11,Mi9,2.000000,200.000000,2.808745,5.069728,-7.888148,-42.246452,25.315315,212.701538,225.249832,0.120169,-27.446413,241.228485,3721.859131,3480.630646
12,T4a,1.959956,-116.948372,2.808745,2.336334,-11.811614,-37.916748,28.342026,226.311356,187.622070,0.886818,-13.455583,-116.948372,-8217.435547,-8100.487175
13,T4b,2.000000,25.655594,2.808745,3.116171,-13.814652,-36.648808,28.569899,219.033752,178.261841,0.864587,-15.706508,25.655594,-7846.186035,-7871.841629
14,T4c,1.675946,-79.412506,2.808745,1.081187,-11.650949,-38.187679,27.229794,218.995514,186.572662,0.875872,-12.624583,-79.412506,-6304.111816,-6224.699310
15,T4d,1.283154,-68.656395,2.808745,2.544959,-1.333170,-48.613163,26.819347,222.948761,201.358490,0.862912,-1.897995,-68.656395,-5072.587402,-5003.931007
16,Tm1,1.993977,74.337532,2.808745,1.087757,-12.873369,-36.861320,14.829106,206.488663,188.146271,0.666501,-26.289793,74.337532,13616.693359,13542.355827
17,Tm2,1.473392,20.071531,2.808745,0.476673,-6.827436,-43.216644,10.000000,180.860077,190.598495,0.989386,-6.817819,20.071531,9025.355469,9005.283937
18,Tm4,2.000000,-8.103704,2.808745,3.084818,-16.870279,-32.727169,10.000000,201.620361,210.349930,0.694930,-20.578691,-8.103704,8577.376953,8585.480658
19,Tm9,1.981783,-4.321774,2.808745,2.020584,-17.363512,-32.976925,17.147415,194.911774,194.779343,0.000000,-26.234066,-4.321774,794.347656,798.669430
20,T5a,1.579514,-11.111930,2.808745,2.224947,-23.676847,-26.562281,10.000000,210.927048,174.563141,0.807856,-23.261984,-11.111930,3375.753906,3386.865836
21,T5b,1.132351,19.400600,2.808745,5.972868,8.825769,-59.226421,10.000000,213.792786,177.489395,0.868970,10.749184,19.400600,3440.178467,3420.777866
22,T5c,1.324230,14.936582,2.808745,3.422225,1.317960,-51.398800,10.000000,223.136734,178.819962,0.868783,2.599473,14.936582,5627.860840,5612.924258
23,T5d,0.507087,25.867435,2.808745,10.000000,14.452096,-64.084435,10.000000,210.294540,188.839706,0.862129,15.091330,25.867435,2754.793213,2728.925777
24,T1,0.997348,-200.000000,2.808745,2.366427,-4.250594,-45.360359,30.183619,208.028458,226.499710,0.378409,-34.304619,-875.522827,-161.369095,714.153732
25,T2,0.990155,60.305294,2.808745,2.112570,-8.775094,-40.726192,10.000000,209.631851,226.977997,1.000000,-8.775093,60.305294,8273.208984,8212.903690
26,T2a,0.981869,-200.000000,2.808745,10.000000,6.882346,-56.778648,17.822378,188.455719,209.333191,0.000000,7.944327,-225.932159,7896.762695,8122.694855
27,T3,0.961665,200.000000,2.808745,10.000000,2.426559,-52.496620,26.823843,200.952560,192.264709,0.000000,35.805767,2457.890137,21229.410156,18771.520020
28,C2,1.032752,200.000000,2.808745,3.002927,-1.111300,-48.550903,22.300999,195.551834,198.348267,0.000000,3.338806,752.272949,2314.568848,1562.295898
29,C3,0.952765,200.000000,2.808745,1.506044,-1.465886,-48.824127,10.000000,209.265274,197.425354,0.000000,-28.861574,295.121918,-1707.646240,-2002.768158
30,Lawf1,0.980382,-26.317238,2.808745,1.428442,-17.338156,-33.127316,23.766291,201.390427,204.271606,1.000000,-17.338156,-26.317238,-1350.009277,-1323.692039
31,Lawf2,0.985228,7.782358,2.808745,4.276549,0.872445,-51.080509,33.016357,219.742416,198.439590,0.000000,8.302756,7.782358,11778.822266,11771.039908
32,Dm3v,1.024382,10.626400,2.808745,3.508771,-0.528715,-49.769379,14.924850,204.156754,182.154892,0.773719,2.472407,10.626400,6884.883789,6874.257389
33,Lai,1.026794,3.288321,2.808745,3.651639,-1.002680,-49.096539,10.000000,184.830933,177.666458,0.511624,-11.650024,3.288321,44666.796875,44663.508554
34,Mi10,1.017948,-34.628689,2.808745,2.212261,-3.968726,-45.622704,16.998562,212.016327,195.137039,0.518687,-12.919005,-34.628689,-20303.210938,-20268.582249
35,Mi13,0.954142,-8.097034,2.808745,2.095086,-8.954546,-41.126987,10.000000,185.891388,210.205780,0.000000,-10.035880,-8.097034,2058.092773,2066.189808
36,Mi14,0.967522,17.852385,2.808745,5.805825,-16.217594,-33.606709,10.000000,190.816483,208.107285,0.598006,1.999573,17.852385,16110.016602,16092.164217
37,Mi15,0.996249,-200.000000,2.808745,1.195483,-5.001019,-44.507004,19.071558,216.944229,229.090897,0.000000,-94.548027,-251.853607,-3586.703369,-3334.849762
38,Mi2,0.970615,-7.258092,2.808745,8.532791,-9.499313,-40.669392,10.000000,222.964432,205.077484,0.917883,-9.238049,-7.258092,2269.068359,2276.326451
39,Tm16,0.981249,-87.991112,2.808745,4.060898,0.087925,-50.447823,10.000000,205.898178,199.340515,0.019489,-66.358017,-87.991112,-40759.035156,-40671.044044
40,Tm20,1.012603,-13.609917,2.808745,2.196346,-4.180105,-46.237316,19.815268,205.572601,230.716965,0.142063,-26.586765,-13.609917,14822.748047,14836.357964
41,Tm21,1.040057,200.000000,2.808745,9.931331,11.448008,-61.542526,20.853037,205.601410,198.513947,0.053195,130.856262,11360.099609,70024.445312,58664.345703
42,Tm27,1.040154,-0.372689,2.808745,4.525628,-7.198337,-43.223965,47.939468,205.679092,194.840729,0.000000,-12.885175,-0.372689,-6349.212402,-6348.839714
43,Tm5a,1.042103,4.127042,2.808745,6.408910,0.737256,-51.160168,17.311497,222.509888,229.688721,0.367283,0.073779,4.127042,6149.683594,6145.556551
44,Tm5b,1.043296,9.974888,2.808745,5.221370,2.399693,-51.964962,17.196819,218.529327,201.208710,0.364047,-2.533868,9.974888,652.078186,642.103298
45,Tm5c,1.040003,-7.184659,2.808745,6.035946,-3.524929,-46.007896,10.000000,193.044327,238.209000,1.000000,-3.524929,-7.184659,65.386917,72.571577
46,Tm5f,1.011904,44.907845,2.808745,5.161379,3.260924,-53.151409,20.614109,211.534515,212.410690,0.296604,31.327957,44.907845,15771.506836,15726.598991
47,TmY10,1.011184,-13.149761,2.808745,0.797939,-13.026676,-36.963657,16.085087,192.279495,198.434906,0.000000,-14.900976,-13.149761,2487.414795,2500.564556
48,TmY11,1.000108,-60.479137,2.808745,4.096700,-3.256671,-46.917332,10.000000,182.988983,229.748779,0.921223,-10.969061,-60.479137,-28996.464844,-28935.985706
49,TmY14,0.955845,-98.441856,2.808745,3.373060,-15.619294,-34.749069,10.000000,224.656494,217.160141,0.380252,-18.651220,-98.441856,-13328.099609,-13229.657753
50,TmY15,1.035593,139.583832,2.808745,4.116981,-16.164406,-34.281757,33.695923,190.698502,199.529816,0.000000,101.780090,139.583832,51831.070312,51691.486481
51,TmY3,1.031811,-163.105698,2.808745,7.453727,-0.615866,-49.882542,13.317842,206.656418,226.155426,0.704038,8.061528,-163.105698,-3464.091553,-3300.985855
52,TmY4,0.984514,58.837509,2.808745,7.857147,9.038212,-59.104427,10.000000,190.845535,212.080811,0.139832,45.463860,58.837509,23680.421875,23621.584366
53,TmY5a,0.955618,200.000000,2.808745,8.310225,-4.651900,-45.565651,14.781585,201.093704,226.849152,0.855482,34.384983,1048.942139,48100.414062,47051.471924
54,TmY9q,0.988045,18.206356,2.808745,4.406105,9.532291,-59.202774,19.853273,189.396606,206.285873,1.000000,9.532290,18.206356,11239.733398,11221.527042
55,TmY9q__perp,0.951572,57.224831,2.808745,3.622036,-4.604320,-44.932354,10.386296,164.768112,201.140396,0.112236,34.025978,57.224831,20670.027344,20612.802513
