idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,bias,hp_gain
0,R1-6,1.000000,4.017283,0.962181,10.000000,10000.000000,-1.479637,3.091715
1,R7,1.000000,9.303483,1.025025,16.190429,9995.445407,-3.076236,4.635139
2,R8,1.000000,5.035905,1.021810,10.000000,10000.000000,-2.112340,4.430813
3,L1,1.000000,1.860591,4.185883,67.616770,273.624077,2.279895,2.316706
4,L2,1.000000,0.751889,5.953647,63.434857,255.987104,2.298306,2.315492
5,L3,1.000000,4.050242,1.075303,64.861665,10000.000000,1.321972,3.221772
6,L4,1.000000,0.494726,15.561961,100.000000,254.662434,8.499108,5.000000
7,L5,1.000000,2.424245,2.631912,10.000000,167.637503,0.796676,2.871360
8,Mi1,1.000000,1.502514,2.760962,11.257239,10000.000000,6.885413,1.673870
9,Mi4,1.000000,0.100000,2.546788,13.773849,10000.000000,-0.719149,2.439091
10,Mi9,1.000000,3.251330,2.829764,80.817261,10000.000000,0.058725,3.077462
11,T1,1.000000,1.401703,1.026604,57.594887,10000.000000,3.664827,0.684440
12,T2,1.000000,0.100000,1.037301,45.809935,9999.978617,-1.337107,0.000000
13,T2a,1.000000,0.100000,0.966141,47.831930,9999.993387,-1.231091,0.000000
14,T3,1.000000,0.100000,0.957729,53.368608,9999.988714,-1.398024,0.000000
15,T4a,1.000000,3.253085,0.965472,95.306862,10000.000000,-1.640051,3.528059
16,T4b,1.000000,3.905434,1.045927,100.000000,10000.000000,-0.041767,2.445428
17,T4c,1.000000,0.780419,0.980507,46.114829,10000.000000,-1.150119,0.523390
18,T4d,1.000000,0.100000,0.996283,54.172337,9999.999969,-0.646261,0.000000
19,T5a,1.000000,3.530296,1.007899,44.807701,10000.000000,11.082712,0.000000
20,T5b,1.000000,0.100000,1.008725,54.520927,10000.000000,-0.954440,0.000000
21,T5c,1.000000,0.981564,1.029290,46.434200,9999.999973,-0.043047,1.031629
22,T5d,1.000000,1.058880,1.037867,53.791148,9999.999951,-0.038187,0.969356
23,Tm1,1.000000,0.598173,8.870978,10.000000,10000.000000,20.000000,1.015124
24,Tm2,1.000000,1.386203,7.879321,10.000000,10000.000000,18.905688,1.040542
25,Tm20,1.000000,3.714654,1.000018,100.000000,10000.000000,2.027759,3.858457
26,Tm21,1.000000,1.376797,0.987066,10.000000,9980.991487,2.507906,0.908774
27,Tm3,1.000000,0.891550,3.079582,10.000000,9941.200713,-0.947832,2.863891
28,Tm4,1.000000,1.803134,5.722775,10.000000,10000.000000,20.000000,1.886431
29,Tm9,1.000000,0.198058,4.538105,80.297448,9955.439434,2.629603,4.518228
30,C2,1.000000,0.397208,0.956832,46.434332,9999.998675,-0.563851,0.446036
31,C3,1.000000,0.996379,0.975091,10.000000,9935.967974,0.471906,1.688957
