idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,8.417166,0.964532,32.175765,9991.519934,-0.509386,1.000000
1,R7,1.000000,14.234236,0.976395,31.681903,10000.000000,-0.409413,1.000000
2,R8,1.000000,12.590549,1.039446,40.254515,10000.000000,-0.415691,1.000000
3,L1,1.000000,5.623116,0.955558,41.858365,193.990189,6.837444,5.000000
4,L2,1.000000,2.751590,0.989197,40.164776,194.829738,2.015459,4.752144
5,L3,1.000000,0.100000,0.976445,40.577508,10000.000000,-1.366336,1.000000
6,L4,1.000000,0.978790,1.010504,49.083345,209.554924,-0.668698,5.000000
7,L5,1.000000,3.708762,0.975469,42.812404,198.603905,1.833894,1.495159
8,Mi1,1.000000,3.269806,0.979213,34.659355,9999.315865,4.920064,1.000000
9,Mi4,1.000000,3.319362,1.028966,42.781738,10000.000000,1.389581,1.000000
10,Mi9,1.000000,5.532471,1.004879,32.717848,9991.626197,5.323038,1.000000
11,T1,1.000000,0.821534,0.990609,51.882675,9998.396590,-2.239192,1.000000
12,T2,1.000000,1.005528,1.045568,49.119811,9999.935966,0.938183,1.000000
13,T2a,1.000000,3.185479,1.044438,53.172805,9993.920331,4.509675,1.000000
14,T3,1.000000,0.840891,0.976198,56.151880,9999.673142,3.078623,1.000000
15,T4a,1.000000,4.507732,0.964511,48.384276,9992.932639,7.704759,1.000000
16,T4b,1.000000,4.431861,1.047608,50.508743,9992.909140,8.963509,1.000000
17,T4c,1.000000,2.760649,0.997953,50.875475,9996.094316,7.576645,1.000000
18,T4d,1.000000,0.979153,1.020748,55.652172,10000.000000,0.096302,1.000000
19,T5a,1.000000,2.574587,1.044219,51.168015,10000.000000,-1.262430,1.000000
20,T5b,1.000000,7.882889,1.007425,47.024617,9999.025676,5.368493,1.000000
21,T5c,1.000000,7.789514,1.031176,46.383068,9999.994298,0.042562,1.000000
22,T5d,1.000000,0.907216,1.028997,47.815848,10000.000000,-0.077013,1.000000
23,Tm1,1.000000,0.822037,0.976808,40.892003,9994.755451,1.248016,1.000000
24,Tm2,1.000000,0.449615,0.959410,33.630496,9996.159468,-2.079232,1.000000
25,Tm20,1.000000,12.912647,0.999596,39.541337,9995.032483,8.843360,1.000000
26,Tm21,1.000000,2.551570,0.984935,53.364403,9999.996407,1.319961,1.000000
27,Tm3,1.000000,3.860993,0.978871,38.958382,10000.000000,2.407011,1.000000
28,Tm4,1.000000,5.473059,0.990169,40.218744,9998.999263,-0.175111,1.000000
29,Tm9,1.000000,3.103860,0.950448,35.458720,9986.984225,9.204715,1.000000
30,C2,1.000000,1.015172,0.984473,46.051272,9999.925711,-1.521704,1.000000
31,C3,1.000000,6.542197,1.016995,41.315569,9996.115309,3.277149,1.000000
